Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Real-time transient stability assessment model using extreme learning machine,Y. Xu; Z. Y. Dong; K. Meng; R. Zhang; K. P. Wong,"Dept. of Electr. Eng., Hong Kong Polytech. Univ., Kowloon, China","IET Generation, Transmission & Distribution",20110217,2011,5,3,314,322,"In recent years, computational intelligence and machine learning techniques have gained popularity to facilitate very fast dynamic security assessment for earlier detection of the risk of blackouts. However, many of the current state-of-the-art models usually suffer from excessive training time and complex parameters tuning problems, leading to inefficiency for real-time implementation and on-line model updating. In this study, a new transient stability assessment model using the increasingly prevalent extreme learning machine theory is developed. It has significantly improved the learning speed and can enable effective on-line updating. The proposed model is examined on the New England 39-bus test system, and compared with some state-of-the-art methods in terms of computation time and prediction accuracy. The simulation results show that the proposed model possesses significant superior computation speed and competitively high accuracy.",1751-8687;17518687,,10.1049/iet-gtd.2010.0355,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5714771,,,learning (artificial intelligence);power engineering computing;power system transient stability,39-bus test system;England;computational intelligence;extreme learning machine;fast dynamic security assessment;machine learning techniques;parameters tuning problems;power systems;real-time transient stability assessment model,,22,,,,,,Mar-11,,IET,IET Journals & Magazines
Remote Sensing Image Transfer Classification Based on Weighted Extreme Learning Machine,Y. Zhou; J. Lian; M. Han,"Faculty of Electronic Information and Electrical Engineering, Dalian University of Technology, Dalian, China",IEEE Geoscience and Remote Sensing Letters,20170519,2016,13,10,1405,1409,"It is expensive in time or resources to obtain adequate labeled data for a new remote sensing image to be categorized. The cost of manual interpretation can be reduced if labeled samples collected from previous temporal images can be reused to classify a new image over the same investigated area. However, it is reasonable to consider that the distributions of the target data and the historical data are usually not identical. Therefore, the efficient strategy of transferring the beneficial information from historical images to the target image hits a bottleneck. In order to reuse sufficient historical samples to classify a given image with scarce labeled samples, this letter presents a novel transfer learning algorithm for remote sensing image classification based on extreme learning machine with weighted least square. This algorithm adds a transferring item to an objective function and adjusts historical and target training data with different weight strategies. Experiments on two sets of remote sensing images show that the presented algorithm reduces the requirement for target training samples and improves classification accuracy, timeliness, and integrity.",1545-598X;1545598X,,10.1109/LGRS.2016.2568263,Special Fund for Basic Research on Scientific Instruments of the National Natural Science Foundation of China; 10.13039/501100001809 - National Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7527666,Extreme learning machine (ELM);image classification;remote sensing;transfer learning;weighted least square,Algorithm design and analysis;Classification algorithms;Data models;Linear programming;Remote sensing;Training;Training data,geophysical image processing;image classification;remote sensing,historical image information;historical training data;remote sensing image transfer classification;target training data;transfer learning algorithm;weighted extreme learning machine;weighted least square,,2,,,,,20160801,Oct. 2016,,IEEE,IEEE Journals & Magazines
Bidirectional Extreme Learning Machine for Regression Problem and Its Learning Effectiveness,Y. Yang; Y. Wang; X. Yuan,"College of Electrical and Information Engineering, Hunan University, Changsha, China",IEEE Transactions on Neural Networks and Learning Systems,20120801,2012,23,9,1498,1505,"It is clear that the learning effectiveness and learning speed of neural networks are in general far slower than required, which has been a major bottleneck for many applications. Recently, a simple and efficient learning method, referred to as extreme learning machine (ELM), was proposed by Huang , which has shown that, compared to some conventional methods, the training time of neural networks can be reduced by a thousand times. However, one of the open problems in ELM research is whether the number of hidden nodes can be further reduced without affecting learning effectiveness. This brief proposes a new learning algorithm, called bidirectional extreme learning machine (B-ELM), in which some hidden nodes are not randomly selected. In theory, this algorithm tends to reduce network output error to 0 at an extremely early learning stage. Furthermore, we find a relationship between the network output error and the network output weights in the proposed B-ELM. Simulation results demonstrate that the proposed method can be tens to hundreds of times faster than other incremental ELM algorithms.",2162-237X;2162237X,,10.1109/TNNLS.2012.2202289,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6222007,Feedforward neural network;learning effectiveness;number of hidden nodes;universal approximation,Computer architecture;Equations;Helium;Learning systems;Machine learning;Testing;Training,learning (artificial intelligence);neural nets;regression analysis,B-ELM;bidirectional extreme learning machine;learning effectiveness;neural networks;regression problem,1,51,,13,,,20120620,Sept. 2012,,IEEE,IEEE Journals & Magazines
BELM: Bayesian Extreme Learning Machine,E. Soria-Olivas; J. Gomez-Sanchis; J. D. Martin; J. Vila-Frances; M. Martinez; J. R. Magdalena; A. J. Serrano,"Digital Signal Processing Group, Department of Electronic Engineering, ETSE, University of Valencia, Burjassot, Spain",IEEE Transactions on Neural Networks,20110228,2011,22,3,505,509,"The theory of extreme learning machine (ELM) has become very popular on the last few years. ELM is a new approach for learning the parameters of the hidden layers of a multilayer neural network (as the multilayer perceptron or the radial basis function neural network). Its main advantage is the lower computational cost, which is especially relevant when dealing with many patterns defined in a high-dimensional space. This brief proposes a Bayesian approach to ELM, which presents some advantages over other approaches: it allows the introduction of a priori knowledge; obtains the confidence intervals (CIs) without the need of applying methods that are computationally intensive, e.g., bootstrap; and presents high generalization capabilities. Bayesian ELM is benchmarked against classical ELM in several artificial and real datasets that are widely used for the evaluation of machine learning algorithms. Achieved results show that the proposed approach produces a competitive accuracy with some additional advantages, namely, automatic production of CIs, reduction of probability of model overfitting, and use of a priori knowledge.",1045-9227;10459227,,10.1109/TNN.2010.2103956,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5692833,Bayesian;extreme learning machine;multilayer perceptron;radial basis function,Artificial neural networks;Bayesian methods;Computational modeling;Machine learning;Mathematical model;Optimization;Training,belief networks;learning (artificial intelligence);multilayer perceptrons;radial basis function networks,Bayesian extreme learning machine;confidence interval;multilayer neural network;multilayer perceptron;radial basis function,"Algorithms;Artificial Intelligence;Bayes Theorem;Computer Simulation;Neural Networks (Computer);Pattern Recognition, Automated",57,,18,,,20110120,Mar-11,,IEEE,IEEE Journals & Magazines
A Robust Indoor Positioning System Based on the Procrustes Analysis and Weighted Extreme Learning Machine,H. Zou; B. Huang; X. Lu; H. Jiang; L. Xie,"School of Electrical and Electronics Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Wireless Communications,20160208,2016,15,2,1252,1266,"Indoor positioning system (IPS) has become one of the most attractive research fields due to the increasing demands on location-based services (LBSs) in indoor environments. Various IPSs have been developed under different circumstances, and most of them adopt the fingerprinting technique to mitigate pervasive indoor multipath effects. However, the performance of the fingerprinting technique severely suffers from device heterogeneity existing across commercial off-the-shelf mobile devices (e.g., smart phones, tablet computers, etc.) and indoor environmental changes (e.g., the number, distribution and activities of people, the placement of furniture, etc.). In this paper, we transform the received signal strength (RSS) to a standardized location fingerprint based on the Procrustes analysis, and introduce a similarity metric, termed signal tendency index (STI), for matching standardized fingerprints. An analysis of the capability of the proposed STI to handle device heterogeneity and environmental changes is presented. We further develop a robust and precise IPS by integrating the merits of both the STI and weighted extreme learning machine (WELM). Finally, extensive experiments are carried out and a performance comparison with existing solutions verifies the superiority of the proposed IPS in terms of robustness to device heterogeneity.",1536-1276;15361276,,10.1109/TWC.2015.2487963,Berkeley Education Alliance for Research in Singapore (BEARS); Berkeley as a Center for Intellectual Excellence in Research and Education in Singapore; Singapore-Berkeley Building Efficiency and Sustainability in the Tropics; 10.13039/501100001381 - Republic of Singapore NRF; 10.13039/501100001381 - Republic of Singapore National Research Foundation (NRF); 10.13039/501100001809 - National Natural Science Foundation of China; 10.13039/501100004763 - Natural Science Foundation of Inner Mongolia Autonomous Region of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7293674,Device Heterogeneity;Indoor Positioning System (IPS);Indoor positioning system (IPS);Procrustes Analysis;Procrustes analysis;Weighted Extreme Learning Machine;device heterogeneity;weighted extreme learning machine (WELM),Accuracy;Databases;IEEE 802.11 Standard;Mobile handsets;Robustness;Shape;Training,RSSI;indoor navigation;learning (artificial intelligence);radionavigation;telecommunication computing,IPS;LBSs;RSS;STI;WELM;commercial off-the-shelf mobile devices;fingerprinting technique;indoor environments;location-based services;pervasive indoor multipath effect mitigation;procrustes analysis;received signal strength;robust indoor positioning system;signal tendency index;standardized fingerprint matching;standardized location fingerprint;weighted extreme learning machine,,22,,44,,,20151007,Feb. 2016,,IEEE,IEEE Journals & Magazines
Dimension Reduction With Extreme Learning Machine,L. L. C. Kasun; Y. Yang; G. B. Huang; Z. Zhang,"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Image Processing,20160624,2016,25,8,3906,3918,"Data may often contain noise or irrelevant information, which negatively affect the generalization capability of machine learning algorithms. The objective of dimension reduction algorithms, such as principal component analysis (PCA), non-negative matrix factorization (NMF), random projection (RP), and auto-encoder (AE), is to reduce the noise or irrelevant information of the data. The features of PCA (eigenvectors) and linear AE are not able to represent data as parts (e.g. nose in a face image). On the other hand, NMF and non-linear AE are maimed by slow learning speed and RP only represents a subspace of original data. This paper introduces a dimension reduction framework which to some extend represents data as parts, has fast learning speed, and learns the between-class scatter subspace. To this end, this paper investigates a linear and non-linear dimension reduction framework referred to as extreme learning machine AE (ELM-AE) and sparse ELM-AE (SELM-AE). In contrast to tied weight AE, the hidden neurons in ELM-AE and SELM-AE need not be tuned, and their parameters (e.g, input weights in additive neurons) are initialized using orthogonal and sparse random weights, respectively. Experimental results on USPS handwritten digit recognition data set, CIFAR-10 object recognition, and NORB object recognition data set show the efficacy of linear and non-linear ELM-AE and SELM-AE in terms of discriminative capability, sparsity, training time, and normalized mean square error.",1057-7149;10577149,,10.1109/TIP.2016.2570569,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7471467,Dimension reduction;Extreme Learning Machine (ELM);Extreme learning machine (ELM);Non-negative Matrix Factorization (NMF);Principal Component Analysis (PCA);auto-encoder (AE);dimension reduction;non-negative matrix factorization (NMF);principal component analysis (PCA);random projection (RP),Machine learning;Machine learning algorithms;Mathematical model;Principal component analysis;Support vector machines,,,,7,,55,,,20160518,Aug. 2016,,IEEE,IEEE Journals & Magazines
Electricity Price Forecasting With Extreme Learning Machine and Bootstrapping,X. Chen; Z. Y. Dong; K. Meng; Y. Xu; K. P. Wong; H. W. Ngan,"Ergon Energy, Brisbane, Australia",IEEE Transactions on Power Systems,20121018,2012,27,4,2055,2062,"Artificial neural networks (ANNs) have been widely applied in electricity price forecasts due to their nonlinear modeling capabilities. However, it is well known that in general, traditional training methods for ANNs such as back-propagation (BP) approach are normally slow and it could be trapped into local optima. In this paper, a fast electricity market price forecast method is proposed based on a recently emerged learning method for single hidden layer feed-forward neural networks, the extreme learning machine (ELM), to overcome these drawbacks. The new approach also has improved price intervals forecast accuracy by incorporating bootstrapping method for uncertainty estimations. Case studies based on chaos time series and Australian National Electricity Market price series show that the proposed method can effectively capture the nonlinearity from the highly volatile price data series with much less computation time compared with other methods. The results show the great potential of this proposed approach for online accurate price forecasting for the spot market prices analysis.",0885-8950;08858950,,10.1109/TPWRS.2012.2190627,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6184354,Bootstrapping;extreme learning machine;interval forecast;price forecast,Electricity supply industry;Forecasting;Learning systems;Machine learning;Predictive models;Time series analysis,chaos;feedforward neural nets;learning (artificial intelligence);load forecasting;power engineering computing;power markets;time series;training,ANN;Australian National Electricity market price series;ELM;artificial neural networks;chaos time series;electricity market price forecast method;extreme learning machine;incorporating bootstrapping method;nonlinear modeling capabilities;price interval forecasting;single hidden layer feedforward neural networks;spot market prices analysis;training methods;uncertainty estimations;volatile price data series,,68,,40,,,20120416,Nov. 2012,,IEEE,IEEE Journals & Magazines
Weighted Tanimoto Extreme Learning Machine with Case Study in Drug Discovery,W. M. Czarnecki,"Faculty of Mathematics and Computer Science, Jagiellonian University, Krakow, Poland",IEEE Computational Intelligence Magazine,20150716,2015,10,3,19,29,"Machine learning methods are becoming more and more popular in the field of computer-aided drug design. The specific data characteristic, including sparse, binary representation as well as noisy, imbalanced datasets, presents a challenging binary classification problem. Currently, two of the most successful models in such tasks are the Support Vector Machine (SVM) and Random Forest (RF). In this paper, we introduce a Weighted Tanimoto Extreme Learning Machine (T-WELM), an extremely simple and fast method for predicting chemical compound biological activity and possibly other data with discrete, binary representation. We show some theoretical properties of the proposed model including the ability to learn arbitrary sets of examples. Further analysis shows numerous advantages of T-WELM over SVMs, RFs and traditional Extreme Learning Machines (ELM) in this particular task. Experiments performed on 40 large datasets of thousands of chemical compounds show that T-WELMs achieve much better classification results and are at the same time faster in terms of both training time and further classification than both ELM models and other state-of-the-art methods in the field.",1556-603X;1556603X,,10.1109/MCI.2015.2437312,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7160842,,Biological system modeling;Compounds;Computational modeling;Design automation;Drugs;Fingerprint recognition;Machine learning,drug delivery systems;learning (artificial intelligence);medical computing;pattern classification;support vector machines,RF;SVM;T-WELM;binary classification problem;chemical compound biological activity prediction;computer-aided drug design;data characteristic;drug discovery;random forest;support vector machine;weighted Tanimoto extreme learning machine method,,10,,45,,,,Aug. 2015,,IEEE,IEEE Journals & Magazines
Robust Extreme Learning Machine With its Application to Indoor Positioning,X. Lu; H. Zou; H. Zhou; L. Xie; G. B. Huang,"School of Electrical and Electronics Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Cybernetics,20170520,2016,46,1,194,205,"The increasing demands of location-based services have spurred the rapid development of indoor positioning system and indoor localization system interchangeably (IPSs). However, the performance of IPSs suffers from noisy measurements. In this paper, two kinds of robust extreme learning machines (RELMs), corresponding to the close-to-mean constraint, and the small-residual constraint, have been proposed to address the issue of noisy measurements in IPSs. Based on whether the feature mapping in extreme learning machine is explicit, we respectively provide random-hidden-nodes and kernelized formulations of RELMs by second order cone programming. Furthermore, the computation of the covariance in feature space is discussed. Simulations and real-world indoor localization experiments are extensively carried out and the results demonstrate that the proposed algorithms can not only improve the accuracy and repeatability, but also reduce the deviation and worst case error of IPSs compared with other baseline algorithms.",2168-2267;21682267,,10.1109/TCYB.2015.2399420,National Research Foundation of Singapore; Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7047752,Indoor positioning system (IPS);robust extreme learning machine (RELM);second order cone programming (SOCP),Approximation methods;IEEE 802.11 Standards;Kernel;Robustness;Support vector machines;Training;Vectors,convex programming;indoor navigation;learning (artificial intelligence);wireless LAN,IPS;RELM;SOCP;feature mapping;indoor localization system;indoor positioning system;kernelized formulation;location-based service;noisy measurement;random-hidden-node;robust extreme learning machine;second order cone programming,,11,,37,,,20150224,Jan. 2016,,IEEE,IEEE Journals & Magazines
Hierarchical Extreme Learning Machine-Polynomial Based Low Valued Capacitance Measurement Using Frequency Synthesizer–Vector Voltmeter,G. Sarkar; A. Chatterjee; A. Rakshit; K. Bhattacharya,"Electrical Engineering Department, Jadavpur University, Kolkata, India",IEEE Transactions on Instrumentation and Measurement,20140807,2014,63,9,2180,2187,"This present paper describes the development of a capacitance measurement system in the picofarad region. The system uses an universal serial bus port-based arrangement in conjunction with an indigenously developed Programmable Intelligent Computer microcontroller-based frequency synthesizer-vector voltmeter that can be used to measure the voltage in vector form and the capacitance can be determined using circuit solution technique. An intelligent two-layered, hierarchical reinforcement-based instrumentation scheme is proposed that can be integrated along with the original measurements to significantly improve the system performance. In layer 1, an extreme learning machine-based supervised phase reinforcement scheme is employed to improve the accuracy of the voltage measurement. Subsequently, in layer 2, local polynomial-based reinforcements are employed to improve both the resistive and reactive part measurements in the unknown capacitance. Three variants of ELM-based reinforcements are implemented for capacitance measurements in the range 100-10 000 pF and the utility of the hybrid ELM-polynomial-based reinforcements for such measurements is aptly demonstrated.",0018-9456;00189456,,10.1109/TIM.2014.2307991,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6766742,Capacitance measurement;extreme learning machine (ELM);frequency synthesizer-vector voltmeter (FSVV);polynomial;polynomial.,Capacitance;Capacitance measurement;Frequency measurement;Impedance measurement;Instruments;Vectors;Voltage measurement,capacitance measurement;computerised instrumentation;electric resistance measurement;frequency synthesizers;learning (artificial intelligence);microcontrollers;polynomials;voltage measurement;voltmeters,ELM-based reinforcement;capacitance 100 pF to 10000 pF;circuit solution technique;extreme learning machine-based supervised phase reinforcement scheme;frequency synthesizer-vector voltmeter;hierarchical extreme learning machine-polynomial;intelligent two-layered hierarchical reinforcement-based instrumentation scheme;low valued capacitance measurement;programmable intelligent computer microcontroller;reactive part measurement;resistive part measurement;universal serial bus port-based arrangement;voltage measurement,,3,,27,,,20140313,Sept. 2014,,IEEE,IEEE Journals & Magazines
