[[ 5.11360884e-01  4.88301039e-01]
 [ 7.34722853e-01  2.65194654e-01]
 [ 7.05543280e-01  2.94466257e-01]
 [ 3.88643622e-01  6.10848486e-01]
 [ 4.80928421e-01  5.19009352e-01]
 [ 4.18709517e-01  5.81288099e-01]
 [ 9.18383121e-01  8.03937912e-02]
 [-5.43513298e-02  1.05205584e+00]
 [ 6.87275648e-01  3.12664747e-01]
 [ 3.12935591e-01  6.86665297e-01]
 [ 7.39306450e-01  2.60695219e-01]
 [ 4.54824686e-01  5.45172453e-01]
 [ 6.48873091e-01  3.50804090e-01]
 [-2.38541901e-01  1.23741513e+00]
 [ 6.11535549e-01  3.88469934e-01]
 [ 6.90014780e-01  3.05481791e-01]
 [ 5.91251373e-01  4.08745050e-01]
 [ 3.24804544e-01  6.74369097e-01]
 [ 8.39730024e-01  1.60153151e-01]
 [ 7.70470381e-01  2.29176283e-01]
 [ 7.49126434e-01  2.50876665e-01]
 [ 6.85753584e-01  3.14358473e-01]
 [ 6.87756300e-01  3.12222242e-01]
 [ 6.54545546e-01  3.45406294e-01]
 [ 5.40291548e-01  4.57813978e-01]
 [-1.99828088e-01  1.19655573e+00]
 [ 7.38795996e-01  2.61091948e-01]
 [ 5.91400862e-01  4.08608198e-01]
 [ 7.47061491e-01  2.52904654e-01]
 [ 3.40592861e-01  6.58734560e-01]
 [ 6.29375219e-01  3.70619297e-01]
 [ 7.11739302e-01  2.88059950e-01]
 [ 6.82293653e-01  3.17600965e-01]
 [ 6.78386927e-01  3.21618080e-01]
 [ 5.50581217e-01  4.49412823e-01]
 [ 5.27710080e-01  4.69784796e-01]
 [ 7.14010954e-01  2.83484936e-01]
 [ 1.84581280e-01  8.14623833e-01]
 [ 1.53317630e-01  8.43133688e-01]
 [ 4.46185350e-01  5.53810835e-01]
 [ 3.42068493e-01  6.57161474e-01]
 [ 8.28026533e-01  1.72032118e-01]
 [ 2.04665780e-01  7.92282879e-01]
 [ 5.86796522e-01  4.13109541e-01]
 [ 8.17345381e-01  1.82026625e-01]
 [ 2.03167915e-01  7.96559095e-01]
 [ 9.33693647e-01  6.62124157e-02]
 [ 7.39740193e-01  2.58563340e-01]
 [ 7.55010843e-01  2.44981766e-01]
 [ 2.60238945e-01  7.36045539e-01]
 [ 7.66225100e-01  2.33730316e-01]
 [ 8.19695234e-01  1.80065870e-01]
 [ 7.66276121e-01  2.33689547e-01]
 [ 7.39876509e-01  2.59648085e-01]
 [ 5.25292158e-01  4.74702120e-01]
 [ 4.68347073e-01  5.31647444e-01]
 [ 9.94326472e-02  8.99601519e-01]
 [ 7.48295069e-01  2.51702070e-01]
 [ 3.78987789e-01  6.20114803e-01]
 [ 6.60043478e-01  3.39854956e-01]
 [ 7.62718916e-01  2.37057447e-01]
