[[ 6.28624349e-01  3.71336747e-01]
 [ 6.53319988e-01  3.46676927e-01]
 [ 6.35280260e-01  3.64719142e-01]
 [ 5.18725944e-02  9.48266165e-01]
 [ 5.08438728e-01  4.91506684e-01]
 [ 6.57725990e-01  3.42278215e-01]
 [ 1.09203485e+00 -9.21130198e-02]
 [ 9.47980411e-02  9.04917003e-01]
 [ 6.87182637e-01  3.12816892e-01]
 [ 5.32212374e-01  4.67796840e-01]
 [ 6.33512089e-01  3.66487806e-01]
 [ 6.34354184e-01  3.65645321e-01]
 [ 6.03345199e-01  3.96651367e-01]
 [-5.53943187e-03  1.00558441e+00]
 [ 6.34569761e-01  3.65429837e-01]
 [ 3.60180394e-01  6.39967304e-01]
 [ 6.34457871e-01  3.65541661e-01]
 [ 6.80205954e-01  3.19808013e-01]
 [ 7.27238701e-01  2.72755559e-01]
 [ 6.40762404e-01  3.59234060e-01]
 [ 6.35807150e-01  3.64192409e-01]
 [ 6.07957504e-01  3.92045830e-01]
 [ 6.67882337e-01  3.32123930e-01]
 [ 6.23515458e-01  3.76508036e-01]
 [ 8.20837720e-01  1.79087926e-01]
 [-8.33409928e-02  1.08331394e+00]
 [ 6.53467556e-01  3.46532028e-01]
 [ 6.31263846e-01  3.68737777e-01]
 [ 6.36742911e-01  3.63256903e-01]
 [ 1.13049169e-01  8.86900553e-01]
 [ 6.34571572e-01  3.65428000e-01]
 [ 6.32446762e-01  3.67548932e-01]
 [ 6.06810946e-01  3.93196543e-01]
 [ 6.34564176e-01  3.65435421e-01]
 [ 6.34494453e-01  3.65505036e-01]
 [ 9.94434240e-01  5.65011092e-03]
 [ 2.54257863e-02  9.74583249e-01]
 [ 1.22554520e-01  8.77404778e-01]
 [ 1.94684429e-01  8.05301859e-01]
 [ 6.34351505e-01  3.65647999e-01]
 [-1.56369165e-01  1.15627489e+00]
 [ 6.56808719e-01  3.43162873e-01]
 [-3.89393642e-02  1.03925073e+00]
 [ 6.18496300e-01  3.81508729e-01]
 [ 7.80400297e-01  2.19551068e-01]
 [ 1.49500556e-01  8.50511618e-01]
 [ 6.91620950e-01  3.08371022e-01]
 [ 2.23575791e-01  7.76162169e-01]
 [ 6.36308663e-01  3.63690916e-01]
 [ 9.53520235e-02  9.04641175e-01]
 [ 6.37388209e-01  3.62611501e-01]
 [ 7.58930431e-01  2.41061965e-01]
 [ 6.46245035e-01  3.53755209e-01]
 [ 6.26179383e-01  3.73781685e-01]
 [ 6.34446136e-01  3.65553359e-01]
 [ 6.34358040e-01  3.65641466e-01]
 [ 1.15930123e-02  9.88519234e-01]
 [ 6.36414654e-01  3.63585111e-01]
 [-2.95733303e-01  1.29583609e+00]
 [ 6.31241632e-01  3.68760344e-01]
 [ 6.34363282e-01  3.65639211e-01]
 [ 6.36383062e-01  3.63615792e-01]
 [ 7.01738766e-01  2.98262326e-01]
 [ 6.34351178e-01  3.65648326e-01]
 [ 6.34726830e-01  3.65272939e-01]
 [-4.61073814e-02  1.04566182e+00]
 [ 6.34375864e-01  3.65623640e-01]
 [ 2.28680605e-01  7.71379508e-01]
 [ 6.68545685e-01  3.31446821e-01]
 [ 6.34351284e-01  3.65648220e-01]
 [ 1.04556500e+00 -4.54803863e-02]
 [ 1.02254545e+00 -2.26613218e-02]
 [ 6.42768131e-01  3.57232613e-01]
 [ 6.01844715e-01  3.98154315e-01]
 [ 1.31847902e-01  8.68704462e-01]
 [ 6.34358427e-01  3.65641079e-01]
 [ 6.34600997e-01  3.65398535e-01]
 [ 6.40489083e-01  3.59511440e-01]
 [ 1.01630005e+00 -1.63621260e-02]
 [ 6.34796304e-01  3.65202012e-01]
 [ 7.94308758e-02  9.21177040e-01]
 [ 8.67056618e-01  1.33243444e-01]
 [ 9.22663015e-01  7.73611266e-02]
 [ 6.34351924e-01  3.65647580e-01]
 [ 6.34747867e-01  3.65251401e-01]
 [ 6.56796167e-01  3.43213148e-01]
 [ 6.34977048e-01  3.65022538e-01]
 [-3.96138958e-02  1.03984624e+00]
 [ 6.34762225e-01  3.65237381e-01]
 [ 8.35714197e-01  1.64324628e-01]
 [ 5.98623012e-01  4.01347389e-01]
 [ 6.88807617e-01  3.11206470e-01]
 [ 9.82596146e-01  1.78963195e-02]
 [-7.97212322e-02  1.07945922e+00]
 [ 6.34502155e-01  3.65497363e-01]
 [ 6.61774979e-01  3.38223550e-01]
 [ 8.46171058e-01  1.53554704e-01]
 [ 1.03229942e+00 -3.24651847e-02]
 [ 1.03931343e+00 -3.89989304e-02]
 [-5.92987087e-02  1.05881362e+00]
 [ 6.34353447e-01  3.65646057e-01]
 [ 6.34285637e-01  3.65714387e-01]
 [ 6.34353043e-01  3.65646462e-01]
 [ 6.35579548e-01  3.64420277e-01]
 [ 1.35324116e+00 -3.52965461e-01]
 [ 5.63289722e-01  4.36718038e-01]
 [ 6.15276897e-01  3.84730012e-01]
 [ 8.82560075e-01  1.17143679e-01]
 [ 5.07296184e-02  9.48962953e-01]
