[[ 1.09990692e+00 -9.94338989e-02]
 [ 8.42262268e-01  1.58119202e-01]
 [ 8.30329895e-01  1.70181274e-01]
 [-8.01086426e-04  1.00114059e+00]
 [ 7.44628906e-03  9.93003845e-01]
 [ 2.37274170e-03  9.98100281e-01]
 [ 1.00009155e+00  3.28063965e-04]
 [ 4.73022461e-04  1.00003052e+00]
 [ 8.69636536e-01  1.30844116e-01]
 [ 6.92520142e-01  3.07983398e-01]
 [ 4.55055237e-01  5.45394897e-01]
 [ 5.08552551e-01  4.91867065e-01]
 [ 3.68705750e-01  6.31774902e-01]
 [-3.39508057e-04  1.00057411e+00]
 [ 6.10923767e-01  3.89549255e-01]
 [-3.60488892e-04  1.00059891e+00]
 [ 5.68656921e-01  4.31823730e-01]
 [ 9.50241089e-02  9.05448914e-01]
 [ 1.12169647e+00 -1.21223450e-01]
 [ 1.73095703e-01  8.27415466e-01]
 [ 6.38572693e-01  3.61907959e-01]
 [ 5.44883728e-01  4.55589294e-01]
 [ 8.90083313e-01  1.10397339e-01]
 [ 4.31449890e-01  5.69023132e-01]
 [ 9.85794067e-01  1.47171021e-02]
 [-1.46865845e-04  1.00054359e+00]
 [ 8.91334534e-01  1.09176636e-01]
 [ 4.25575256e-01  5.74806213e-01]
 [ 4.76554871e-01  5.23925781e-01]
 [-1.28936768e-03  1.00170898e+00]
 [ 5.76713562e-01  4.23736572e-01]
 [ 8.47892761e-01  1.52587891e-01]
 [ 3.80149841e-01  6.20361328e-01]
 [ 6.24931335e-01  3.75518799e-01]
 [ 6.98143005e-01  3.02337646e-01]
 [ 9.99418259e-01  6.99996948e-04]
 [ 2.36511230e-04  1.00026703e+00]
 [-1.06582642e-02  1.01119232e+00]
 [-3.22341919e-04  1.00065231e+00]
 [ 4.85725403e-01  5.14686584e-01]
 [-3.05175781e-05  1.00030518e+00]
 [ 1.09703827e+00 -9.65270996e-02]
 [ 6.48498535e-05  1.00025558e+00]
 [ 2.03300476e-01  7.97180176e-01]
 [ 6.72744751e-01  3.27697754e-01]
 [ 2.82287598e-04  1.00016022e+00]
 [ 9.25643921e-01  7.48062134e-02]
 [-8.01086426e-05  1.00034714e+00]
 [ 6.14677429e-01  3.85803223e-01]
 [-1.98364258e-04  1.00046158e+00]
 [ 8.57612610e-01  1.42860413e-01]
 [ 1.02334595e+00 -2.28652954e-02]
 [ 8.30009460e-01  1.70463562e-01]
 [ 1.04332733e+00 -4.29153442e-02]
 [ 7.49000549e-01  2.51510620e-01]
 [ 5.38078308e-01  4.62333679e-01]
 [-1.71661377e-04  1.00059128e+00]
 [ 6.30775452e-01  3.69667053e-01]
