[[ 1.04711914e+00 -4.66308594e-02]
 [ 7.82714844e-01  2.21191406e-01]
 [ 5.77636719e-01  4.23828125e-01]
 [ 1.71386719e-01  8.28613281e-01]
 [-2.67089844e-01  1.26806641e+00]
 [ 2.31201172e-01  7.72460938e-01]
 [ 1.17407227e+00 -1.72851562e-01]
 [-1.43554688e-01  1.14404297e+00]
 [ 7.87841797e-01  2.15576172e-01]
 [ 3.96728516e-01  6.03515625e-01]
 [ 6.00097656e-01  4.02099609e-01]
 [ 5.42724609e-01  4.59228516e-01]
 [ 5.96435547e-01  4.04296875e-01]
 [-5.73730469e-03  1.00622559e+00]
 [ 5.53466797e-01  4.47753906e-01]
 [ 9.80102539e-01  2.12402344e-02]
 [ 5.47607422e-01  4.53613281e-01]
 [ 2.07031250e-01  7.92236328e-01]
 [ 8.58154297e-01  1.44287109e-01]
 [ 4.15039062e-01  5.86425781e-01]
 [ 5.96191406e-01  4.05517578e-01]
 [ 6.69677734e-01  3.31054688e-01]
 [ 7.99560547e-01  2.00195312e-01]
 [ 6.74804688e-01  3.26904297e-01]
 [ 1.07958984e+00 -7.78808594e-02]
 [ 3.13720703e-02  9.68627930e-01]
 [ 7.20458984e-01  2.80517578e-01]
 [ 6.93603516e-01  3.10058594e-01]
 [ 6.41845703e-01  3.63525391e-01]
 [-2.35595703e-01  1.23706055e+00]
 [ 5.54443359e-01  4.45800781e-01]
 [ 8.13964844e-01  1.88232422e-01]
 [ 6.72363281e-01  3.28613281e-01]
 [ 5.68359375e-01  4.34570312e-01]
 [ 5.45898438e-01  4.56787109e-01]
 [ 1.29199219e+00 -2.91870117e-01]
 [-1.77001953e-01  1.17822266e+00]
 [-1.20361328e-01  1.12133789e+00]
 [-2.69775391e-02  1.02709961e+00]
 [ 5.43457031e-01  4.58496094e-01]
 [ 5.45654297e-02  9.47265625e-01]
 [ 9.26513672e-01  7.42187500e-02]
 [ 6.81152344e-02  9.32861328e-01]
 [ 6.86523438e-01  3.14697266e-01]
 [ 8.27880859e-01  1.73583984e-01]
 [-2.36572266e-01  1.23828125e+00]
 [ 8.43994141e-01  1.58935547e-01]
 [ 8.09692383e-01  1.91772461e-01]
 [ 6.03515625e-01  3.97216797e-01]
 [ 3.54003906e-03  9.96337891e-01]
 [ 6.48193359e-01  3.51806641e-01]
 [ 8.93554688e-01  1.09863281e-01]
 [ 6.83349609e-01  3.20068359e-01]
 [ 9.08935547e-01  9.25292969e-02]
 [ 5.43701172e-01  4.58740234e-01]
 [ 5.42724609e-01  4.59716797e-01]
 [ 9.68017578e-02  9.04907227e-01]
 [ 5.99365234e-01  4.02343750e-01]
 [ 1.47216797e-01  8.55224609e-01]
 [ 6.81152344e-01  3.18603516e-01]
 [ 8.69140625e-01  1.32568359e-01]
 [ 6.28906250e-01  3.73779297e-01]
 [ 4.51171875e-01  5.49560547e-01]
 [ 5.44677734e-01  4.57031250e-01]
 [ 5.69824219e-01  4.29931641e-01]
 [-8.58154297e-02  1.08520508e+00]
 [ 5.42968750e-01  4.59228516e-01]
 [ 5.06835938e-01  4.93652344e-01]
 [ 7.66845703e-01  2.34375000e-01]
 [ 5.44433594e-01  4.59472656e-01]
 [ 4.65332031e-01  5.35888672e-01]
 [ 8.43261719e-01  1.56127930e-01]
 [ 7.07275391e-01  2.94921875e-01]
 [ 6.07910156e-01  3.92578125e-01]
 [-1.05102539e-01  1.10424805e+00]
 [ 5.43212891e-01  4.60205078e-01]
 [ 5.47119141e-01  4.54345703e-01]
 [ 6.77246094e-01  3.26171875e-01]
 [ 7.19482422e-01  2.80761719e-01]
 [ 3.47900391e-01  6.54052734e-01]
 [-4.05273438e-02  1.04199219e+00]
 [ 9.42993164e-01  5.76171875e-02]
 [ 1.15795898e+00 -1.57226562e-01]
 [ 5.44433594e-01  4.58496094e-01]
 [ 5.76904297e-01  4.25292969e-01]
