[[ 0.74237721  0.25761529]
 [ 0.45095691  0.54903477]
 [ 0.70387764  0.29594557]
 [ 0.51524821  0.48457567]
 [ 0.57100153  0.4289062 ]
 [ 0.4813547   0.51863641]
 [ 0.68468721  0.31539353]
 [ 0.67480261  0.32516925]
 [ 0.34739529  0.65259484]
 [ 0.21380194  0.78614067]
 [ 0.92040777  0.07958715]
 [ 0.61500068  0.3850554 ]
 [ 0.24376485  0.75618428]
 [-0.15042865  1.15051625]
 [ 0.42466681  0.57513127]
 [ 0.48063162  0.5192562 ]
 [ 0.16679326  0.83312412]
 [ 0.49545764  0.50454596]
 [ 0.54432913  0.45571641]
 [-0.21515713  1.21496822]
 [ 0.79973022  0.20024328]
 [ 0.33151778  0.66832397]
 [-0.19412959  1.1937807 ]
 [ 0.75646987  0.24346533]
 [ 0.55695517  0.44318672]
 [ 0.1812923   0.81860273]
 [ 0.82499922  0.17484892]
 [-0.13897749  1.13908661]
 [ 0.93083516  0.06913737]
 [-0.3355282   1.33563464]
 [ 0.59362418  0.40629666]
 [ 0.18436621  0.81561408]
 [ 0.29283136  0.70719119]
 [ 0.58608966  0.41403979]
 [ 0.37497963  0.62497537]
 [ 0.67965766  0.32034921]
 [ 0.7257461   0.27429451]
 [ 0.19692695  0.80299422]
 [ 0.62171008  0.37821661]
 [ 0.37336243  0.62671939]
 [ 0.3559057   0.64413371]
 [ 0.8656885   0.13435457]
 [ 0.50298591  0.49719813]
 [ 0.48949479  0.51052138]
 [ 0.8137313   0.18627377]
 [ 0.34709726  0.65291834]
 [ 0.37160522  0.62842703]
 [ 0.8607944   0.13913274]
 [ 0.40450954  0.59547396]
 [ 1.30131199 -0.30132973]
 [ 0.51433787  0.48573604]
 [ 0.74100848  0.25890148]
 [ 0.57404768  0.42600512]
 [ 0.80219425  0.19779438]
 [ 0.36391483  0.63610295]
 [ 0.26020852  0.73985287]
 [ 0.22742615  0.77255755]
 [ 0.65158684  0.34849361]
 [-0.23339878  1.23343215]
 [-0.15517421  1.15524274]
 [ 0.57819037  0.42178072]
 [ 0.6960178   0.30399056]
 [ 0.90211193  0.09784755]
 [ 0.82675042  0.17329057]
 [-0.04954462  1.0494187 ]
 [ 0.35904028  0.6409518 ]
 [ 0.48333673  0.51668549]
 [ 0.54062978  0.45939746]
 [ 0.410365    0.58956656]
 [ 0.33441744  0.66573114]
 [ 0.45201507  0.54798283]
 [ 0.56721663  0.43282218]
 [ 0.44064426  0.55933946]
 [ 0.21500317  0.78501004]
 [-0.01349878  1.01354309]
 [ 0.51635827  0.48364281]
 [ 0.57173663  0.42832652]
 [ 0.73826683  0.26168042]
 [ 0.71673782  0.28322085]
 [ 0.24477941  0.75529017]
 [-0.13736489  1.13745969]
 [ 0.69033999  0.30961674]
 [ 0.67157826  0.32833847]
 [-0.06325526  1.06339643]
 [-0.08397364  1.08389137]
 [ 0.57108757  0.42889914]
 [ 0.28360075  0.71639092]
 [ 0.51105763  0.48895801]
 [ 0.44906498  0.55101627]
 [ 0.53959957  0.46037845]
 [ 0.70231431  0.29785069]
 [-0.11596294  1.11606666]
 [ 0.58331192  0.41666767]
 [ 0.94661359  0.05332558]
 [-0.08489869  1.08512229]
 [ 0.75074703  0.24932713]
 [ 0.53676099  0.46341379]
 [ 0.69651281  0.30367704]
 [ 0.64541403  0.35460315]
 [ 0.3290596   0.67096021]
 [ 0.48243998  0.51757353]
 [ 0.51444     0.48550437]
 [ 0.30477823  0.69529746]
 [ 0.86640754  0.1335324 ]
 [ 0.33921919  0.66080721]
 [ 0.62540929  0.37454978]
 [-0.0167792   1.01681904]
 [ 0.31454712  0.685541  ]
 [ 0.48068384  0.51937103]
 [ 0.53457202  0.46547461]
 [ 0.594639    0.40539964]
 [ 0.63828243  0.36162012]
 [ 0.89565224  0.10439626]
 [-0.30221551  1.30218829]
 [ 0.36038196  0.63958584]
 [ 0.82736839  0.17252968]
 [ 0.59057431  0.40932711]
 [ 0.80512888  0.19486712]
 [ 0.53232892  0.46765906]
 [ 0.75376281  0.24616624]
 [ 0.6598405   0.34013999]
 [ 0.67687967  0.32305969]
 [-0.26853455  1.26838905]
 [ 0.90518459  0.09478123]
 [ 0.07137577  0.92859846]
 [ 1.07318399 -0.07329922]
 [ 0.44013704  0.55966516]
 [ 0.18720805  0.81294232]
 [ 0.140501    0.85949585]
 [ 0.17797206  0.82205018]
 [ 0.47803566  0.52194014]
 [ 0.5003899   0.49955407]
 [ 0.61983793  0.38024481]
