[[ 7.48998500e-01  2.51001458e-01]
 [ 4.01718764e-01  5.98281218e-01]
 [ 3.35524095e-01  6.64475860e-01]
 [ 4.53474035e-01  5.46525923e-01]
 [ 9.42486774e-01  5.75131985e-02]
 [ 9.12111202e-01  8.78887548e-02]
 [ 9.13779547e-01  8.62204282e-02]
 [ 5.25868542e-01  4.74131430e-01]
 [ 4.86355115e-01  5.13644827e-01]
 [ 2.81862956e-01  7.18137003e-01]
 [ 7.26406575e-01  2.73593386e-01]
 [ 6.39468016e-01  3.60531937e-01]
 [ 3.67616970e-01  6.32383005e-01]
 [ 4.85380351e-01  5.14619615e-01]
 [ 3.94041404e-01  6.05958561e-01]
 [ 7.06334438e-01  2.93665534e-01]
 [ 4.36877050e-01  5.63122925e-01]
 [ 4.11810509e-01  5.88189455e-01]
 [ 8.11218329e-01  1.88781633e-01]
 [ 7.15333444e-01  2.84666503e-01]
 [ 7.96004236e-01  2.03995735e-01]
 [-5.22371748e-02  1.05223711e+00]
 [ 6.12444747e-01  3.87555226e-01]
 [ 6.30724867e-01  3.69275085e-01]
 [ 6.66170061e-01  3.33829918e-01]
 [ 2.31270346e-01  7.68729609e-01]
 [ 4.11260473e-01  5.88739485e-01]
 [-1.77196025e-01  1.17719597e+00]
 [ 4.31213856e-01  5.68786098e-01]
 [ 5.94215371e-01  4.05784600e-01]
 [ 2.25658059e-01  7.74341882e-01]
 [ 1.72980161e-01  8.27019802e-01]
 [ 2.12566774e-01  7.87433202e-01]
 [ 7.13654229e-01  2.86345743e-01]
 [ 5.48567256e-01  4.51432696e-01]
 [ 1.93195942e-01  8.06804034e-01]
 [ 7.76025542e-01  2.23974413e-01]
 [ 2.44323171e-01  7.55676790e-01]
 [ 3.08679308e-01  6.91320650e-01]
 [ 6.21032188e-01  3.78967775e-01]
 [ 8.87570748e-01  1.12429226e-01]
 [ 6.03626492e-01  3.96373464e-01]
 [ 6.96539727e-01  3.03460223e-01]
 [ 7.02883647e-01  2.97116322e-01]
 [ 8.08214500e-01  1.91785467e-01]
 [ 3.16301663e-01  6.83698303e-01]
 [ 7.84924534e-01  2.15075434e-01]
 [ 6.67580864e-01  3.32419099e-01]
 [ 1.39543291e-01  8.60456657e-01]
 [ 8.27652282e-01  1.72347689e-01]
 [ 9.84159997e-01  1.58399628e-02]
 [ 9.03486874e-01  9.65130844e-02]
 [ 2.31654445e-01  7.68345514e-01]
 [ 6.23663534e-01  3.76336434e-01]
 [ 6.49151120e-01  3.50848827e-01]
 [-1.73696929e-02  1.01736966e+00]
 [-2.47845063e-01  1.24784502e+00]
