[[ 6.54478073e-02  9.34556961e-01]
 [ 9.50837612e-01  4.91466522e-02]
 [ 7.65419006e-03  9.92335796e-01]
 [ 7.25303173e-01  2.74691105e-01]
 [ 6.34706020e-01  3.65287781e-01]
 [-5.17086983e-02  1.05169868e+00]
 [ 6.46329403e-01  3.53662014e-01]
 [ 7.73247242e-01  2.26750851e-01]
 [ 2.45587349e-01  7.54409790e-01]
 [ 1.61155224e-01  8.38844299e-01]
 [ 5.49143314e-01  4.50845718e-01]
 [ 8.08921814e-01  1.91077232e-01]
 [-3.65701199e-01  1.36570501e+00]
 [ 3.98160934e-01  6.01829052e-01]
 [ 3.52636337e-01  6.47356510e-01]
 [ 8.64135742e-01  1.35873318e-01]
 [ 7.81330585e-01  2.18661785e-01]
 [ 6.45358086e-01  3.54632378e-01]
 [ 5.25105000e-01  4.74892616e-01]
 [ 9.57338333e-01  4.26473618e-02]
 [ 5.35335541e-01  4.64651108e-01]
 [ 1.86197758e-01  8.13798904e-01]
 [ 8.09894085e-01  1.90091133e-01]
 [ 8.55348110e-01  1.44648552e-01]
 [-1.98221207e-02  1.01980543e+00]
 [-9.84978676e-02  1.09849834e+00]
 [ 9.88130093e-01  1.18727684e-02]
 [ 6.91705704e-01  3.08288574e-01]
 [-1.29369259e-01  1.12936115e+00]
 [ 6.71482086e-02  9.32850361e-01]
 [ 4.70146179e-01  5.29850006e-01]
 [ 4.43310738e-01  5.56684017e-01]
 [ 3.74743462e-01  6.25260353e-01]
 [ 5.46163559e-01  4.53832626e-01]
 [-4.62045670e-02  1.04620266e+00]
 [ 9.53199863e-01  4.67929840e-02]
 [ 7.47559547e-01  2.52439976e-01]
 [ 7.96473980e-01  2.03526974e-01]
 [ 4.41298485e-01  5.58706284e-01]
 [ 1.04930878e+00 -4.93130684e-02]
 [ 7.86732197e-01  2.13268280e-01]
 [-7.89833069e-03  1.00787640e+00]
 [ 1.05978966e-01  8.94011021e-01]
 [ 5.38799763e-01  4.61199284e-01]
 [ 5.63554764e-01  4.36440945e-01]
 [ 6.59473419e-01  3.40525150e-01]
 [-4.28678989e-01  1.42868042e+00]
 [ 8.10289383e-02  9.18970585e-01]
 [-5.66730499e-02  1.05667877e+00]
 [-5.10940552e-02  1.05108643e+00]
 [ 1.03101015e+00 -3.10206413e-02]
 [ 4.19606209e-01  5.80382824e-01]
 [ 1.23157978e-01  8.76833439e-01]
 [ 5.31454563e-01  4.68533039e-01]
 [ 1.10486650e+00 -1.04866505e-01]
 [ 5.99756718e-01  4.00230885e-01]
 [ 4.07681942e-01  5.92317104e-01]
 [ 7.82423019e-01  2.17575550e-01]
 [ 8.26829433e-01  1.73166275e-01]
 [ 5.21058559e-01  4.78939056e-01]
 [ 8.91881466e-01  1.08108044e-01]
 [ 5.80377579e-02  9.41948414e-01]
 [-1.48737907e-01  1.14873505e+00]
 [-6.45408630e-02  1.06453657e+00]
 [-3.66425514e-02  1.03664160e+00]
 [ 6.22492313e-01  3.77495766e-01]
 [ 6.56971931e-02  9.34289932e-01]
 [-9.49845314e-02  1.09498596e+00]
 [ 4.84725952e-01  5.15263081e-01]
 [ 9.97612000e-01  2.38323212e-03]
 [ 1.14797974e+00 -1.47982121e-01]
 [ 1.02994156e+00 -2.99348831e-02]
 [ 3.94289494e-01  6.05706215e-01]
 [ 3.16004753e-01  6.83991909e-01]
 [-3.56674194e-04  1.00035477e+00]
 [ 4.01781559e-01  5.98215103e-01]
 [ 5.90432167e-01  4.09574509e-01]
 [ 6.01415634e-01  3.98578644e-01]
 [ 4.81434822e-01  5.18554688e-01]
 [ 1.00111723e+00 -1.13248825e-03]
 [ 3.07157993e-01  6.92841530e-01]
 [ 6.62357330e-01  3.37638378e-01]
 [ 6.55824661e-01  3.44167233e-01]
 [ 8.30605030e-01  1.69383049e-01]
 [ 1.31789684e-01  8.68204594e-01]
 [ 9.35567379e-01  6.44168854e-02]
 [ 1.12575531e-01  8.87419224e-01]
 [ 7.89399624e-01  2.10600376e-01]
 [ 3.71518612e-01  6.28464699e-01]
 [ 6.05552673e-01  3.94453049e-01]
 [-1.10198975e-01  1.11018753e+00]
 [ 2.06573963e-01  7.93420315e-01]
 [ 2.01936722e-01  7.98055172e-01]
 [-5.35044670e-02  1.05350208e+00]
 [ 8.07360649e-01  1.92641735e-01]
 [ 5.34804344e-01  4.65196133e-01]
 [ 4.38152790e-01  5.61841965e-01]
 [ 6.64690971e-01  3.35312366e-01]
 [ 3.71047020e-01  6.28962040e-01]
 [ 3.90707970e-01  6.09300137e-01]
 [-4.44083214e-02  1.04440355e+00]
 [ 1.80224895e-01  8.19766521e-01]
 [ 5.19639492e-01  4.80360031e-01]
 [ 3.24500084e-01  6.75496578e-01]
 [ 3.53025436e-01  6.46964073e-01]
 [ 5.30322075e-01  4.69681263e-01]
 [ 5.99337101e-01  4.00663853e-01]
 [ 9.18576241e-01  8.14161301e-02]
 [ 7.21733570e-01  2.78260231e-01]
 [ 7.17043877e-02  9.28286552e-01]
 [ 2.89048672e-01  7.10943699e-01]
 [ 7.89801121e-01  2.10188866e-01]
 [ 1.47789001e-01  8.52210999e-01]
 [ 9.99912739e-01  7.62939453e-05]
 [ 8.94505978e-01  1.05494022e-01]
 [ 9.28092003e-01  7.19070435e-02]
 [ 1.06043959e+00 -6.04486465e-02]
 [ 7.64686108e-01  2.35312462e-01]
 [ 8.07971478e-01  1.92022800e-01]
 [ 1.29576206e-01  8.70419502e-01]
 [-1.63113594e-01  1.16310453e+00]
 [ 7.74214268e-01  2.25775242e-01]
 [ 1.01212549e+00 -1.21250153e-02]
 [ 9.20312881e-01  7.96780586e-02]
 [ 6.88694477e-01  3.11310291e-01]
 [ 7.36221313e-01  2.63775349e-01]
 [ 7.56759644e-02  9.24325466e-01]
 [ 6.12847805e-01  3.87151718e-01]
 [ 9.18765545e-01  8.12335014e-02]
 [ 8.91296387e-01  1.08691692e-01]
 [-3.03758621e-01  1.30375338e+00]
 [ 5.35712242e-01  4.64280605e-01]
 [ 9.91133690e-01  8.86344910e-03]
 [ 6.20847225e-01  3.79146099e-01]
 [ 7.98577785e-01  2.01423168e-01]
 [ 1.08400106e+00 -8.39996338e-02]
 [ 7.31264591e-01  2.68725872e-01]
 [ 9.19408798e-02  9.08050060e-01]
 [ 9.51385498e-01  4.86111641e-02]
 [-1.91073418e-02  1.01909828e+00]
 [ 2.75521755e-01  7.24471569e-01]
 [ 1.09668159e+00 -9.66820717e-02]
 [ 7.76832581e-01  2.23158360e-01]
 [ 1.10055065e+00 -1.00552559e-01]
 [ 2.43334293e-01  7.56661892e-01]
 [ 3.83631229e-01  6.16367817e-01]
 [ 8.13744068e-01  1.86250210e-01]
 [ 1.33583832e+00 -3.35838318e-01]
 [ 3.41219425e-01  6.58774853e-01]
 [ 8.15896988e-01  1.84102535e-01]
 [ 5.65820694e-01  4.34185505e-01]
 [ 4.82884884e-01  5.17117023e-01]
 [ 6.53554916e-01  3.46449375e-01]
 [ 6.27319336e-01  3.72679710e-01]
 [ 6.28932953e-01  3.71057034e-01]
 [ 1.10323000e+00 -1.03245735e-01]
 [ 6.49290085e-01  3.50703239e-01]
 [-9.75017548e-02  1.09748363e+00]
 [ 7.12395191e-01  2.87604332e-01]
 [ 3.35182190e-01  6.64823055e-01]
 [ 5.85694790e-01  4.14295197e-01]
 [ 9.94931698e-01  5.06687164e-03]
 [-2.15785980e-01  1.21578646e+00]
 [ 1.09951973e-01  8.90044212e-01]
 [-6.52222633e-02  1.06521797e+00]
 [ 5.25364876e-02  9.47451591e-01]
 [ 9.99752998e-01  2.53677368e-04]
 [ 8.19153786e-02  9.18082237e-01]
 [ 3.02176476e-02  9.69787598e-01]
 [-9.36007500e-02  1.09359550e+00]
 [ 2.09350109e-01  7.90639400e-01]
 [ 3.20850849e-01  6.79152489e-01]
 [ 3.47714901e-01  6.52276516e-01]
 [ 8.48519802e-01  1.51461124e-01]
 [ 3.54344368e-01  6.45653248e-01]
 [-4.43072319e-02  1.04429865e+00]
 [ 1.05426979e+00 -5.42764664e-02]
 [ 1.10461712e-01  8.89530182e-01]
 [ 5.74816704e-01  4.25179005e-01]
 [ 4.68659401e-02  9.53122139e-01]
 [-6.36920929e-02  1.06368351e+00]
 [-3.39283943e-02  1.03392792e+00]
 [ 4.30356503e-01  5.69628716e-01]
 [ 6.87166691e-01  3.12831402e-01]
 [ 8.24562073e-01  1.75438404e-01]
 [ 7.68960476e-01  2.31036663e-01]
 [ 7.58294106e-01  2.41697311e-01]
 [ 6.89509869e-01  3.10484886e-01]
 [-1.52600765e-01  1.15259933e+00]
 [ 7.73811340e-01  2.26195335e-01]
 [-1.07642651e-01  1.10763025e+00]
 [ 1.05224133e-01  8.94774914e-01]
 [ 3.91019821e-01  6.08973026e-01]
 [ 3.43852520e-01  6.56150818e-01]
 [ 7.46226311e-01  2.53766060e-01]
 [ 2.20958233e-01  7.79035568e-01]
 [ 6.21203899e-01  3.78792763e-01]
 [ 7.63942242e-01  2.36052990e-01]
 [ 1.78797245e-01  8.21191788e-01]
 [ 8.87658119e-01  1.12336636e-01]
 [ 2.22157478e-01  7.77843475e-01]
 [ 5.14278412e-01  4.85708714e-01]
 [ 7.69356728e-01  2.30638504e-01]
 [ 3.76150131e-01  6.23843670e-01]
 [ 3.58733654e-01  6.41262054e-01]
 [-4.60214615e-02  1.04601049e+00]
 [-6.64043427e-03  1.00663662e+00]
 [ 1.17968988e+00 -1.79692268e-01]
 [ 4.67596054e-02  9.53242779e-01]
 [ 9.33405399e-01  6.65912628e-02]
 [-6.07728958e-02  1.06076956e+00]
 [ 7.01913834e-01  2.98076630e-01]
 [ 1.92627907e-02  9.80742931e-01]
 [ 7.47236252e-01  2.52754211e-01]
 [ 7.12412357e-01  2.87585258e-01]
 [ 7.55715847e-01  2.44274139e-01]
 [ 9.67578411e-01  3.24134827e-02]
 [ 4.07265186e-01  5.92724800e-01]
 [-1.02868557e-01  1.10285330e+00]
 [ 1.18232298e+00 -1.82325363e-01]
 [ 1.09099674e+00 -9.09957886e-02]
 [-2.68762112e-01  1.26876497e+00]
 [ 6.32834435e-02  9.36712742e-01]
 [ 4.52757359e-01  5.47239304e-01]
 [ 1.72837257e-01  8.27155113e-01]
 [ 5.08022308e-03  9.94907856e-01]
 [-3.04360390e-02  1.03042984e+00]
 [ 5.77824593e-01  4.22166824e-01]
 [ 6.98260307e-01  3.01731586e-01]
 [ 3.82877350e-01  6.17112637e-01]
 [ 9.51231956e-01  4.87647057e-02]
 [ 3.96020412e-01  6.03976250e-01]
 [ 1.06083822e+00 -6.08472824e-02]
 [ 4.59048748e-01  5.40945530e-01]
 [ 8.52541924e-01  1.47447109e-01]
 [ 6.09838009e-01  3.90160084e-01]
 [ 1.14174366e-01  8.85825634e-01]
 [ 1.51411057e-01  8.48587036e-01]
 [ 2.56220341e-01  7.43772030e-01]
 [ 5.63405037e-01  4.36583996e-01]
 [ 7.09417343e-01  2.90576458e-01]
 [ 2.14741707e-01  7.85263062e-01]
 [ 3.30092430e-01  6.69900417e-01]
 [ 2.85380363e-01  7.14611530e-01]
 [ 4.83563900e-01  5.16433239e-01]
 [-3.58347416e-01  1.35834646e+00]
 [-3.43556404e-02  1.03435040e+00]
 [ 7.62104034e-01  2.37883091e-01]
 [ 5.35845757e-02  9.46405411e-01]
 [-1.31876469e-01  1.13186741e+00]
 [ 5.56999207e-01  4.43000317e-01]
 [-2.97303200e-02  1.02972126e+00]
 [ 1.10174370e+00 -1.01746082e-01]
 [ 5.10449409e-01  4.89546299e-01]
 [-1.63671017e-01  1.16367102e+00]
 [ 3.95116806e-01  6.04871273e-01]
 [-2.99558640e-02  1.02994633e+00]
 [ 6.85432434e-01  3.14563751e-01]
 [ 8.67149353e-01  1.32854939e-01]
 [ 5.99117279e-02  9.40083027e-01]
 [ 5.64473629e-01  4.35525417e-01]
 [ 8.26578140e-02  9.17332172e-01]
 [ 2.26227283e-01  7.73769855e-01]
 [ 7.41701126e-01  2.58291245e-01]
 [ 1.08731222e+00 -8.73188972e-02]
 [ 3.37688923e-01  6.62302017e-01]
 [ 6.77123547e-01  3.22870255e-01]
 [ 6.18847847e-01  3.81146908e-01]
 [ 7.91465759e-01  2.08530903e-01]
 [ 1.24632502e+00 -2.46330738e-01]
 [ 5.29754639e-01  4.70238686e-01]
 [-9.54952240e-02  1.09549284e+00]
 [-2.34774113e-01  1.23477316e+00]
 [ 8.12746048e-01  1.87247753e-01]
 [ 6.68097496e-01  3.31901073e-01]
 [ 9.60311890e-01  3.96790504e-02]
 [ 1.18385267e+00 -1.83854580e-01]
 [ 5.36589146e-01  4.63387966e-01]
 [-2.06861496e-02  1.02067661e+00]
 [ 9.08545017e-01  9.14449692e-02]
 [ 8.79799366e-01  1.20188236e-01]
 [-1.61257267e-01  1.16124964e+00]
 [ 8.43134880e-01  1.56866074e-01]
 [-3.21854591e-01  1.32184362e+00]
 [ 1.85302734e-01  8.14692974e-01]
 [-5.24220467e-02  1.05241394e+00]
 [ 9.75202084e-01  2.47921944e-02]
 [ 4.11693096e-01  5.88297844e-01]
 [ 8.34799767e-01  1.65194511e-01]
 [ 4.20726776e-01  5.79269409e-01]
 [ 8.38043690e-01  1.61949635e-01]
 [-7.55786896e-03  1.00754786e+00]
 [ 6.01999760e-01  3.97994518e-01]
 [ 5.18341064e-02  9.48160648e-01]
 [ 7.04495907e-01  2.95497894e-01]
 [ 3.49414349e-01  6.50585175e-01]
 [ 7.88501263e-01  2.11488247e-01]
 [ 3.21790695e-01  6.78201675e-01]
 [ 6.03341579e-01  3.96646023e-01]
 [ 7.85718441e-01  2.14278221e-01]
 [ 8.75406265e-01  1.24588490e-01]
 [ 7.96319008e-01  2.03670979e-01]
 [-7.68384933e-02  1.07683706e+00]
 [ 8.52503777e-02  9.14746284e-01]
 [ 8.75015259e-01  1.24977589e-01]
 [ 7.26718903e-01  2.73269176e-01]
 [ 7.89785385e-01  2.10211277e-01]
 [-1.82321548e-01  1.18231535e+00]
 [ 7.85879612e-01  2.14114189e-01]
 [ 6.90438271e-01  3.09555054e-01]
 [ 9.30305004e-01  6.96935654e-02]
 [ 9.09600735e-01  9.03925896e-02]
 [ 3.09333324e-01  6.90659523e-01]
 [ 1.65087700e-01  8.34913254e-01]
 [ 1.11355209e+00 -1.13550663e-01]
 [ 4.43552494e-01  5.56450367e-01]
 [ 1.85019493e-01  8.14976215e-01]
 [ 8.18577290e-01  1.81412697e-01]
 [ 1.17610931e-01  8.82391930e-01]
 [ 7.22263813e-01  2.77725697e-01]
 [ 1.82231903e-01  8.17769051e-01]
 [ 3.39764118e-01  6.60234451e-01]
 [ 6.54248714e-01  3.45748425e-01]
 [ 8.17493439e-01  1.82503223e-01]
 [ 3.59199524e-01  6.40797615e-01]
 [ 6.04997635e-01  3.94999981e-01]
 [ 3.99191856e-01  6.00816250e-01]
 [ 8.07205200e-01  1.92787170e-01]
 [ 5.48330784e-01  4.51666355e-01]
 [-3.67689133e-02  1.03675747e+00]
 [ 9.91059303e-01  8.93831253e-03]
 [ 5.98134995e-01  4.01855469e-01]
 [ 4.75588799e-01  5.24403095e-01]
 [ 1.54156208e-01  8.45843792e-01]
 [ 5.24903774e-01  4.75082397e-01]
 [ 8.85324001e-01  1.14673138e-01]
 [ 8.97251129e-01  1.02754116e-01]
 [ 5.73078632e-01  4.26913261e-01]
 [ 5.06304264e-01  4.93700981e-01]
 [-1.74784660e-02  1.01747561e+00]
 [ 6.83174610e-01  3.16814899e-01]
 [ 4.76895809e-01  5.23098469e-01]
 [ 8.74524593e-01  1.25459194e-01]
 [ 1.60789490e-03  9.98387814e-01]
 [ 5.40604591e-01  4.59385395e-01]
 [ 5.27556896e-01  4.72440720e-01]
 [ 8.81392002e-01  1.18597031e-01]
 [ 3.11331272e-01  6.88663006e-01]
 [ 6.19052887e-01  3.80942345e-01]
 [ 7.68873215e-01  2.31126785e-01]
 [ 1.00581074e+00 -5.80310822e-03]
 [ 6.07018471e-01  3.92984390e-01]
 [-2.18276024e-01  1.21827364e+00]
 [ 7.78685093e-01  2.21315384e-01]
 [ 6.34273052e-01  3.65719795e-01]
 [ 1.41070843e-01  8.58922005e-01]
 [ 7.19596863e-01  2.80396461e-01]
 [ 7.23708153e-01  2.76272774e-01]
 [ 8.38234425e-01  1.61752224e-01]
 [ 3.84750366e-02  9.61520195e-01]
 [ 1.03918314e+00 -3.91788483e-02]
 [ 7.35136509e-01  2.64857292e-01]
 [ 3.29741955e-01  6.70244694e-01]
 [ 6.30494118e-01  3.69494915e-01]
 [ 9.34101105e-01  6.58917427e-02]
 [ 8.25501442e-01  1.74494267e-01]
 [-6.75201416e-03  1.00674343e+00]
 [ 9.74318981e-01  2.56843567e-02]
 [ 2.90163517e-01  7.09833622e-01]
 [-7.63559341e-02  1.07635832e+00]
 [ 3.48868370e-02  9.65118408e-01]
 [-6.94584846e-02  1.06945467e+00]
 [-2.18834400e-01  1.21882868e+00]
 [ 9.72427845e-01  2.75678635e-02]
 [ 8.58650684e-01  1.41348362e-01]
 [-7.52897263e-02  1.07528782e+00]
 [ 1.15442324e+00 -1.54429913e-01]
 [-2.53131390e-01  1.25311708e+00]
 [ 7.87541389e-01  2.12456703e-01]
 [ 2.18256474e-01  7.81744003e-01]
 [ 7.25373268e-01  2.74626255e-01]
 [ 5.20432472e-01  4.79570866e-01]
 [ 1.00582886e+00 -5.83076477e-03]
 [ 5.83091736e-01  4.16902065e-01]
 [ 2.78848171e-01  7.21150875e-01]
 [ 5.02613544e-01  4.97371197e-01]
 [ 8.13744068e-01  1.86255455e-01]
 [ 5.58328629e-03  9.94414806e-01]
 [ 5.51259995e-01  4.48732376e-01]
 [ 3.35643291e-01  6.64355278e-01]
 [ 2.60710716e-02  9.73924637e-01]
 [ 7.22846508e-01  2.77154922e-01]
 [ 7.70503044e-01  2.29496956e-01]
 [ 7.34908104e-01  2.65080929e-01]
 [-2.91576385e-02  1.02915716e+00]
 [ 3.24015141e-01  6.75972462e-01]
 [ 1.10968494e+00 -1.09696388e-01]
 [ 7.30386257e-01  2.69615650e-01]
 [ 6.04276180e-01  3.95716667e-01]
 [ 8.85224342e-01  1.14769936e-01]
 [ 6.59199238e-01  3.40788364e-01]
 [ 5.53094864e-01  4.46898937e-01]
 [ 3.09998035e-01  6.90006733e-01]
 [ 4.91018772e-01  5.08976460e-01]
 [ 7.03794003e-01  2.96202183e-01]
 [ 5.53613186e-01  4.46391582e-01]
 [ 8.55817795e-02  9.14417744e-01]
