[[-8.80130772e-02  1.08799750e+00]
 [ 6.36243337e-01  3.63753974e-01]
 [ 1.64922104e-01  8.35072933e-01]
 [ 1.08880599e+00 -8.88004268e-02]
 [ 6.73632002e-01  3.26374028e-01]
 [ 4.71752792e-03  9.95195504e-01]
 [ 5.96288564e-01  4.03733354e-01]
 [ 8.20265480e-01  1.79724815e-01]
 [ 5.22028747e-01  4.77999047e-01]
 [ 3.54717357e-02  9.64530662e-01]
 [ 4.33192482e-01  5.66808985e-01]
 [ 6.76025958e-01  3.23978328e-01]
 [ 2.05191370e-01  7.94787914e-01]
 [ 3.91467735e-01  6.08520521e-01]
 [ 3.42288308e-01  6.57733399e-01]
 [ 9.24521784e-01  7.54608605e-02]
 [ 8.18501825e-01  1.81505575e-01]
 [ 5.05812964e-01  4.94215172e-01]
 [ 5.95559992e-01  4.04438144e-01]
 [ 1.35255013e+00 -3.52568798e-01]
 [ 5.45639094e-01  4.54381456e-01]
 [-7.76959087e-02  1.07768379e+00]
 [ 7.41260350e-01  2.58751953e-01]
 [ 6.78492851e-01  3.21448814e-01]
 [-4.10518037e-02  1.04099271e+00]
 [-2.75867005e-01  1.27588305e+00]
 [ 9.14837872e-01  8.52156469e-02]
 [ 6.55166304e-01  3.44853066e-01]
 [-1.31266091e-01  1.13121439e+00]
 [ 2.31574759e-01  7.68422859e-01]
 [ 4.70977061e-01  5.28999124e-01]
 [ 4.37149389e-01  5.62849389e-01]
 [ 5.75216594e-01  4.24808061e-01]
 [ 4.24463105e-01  5.75536154e-01]
 [-3.13341384e-02  1.03130386e+00]
 [ 6.70321722e-01  3.29678490e-01]
 [ 6.60300030e-01  3.39675080e-01]
 [ 7.46543435e-01  2.53415209e-01]
 [ 6.12505065e-01  3.87457710e-01]
 [ 7.18921782e-01  2.81073126e-01]
 [ 8.89311845e-01  1.10694580e-01]
 [ 3.71167656e-02  9.62893515e-01]
 [ 7.24087017e-02  9.27648262e-01]
 [ 5.57286283e-01  4.42677754e-01]
 [ 5.86164854e-01  4.13840064e-01]
 [ 4.37922970e-01  5.62071322e-01]
 [-7.65040249e-02  1.07661071e+00]
 [-3.74177454e-01  1.37430593e+00]
 [-1.63178931e-02  1.01633339e+00]
 [ 3.83726884e-02  9.61617490e-01]
 [ 1.20924814e+00 -2.09252563e-01]
 [ 5.04750894e-01  4.95248557e-01]
 [ 1.99640850e-01  8.00341046e-01]
 [ 6.49612090e-01  3.50417780e-01]
 [ 1.11375208e+00 -1.13801935e-01]
 [ 7.26864883e-01  2.73175416e-01]
 [ 4.25838351e-01  5.74186180e-01]
 [ 7.14859714e-01  2.85152871e-01]
 [ 9.17259575e-01  8.27824018e-02]
 [ 5.69311713e-01  4.30743245e-01]
 [ 7.49835743e-01  2.50142045e-01]
 [ 1.81953723e-01  8.18155784e-01]
 [-2.06580812e-01  1.20653230e+00]
 [ 1.86721082e-01  8.13282478e-01]
 [ 3.21966548e-02  9.67784526e-01]
 [ 6.14847040e-01  3.85140394e-01]
 [ 1.50748388e-01  8.49122244e-01]
 [-2.28834172e-01  1.22875766e+00]
 [ 5.90764746e-01  4.09225929e-01]
 [ 9.10443377e-01  8.95706983e-02]
 [ 7.28144561e-01  2.71795598e-01]
 [ 8.74474591e-01  1.25538349e-01]
 [ 1.43983622e-01  8.56036757e-01]
 [ 5.22163711e-01  4.77847213e-01]
 [-1.30373065e-01  1.13040032e+00]
 [ 3.83436110e-01  6.16528531e-01]
 [ 5.86330109e-01  4.13654327e-01]
 [ 5.13309568e-01  4.86655044e-01]
 [ 7.87324001e-01  2.12641895e-01]
 [ 9.53902523e-01  4.61481110e-02]
 [ 2.17199660e-01  7.82810285e-01]
 [ 6.86067555e-01  3.13936741e-01]
 [ 6.04522237e-01  3.95504622e-01]
 [ 7.19527772e-01  2.80439978e-01]
 [ 4.57228787e-01  5.42721850e-01]
 [ 6.39875307e-01  3.60142180e-01]
 [ 7.94647225e-02  9.20523938e-01]
 [ 6.53938058e-01  3.46040025e-01]
 [ 6.14132706e-01  3.85884272e-01]
 [ 4.04041627e-01  5.95898571e-01]
 [ 2.84401166e-02  9.71574149e-01]
 [ 1.86173504e-01  8.13803549e-01]
 [ 5.79434036e-02  9.42034052e-01]
 [ 5.03810147e-02  9.49580105e-01]
 [ 8.80769459e-01  1.19228084e-01]
 [ 5.33893188e-01  4.66119358e-01]
 [ 3.01628188e-01  6.98404703e-01]
 [ 3.86662250e-01  6.13366320e-01]
 [ 4.03271883e-01  5.96741492e-01]
 [ 4.34455218e-01  5.65593572e-01]
 [-3.04968010e-01  1.30497258e+00]
 [ 2.90686358e-01  7.09343037e-01]
 [ 6.02597347e-01  3.97418360e-01]
 [ 4.07593504e-01  5.92417036e-01]
 [ 3.92091748e-01  6.07917686e-01]
 [ 3.02383941e-01  6.97624588e-01]
 [ 5.77058794e-01  4.22923814e-01]
 [ 6.57047055e-01  3.42971463e-01]
 [ 7.68051553e-01  2.31976146e-01]
 [ 2.77184841e-02  9.72268144e-01]
 [ 2.03342707e-01  7.96632620e-01]
 [ 8.43692103e-01  1.56246506e-01]
 [ 2.83833310e-01  7.16182961e-01]
 [ 9.80613668e-01  1.93731868e-02]
 [ 1.00145666e+00 -1.43647978e-03]
 [ 8.34064868e-01  1.65959363e-01]
 [ 9.41232441e-01  5.87812740e-02]
 [ 4.34734754e-01  5.65295491e-01]
 [ 6.60055408e-01  3.39924585e-01]
 [ 3.38138529e-01  6.61779683e-01]
 [ 3.42861963e-01  6.57246015e-01]
 [ 5.84631795e-01  4.15354360e-01]
 [ 8.13313168e-01  1.86623993e-01]
 [ 9.10609572e-01  8.94227043e-02]
 [ 6.09933624e-01  3.90083695e-01]
 [ 6.27831518e-01  3.72172876e-01]
 [-2.05748981e-01  1.20575082e+00]
 [ 7.10292393e-01  2.89679851e-01]
 [ 7.99647452e-01  2.00342763e-01]
 [ 8.16934325e-01  1.83027969e-01]
 [-9.41959342e-02  1.09415450e+00]
 [ 5.56462391e-01  4.43567604e-01]
 [ 8.40171770e-01  1.59841126e-01]
 [ 4.15470570e-01  5.84527411e-01]
 [ 5.48627573e-01  4.51363026e-01]
 [ 4.87213242e-01  5.12769887e-01]
 [ 4.96874002e-01  5.03143176e-01]
 [ 1.43136256e-01  8.56837612e-01]
 [ 8.41931939e-01  1.58075139e-01]
 [-3.42652778e-03  1.00338052e+00]
 [ 4.43301931e-01  5.56700142e-01]
 [ 8.97629564e-01  1.02272300e-01]
 [ 8.27275144e-01  1.72747607e-01]
 [ 8.38697866e-01  1.61274139e-01]
 [ 1.42323890e-01  8.57678114e-01]
 [ 5.22612742e-01  4.77387210e-01]
 [ 7.84845722e-01  2.15158173e-01]
 [ 9.45562241e-01  5.44014080e-02]
 [ 4.03957101e-01  5.96037417e-01]
 [ 9.46659184e-01  5.33671539e-02]
