[[ 2.89847366e-01  7.10152651e-01]
 [ 6.16510644e-01  3.83489426e-01]
 [ 5.92644288e-01  4.07355690e-01]
 [-1.02965859e-01  1.10296588e+00]
 [ 6.84214913e-01  3.15785100e-01]
 [ 8.37623279e-01  1.62376689e-01]
 [ 9.87398347e-01  1.26016502e-02]
 [ 7.55511241e-01  2.44488776e-01]
 [-3.15401795e-01  1.31540171e+00]
 [ 6.93400108e-01  3.06599877e-01]
 [ 5.20294694e-01  4.79705278e-01]
 [ 1.08149742e+00 -8.14974402e-02]
 [ 2.53982638e-01  7.46017384e-01]
 [ 6.69462720e-01  3.30537295e-01]
 [ 7.65797100e-01  2.34202844e-01]
 [ 5.95420095e-01  4.04579888e-01]
 [ 9.34692318e-02  9.06530785e-01]
 [-2.37479277e-01  1.23747924e+00]
 [ 4.24220956e-01  5.75779023e-01]
 [ 2.69662205e-01  7.30337783e-01]
 [ 6.02208565e-01  3.97791444e-01]
 [ 5.39252305e-01  4.60747634e-01]
 [ 7.39440391e-01  2.60559608e-01]
 [-3.44137361e-02  1.03441374e+00]
 [-6.36489005e-02  1.06364893e+00]
 [ 5.51856992e-01  4.48143018e-01]
 [ 9.27108127e-01  7.28918437e-02]
 [ 1.33888414e-01  8.66111514e-01]
 [ 2.46896827e-01  7.53103182e-01]
 [ 7.88745877e-01  2.11254083e-01]
 [ 6.32296628e-01  3.67703373e-01]
 [ 5.53413399e-01  4.46586565e-01]
 [ 2.39090074e-01  7.60909977e-01]
 [ 1.05877888e+00 -5.87788720e-02]
 [ 6.01347023e-01  3.98652991e-01]
 [ 7.50026914e-02  9.24997307e-01]
 [ 1.07600902e+00 -7.60090034e-02]
 [ 5.77536327e-01  4.22463689e-01]
 [-3.47635855e-02  1.03476358e+00]
 [ 3.31830086e-01  6.68169898e-01]
 [-1.46208101e-02  1.01462081e+00]
 [ 5.29038637e-01  4.70961345e-01]
 [ 5.78894203e-01  4.21105813e-01]
 [ 1.06902715e+00 -6.90271423e-02]
 [ 7.10411905e-01  2.89588110e-01]
 [ 9.40969762e-01  5.90302314e-02]
 [ 8.21273541e-01  1.78726482e-01]
 [ 6.75627146e-01  3.24372842e-01]
 [ 4.20007550e-01  5.79992464e-01]
 [ 1.08244495e+00 -8.24449502e-02]
 [ 7.49812149e-01  2.50187851e-01]
 [ 7.23603779e-01  2.76396211e-01]
 [ 5.29834381e-01  4.70165620e-01]
 [ 1.53658199e-01  8.46341767e-01]
 [ 8.35170739e-01  1.64829258e-01]
 [ 2.94118646e-01  7.05881314e-01]
 [ 7.65360782e-01  2.34639243e-01]
 [ 4.90178619e-01  5.09821452e-01]
 [ 7.69473022e-01  2.30526956e-01]
 [ 3.04705961e-02  9.69529514e-01]
 [ 1.42676922e-01  8.57323077e-01]
 [ 5.10716292e-01  4.89283713e-01]
 [ 3.59987397e-01  6.40012622e-01]
 [ 9.92676619e-01  7.32338743e-03]
 [ 6.01899040e-01  3.98100949e-01]
 [ 4.71730590e-01  5.28269422e-01]
 [ 1.96759270e-01  8.03240730e-01]
 [ 7.65729043e-01  2.34270950e-01]
 [-2.45658854e-01  1.24565885e+00]
 [ 3.77109648e-01  6.22890364e-01]
 [ 6.73037563e-01  3.26962466e-01]
 [ 1.87372363e-01  8.12627601e-01]
 [ 6.12018168e-02  9.38798196e-01]
 [ 7.87103065e-01  2.12896901e-01]
 [ 8.75547915e-01  1.24452079e-01]
 [ 7.52739524e-01  2.47260469e-01]
 [-2.64391706e-02  1.02643916e+00]
 [ 4.58309915e-01  5.41690114e-01]
 [ 5.03248104e-01  4.96751920e-01]
 [ 8.00647400e-01  1.99352635e-01]
 [-9.43673917e-02  1.09436733e+00]
 [ 7.81436285e-01  2.18563739e-01]
 [ 4.34621995e-01  5.65378027e-01]
 [ 1.06231437e-01  8.93768647e-01]
 [ 4.54593946e-01  5.45406050e-01]
 [ 7.07995878e-01  2.92004141e-01]
 [ 3.40158832e-01  6.59841200e-01]
 [-1.92715139e-01  1.19271521e+00]
 [ 1.37400115e-02  9.86259978e-01]
 [ 1.15047653e+00 -1.50476585e-01]
 [ 1.34619647e-02  9.86538030e-01]
 [ 7.95831807e-01  2.04168147e-01]
 [ 5.90960568e-01  4.09039437e-01]
 [ 6.15689305e-01  3.84310671e-01]
 [ 7.47076608e-01  2.52923421e-01]
 [ 6.28693528e-01  3.71306499e-01]
 [-1.57136364e-01  1.15713645e+00]
 [ 8.53965594e-01  1.46034504e-01]
 [ 5.87184883e-01  4.12815118e-01]
 [ 8.16268331e-01  1.83731704e-01]
 [-4.97888646e-02  1.04978881e+00]
 [ 1.86758441e-01  8.13241534e-01]
 [ 4.03264069e-01  5.96735943e-01]
 [ 8.92243551e-01  1.07756492e-01]
 [ 5.82099428e-01  4.17900547e-01]
 [ 1.40957534e-01  8.59042483e-01]
 [ 5.59488559e-01  4.40511403e-01]
 [ 7.34660007e-01  2.65339977e-01]
 [ 7.20032890e-01  2.79967115e-01]
 [ 8.76613078e-01  1.23386947e-01]
 [ 1.18755824e-01  8.81244198e-01]
 [ 2.21045179e-01  7.78954824e-01]
 [ 1.01793518e-01  8.98206483e-01]
 [ 9.23932029e-01  7.60679927e-02]
 [ 5.18028596e-01  4.81971420e-01]
 [ 7.04313536e-01  2.95686462e-01]
 [ 2.58770828e-01  7.41229178e-01]
 [ 5.56614462e-01  4.43385539e-01]
 [ 9.27898366e-01  7.21016785e-02]
 [ 2.67306406e-01  7.32693622e-01]
 [ 6.96238974e-01  3.03761010e-01]
 [ 6.92746296e-01  3.07253759e-01]
 [ 9.70478844e-01  2.95212190e-02]
 [ 9.72121716e-01  2.78782372e-02]
 [ 8.98339796e-01  1.01660135e-01]
 [ 5.20705106e-01  4.79294951e-01]
 [ 1.27299842e-01  8.72700204e-01]
 [ 3.41629532e-01  6.58370440e-01]
 [ 7.76100893e-01  2.23899113e-01]
 [ 1.34223729e-01  8.65776227e-01]
 [ 7.09041985e-01  2.90957993e-01]
 [ 7.62318864e-01  2.37681161e-01]
 [-4.94310497e-01  1.49431054e+00]
 [ 7.36264625e-01  2.63735401e-01]
 [ 5.39273891e-01  4.60726132e-01]
 [ 2.22697046e-02  9.77730315e-01]
 [ 1.06453576e+00 -6.45357803e-02]
 [ 2.60573284e-01  7.39426659e-01]
 [ 1.10708230e+00 -1.07082329e-01]
 [ 3.04464776e-01  6.95535209e-01]
 [ 3.69857559e-01  6.30142464e-01]
 [ 9.74927909e-02  9.02507200e-01]
 [-1.79069164e-01  1.17906920e+00]
 [ 6.20973280e-01  3.79026708e-01]
 [ 6.24121242e-01  3.75878744e-01]
 [ 4.01152037e-01  5.98847974e-01]
 [-2.04555747e-02  1.02045556e+00]
 [ 3.96720894e-01  6.03279115e-01]
 [ 1.82830685e-01  8.17169329e-01]
 [ 3.43222750e-01  6.56777258e-01]
 [ 7.28264943e-01  2.71735084e-01]
 [ 7.65102967e-01  2.34896999e-01]
 [ 5.40205246e-01  4.59794765e-01]
 [ 2.07670165e-01  7.92329879e-01]
 [ 8.17510049e-01  1.82489952e-01]
 [ 3.50327184e-02  9.64967202e-01]
 [ 4.80558962e-01  5.19441032e-01]
 [ 8.96673721e-01  1.03326262e-01]
 [ 2.71925297e-01  7.28074713e-01]
 [ 5.15703137e-01  4.84296888e-01]
 [ 5.14814454e-01  4.85185515e-01]
 [ 7.99147640e-01  2.00852367e-01]
 [ 7.50413102e-01  2.49586895e-01]
 [-5.25828292e-02  1.05258284e+00]
 [ 4.05783454e-01  5.94216545e-01]
 [ 2.53266519e-03  9.97467343e-01]
 [-2.99531909e-01  1.29953194e+00]
 [ 1.21912657e-01  8.78087352e-01]
 [ 6.83141753e-01  3.16858243e-01]
 [ 5.47460291e-01  4.52539737e-01]
 [ 7.35512679e-01  2.64487336e-01]
 [ 5.07444827e-01  4.92555144e-01]
 [-2.56217354e-01  1.25621735e+00]
 [ 9.55669787e-01  4.43302349e-02]
 [ 2.77267261e-01  7.22732770e-01]
 [ 4.89002361e-02  9.51099745e-01]
 [ 1.76736715e-01  8.23263290e-01]
 [ 9.34238322e-01  6.57617011e-02]
 [ 2.48876049e-01  7.51123945e-01]
 [ 4.89938772e-01  5.10061261e-01]
 [ 3.72526861e-01  6.27473115e-01]
 [ 5.52959483e-01  4.47040507e-01]
 [ 1.79213929e-01  8.20785974e-01]
 [ 8.68369849e-01  1.31630168e-01]
 [ 7.77188669e-01  2.22811329e-01]
 [ 7.93134808e-01  2.06865255e-01]
 [ 3.27539183e-02  9.67246111e-01]
