[[ 1.12668870e+00 -1.26688717e-01]
 [ 1.01444258e-01  8.98555680e-01]
 [ 3.55861047e-01  6.44138955e-01]
 [ 7.43579759e-01  2.56420202e-01]
 [ 2.97826052e-01  7.02173807e-01]
 [ 2.02947136e-01  7.97052747e-01]
 [ 5.24108473e-02  9.47589293e-01]
 [ 7.38734798e-02  9.26126488e-01]
 [ 6.97038977e-01  3.02961016e-01]
 [ 7.92312462e-01  2.07687526e-01]
 [ 3.44636907e-01  6.55363054e-01]
 [ 7.47253916e-01  2.52746031e-01]
 [ 8.80465560e-01  1.19534510e-01]
 [-6.11914373e-02  1.06119148e+00]
 [ 1.17599732e-02  9.88240060e-01]
 [ 2.56254397e-01  7.43745722e-01]
 [ 5.66749877e-01  4.33250114e-01]
 [ 7.93324097e-01  2.06675834e-01]
 [ 8.47697789e-02  9.15230201e-01]
 [ 7.23948496e-01  2.76051571e-01]
 [ 4.85914010e-01  5.14085967e-01]
 [ 3.47757159e-01  6.52242882e-01]
 [ 1.12941942e-01  8.87058108e-01]
 [-7.62816212e-02  1.07628169e+00]
 [ 4.88585415e-01  5.11414614e-01]
 [ 2.91110763e-01  7.08889130e-01]
 [ 9.18998586e-01  8.10015660e-02]
 [ 7.29523439e-01  2.70476551e-01]
 [ 4.21132541e-01  5.78867477e-01]
 [ 7.50074081e-01  2.49925996e-01]
 [ 1.87552611e-02  9.81244783e-01]
 [ 7.17955556e-01  2.82044513e-01]
 [ 7.56425593e-01  2.43574430e-01]
 [ 3.94973305e-01  6.05026695e-01]
 [-1.23624238e-02  1.01236242e+00]
 [ 5.37549994e-01  4.62449969e-01]
 [ 1.03801947e+00 -3.80194903e-02]
 [ 5.23016366e-01  4.76983653e-01]
 [ 8.08222242e-01  1.91777863e-01]
 [ 6.89470718e-01  3.10529259e-01]
 [ 7.11536307e-01  2.88463695e-01]
 [ 5.71440639e-01  4.28559359e-01]
 [ 6.31452682e-01  3.68547335e-01]
 [ 3.01930550e-01  6.98069545e-01]
 [ 9.48720105e-01  5.12798531e-02]
 [ 1.46079841e-01  8.53920161e-01]
 [ 5.06523706e-01  4.93476270e-01]
 [ 1.98432730e-01  8.01567256e-01]
 [ 1.60837458e-01  8.39162372e-01]
 [ 6.59686406e-01  3.40313664e-01]
 [ 4.83763766e-01  5.16236286e-01]
 [ 7.46251565e-01  2.53748473e-01]
 [ 7.98649920e-01  2.01350187e-01]
 [ 5.57036296e-01  4.42963707e-01]
 [ 7.77004606e-01  2.22995386e-01]
 [ 6.44924759e-01  3.55075250e-01]
 [ 5.16354088e-01  4.83645890e-01]
 [ 8.39566170e-01  1.60433805e-01]
 [ 4.73113501e-01  5.26886494e-01]
 [-1.23800640e-01  1.12380052e+00]
 [-1.21323637e-01  1.12132368e+00]
 [ 3.08763160e-01  6.91236752e-01]
 [ 4.59627409e-01  5.40372623e-01]
 [ 7.53491672e-01  2.46508272e-01]
 [ 8.93769146e-01  1.06230838e-01]
 [ 5.34957121e-01  4.65043055e-01]
 [-1.47438278e-01  1.14743829e+00]
 [ 5.42929691e-01  4.57070251e-01]
 [ 1.09799931e+00 -9.79993939e-02]
 [ 7.87932545e-01  2.12067494e-01]
 [ 6.04080718e-01  3.95919345e-01]
 [ 2.47930973e-01  7.52069144e-01]
 [ 9.01598374e-01  9.84017078e-02]
 [ 3.56709069e-01  6.43290848e-01]
 [ 4.90340520e-01  5.09659503e-01]
 [ 6.18416191e-01  3.81583750e-01]
 [ 1.17641389e-01  8.82358538e-01]
 [ 7.18706513e-01  2.81293522e-01]
 [ 1.19827746e-01  8.80172254e-01]
 [ 5.97575207e-01  4.02424725e-01]
 [ 6.26431392e-01  3.73568609e-01]
 [ 6.19253174e-01  3.80746815e-01]
 [ 6.06998030e-01  3.93001979e-01]
 [ 7.78732799e-02  9.22126585e-01]
 [-2.35266260e-01  1.23526628e+00]
 [ 3.88834062e-02  9.61116419e-01]
 [ 1.04899037e+00 -4.89902453e-02]
 [ 5.71067536e-01  4.28932439e-01]
 [-8.59784009e-02  1.08597857e+00]
 [-2.50374968e-02  1.02503753e+00]
 [ 2.04231777e-01  7.95768278e-01]
 [-1.90365652e-01  1.19036558e+00]
 [-1.86641218e-01  1.18664122e+00]
 [ 9.34896075e-01  6.51038634e-02]
