[[ 1.10191441e+00 -1.01910591e-01]
 [ 1.47161484e-01  8.52836609e-01]
 [ 9.44700241e-01  5.52988052e-02]
 [ 1.50374413e-01  8.49626541e-01]
 [-1.35606766e-01  1.13561916e+00]
 [ 9.08898354e-01  9.11102295e-02]
 [-1.07688904e-02  1.01077747e+00]
 [-1.50718689e-02  1.01508141e+00]
 [ 4.13043976e-01  5.86969376e-01]
 [ 3.90655518e-01  6.09354973e-01]
 [ 7.01599121e-01  2.98405647e-01]
 [ 9.81719017e-01  1.82895660e-02]
 [ 4.44860458e-01  5.55145264e-01]
 [ 7.88380623e-01  2.11624146e-01]
 [ 7.76640892e-01  2.23364830e-01]
 [ 6.62029266e-01  3.37966919e-01]
 [ 3.99932861e-01  6.00067139e-01]
 [ 8.88391495e-01  1.11616135e-01]
 [ 8.18191528e-01  1.81807518e-01]
 [-2.03763962e-01  1.20377922e+00]
 [ 1.00149822e+00 -1.48868561e-03]
 [ 1.38916016e-01  8.61074448e-01]
 [ 1.42408371e-01  8.57608795e-01]
 [ 8.04965019e-01  1.95054054e-01]
 [ 4.82711792e-02  9.51742172e-01]
 [ 2.54516602e-01  7.45485306e-01]
 [-5.78460693e-02  1.05785561e+00]
 [ 5.99280357e-01  4.00732994e-01]
 [ 3.09413910e-01  6.90593719e-01]
 [ 8.46555710e-01  1.53446198e-01]
 [ 5.19530296e-01  4.80466843e-01]
 [ 7.29167938e-01  2.70833969e-01]
 [ 1.46628380e-01  8.53389740e-01]
 [ 1.33663177e-01  8.66349220e-01]
 [ 1.74024582e-01  8.26003075e-01]
 [ 1.68596268e-01  8.31411362e-01]
 [ 1.83014870e-01  8.17003250e-01]
 [ 4.47844505e-01  5.52161217e-01]
 [-3.79781723e-02  1.03798294e+00]
 [ 8.74767303e-01  1.25236511e-01]
 [ 2.03292847e-01  7.96719551e-01]
 [ 5.30160904e-01  4.69841003e-01]
 [ 6.58052444e-01  3.41949463e-01]
 [ 4.43587303e-01  5.56418419e-01]
 [ 4.90131378e-01  5.09874344e-01]
 [ 6.33545876e-01  3.66458893e-01]
 [-2.58303642e-01  1.25830936e+00]
 [-8.60223770e-02  1.08603096e+00]
 [ 9.56246376e-01  4.37641144e-02]
 [ 1.01968288e+00 -1.96876526e-02]
 [ 1.45824432e-01  8.54185104e-01]
 [ 1.15220070e+00 -1.52193069e-01]
 [ 1.01211739e+00 -1.21164322e-02]
 [ 6.68932915e-01  3.31071854e-01]
 [ 2.45980263e-01  7.54027367e-01]
 [ 9.80940819e-01  1.90591812e-02]
 [ 2.93869019e-01  7.06132889e-01]
 [ 5.32076836e-01  4.67940331e-01]
 [ 7.94244766e-01  2.05766678e-01]
 [ 8.02081108e-01  1.97916985e-01]
 [ 1.76038742e-02  9.82400894e-01]
 [-1.05373383e-01  1.10537052e+00]
 [-9.40465927e-02  1.09404564e+00]
 [ 7.15980530e-02  9.28398132e-01]
 [ 3.67885590e-01  6.32133484e-01]
 [ 6.46750450e-01  3.53267670e-01]
 [ 1.04703236e+00 -4.70180511e-02]
 [ 1.55814171e-01  8.44202042e-01]
 [-1.72505379e-01  1.17250347e+00]
 [ 3.76695633e-01  6.23304367e-01]
 [ 1.93194389e-01  8.06812286e-01]
 [ 8.10498238e-01  1.89514160e-01]
 [ 3.64567757e-01  6.35447502e-01]
 [ 6.08330727e-01  3.91672134e-01]
 [ 5.84300995e-01  4.15699005e-01]
 [ 1.44339561e-01  8.55671883e-01]
 [ 7.48967171e-01  2.51047134e-01]
 [ 8.83703232e-02  9.11632538e-01]
 [ 1.94705963e-01  8.05291176e-01]
 [ 8.34660530e-01  1.65353775e-01]
 [ 6.45589828e-01  3.54414940e-01]
 [ 5.37395477e-03  9.94632721e-01]
 [ 6.85661316e-01  3.14339638e-01]
 [ 2.76463509e-01  7.23551750e-01]
 [ 6.36613846e-01  3.63390923e-01]
 [-1.22642517e-03  1.00123215e+00]
 [-1.24004364e-01  1.12400436e+00]
 [ 9.81464386e-01  1.85461044e-02]
 [ 5.54528236e-01  4.45485115e-01]
 [ 5.81787109e-01  4.18216705e-01]
 [ 5.93049049e-01  4.06963348e-01]
 [-7.53498077e-03  1.00753880e+00]
 [ 2.64928818e-01  7.35086441e-01]
 [ 6.27770424e-01  3.72226715e-01]
 [ 4.73967552e-01  5.26037216e-01]
 [-1.02134705e-01  1.10213947e+00]
 [ 8.08429718e-03  9.91928101e-01]
 [-1.91301346e-01  1.19129848e+00]
 [-1.10620499e-01  1.11063099e+00]
 [ 2.46477127e-01  7.53526688e-01]
 [ 5.98516464e-01  4.01497841e-01]
 [ 1.02206612e+00 -2.20632553e-02]
 [ 5.12891769e-01  4.87102509e-01]
 [ 8.63332748e-02  9.13659096e-01]
 [ 3.61185074e-01  6.38807297e-01]
 [-5.41028976e-02  1.05410671e+00]
 [ 6.64945602e-01  3.35065842e-01]
 [ 1.13679600e+00 -1.36785507e-01]
 [ 6.18534088e-01  3.81473541e-01]
 [ 3.97009850e-01  6.02995872e-01]
 [ 1.23295021e+00 -2.32946396e-01]
 [ 7.02877045e-02  9.29718971e-01]
 [ 8.71115685e-01  1.28891945e-01]
 [ 1.04233742e+00 -4.23345566e-02]
 [ 4.23207283e-01  5.76804161e-01]
 [ 8.27788353e-01  1.72221184e-01]
 [-6.80618286e-02  1.06805992e+00]
 [ 1.18074417e-01  8.81937027e-01]
 [ 2.43227005e-01  7.56765366e-01]
 [ 3.66209030e-01  6.33795738e-01]
 [ 5.55939674e-01  4.44063187e-01]
 [ 2.86769867e-02  9.71325874e-01]
 [-3.04441452e-02  1.03044128e+00]
 [ 2.96140671e-01  7.03875542e-01]
 [ 3.18888664e-01  6.81120872e-01]
 [ 7.09845543e-01  2.90174484e-01]
 [ 5.96871376e-01  4.03134346e-01]
 [ 3.55843544e-01  6.44162178e-01]
 [ 4.55039978e-01  5.44968605e-01]
 [ 9.96930122e-01  3.08036804e-03]
