[[ 1.25793785e+00 -2.57937928e-01]
 [ 3.65367357e-01  6.34632994e-01]
 [ 1.33620399e-01  8.66377084e-01]
 [ 8.80621445e-01  1.19379690e-01]
 [ 3.81292202e-01  6.18707595e-01]
 [ 3.33761018e-01  6.66239075e-01]
 [ 4.06086848e-03  9.95940841e-01]
 [ 1.19400235e+00 -1.94004926e-01]
 [ 3.49705183e-01  6.50295442e-01]
 [-4.20726705e-02  1.04207127e+00]
 [ 1.42703791e+00 -4.27040292e-01]
 [ 9.17182891e-01  8.28193058e-02]
 [-1.14792468e-01  1.11479462e+00]
 [-9.29955897e-02  1.09299516e+00]
 [ 6.74347162e-01  3.25655630e-01]
 [ 3.56760312e-01  6.43241492e-01]
 [ 1.27111136e-03  9.98728885e-01]
 [ 5.80278928e-01  4.19723181e-01]
 [ 5.18736900e-01  4.81262901e-01]
 [-7.54239214e-03  1.00754223e+00]
 [ 1.25268867e+00 -2.52688185e-01]
 [ 5.37883393e-02  9.46211141e-01]
 [ 3.98087919e-02  9.60191594e-01]
 [ 7.15026052e-01  2.84972521e-01]
 [ 1.95454958e-01  8.04545297e-01]
 [-1.46401367e-01  1.14640182e+00]
 [ 5.90659445e-01  4.09342710e-01]
 [-8.58622543e-03  1.00858616e+00]
 [ 8.99660919e-01  1.00340255e-01]
 [ 1.79864054e-01  8.20136542e-01]
 [ 5.35756269e-01  4.64243285e-01]
 [ 2.00067249e-01  7.99935853e-01]
 [-1.52709992e-02  1.01527149e+00]
 [ 8.71628293e-01  1.28372830e-01]
 [ 2.57133915e-01  7.42863215e-01]
 [ 1.08190386e+00 -8.19038958e-02]
 [ 7.10161594e-01  2.89838213e-01]
 [ 3.76871655e-03  9.96232023e-01]
 [ 7.50635078e-01  2.49363461e-01]
 [-1.01014114e-01  1.10101350e+00]
 [ 3.04608205e-01  6.95389664e-01]
 [ 6.41948912e-01  3.58051258e-01]
 [ 2.17016531e-02  9.78298470e-01]
 [ 4.88321861e-01  5.11676313e-01]
 [ 9.82170364e-01  1.78301281e-02]
 [ 2.45611359e-01  7.54386533e-01]
 [-8.13546649e-02  1.08135549e+00]
 [ 8.24745412e-01  1.75253772e-01]
 [ 9.96568918e-02  9.00343238e-01]
 [ 9.03228074e-01  9.67716022e-02]
 [ 7.19356827e-01  2.80642561e-01]
 [ 7.36928575e-01  2.63071522e-01]
 [ 8.01479995e-01  1.98521021e-01]
 [ 9.49935928e-01  5.00655712e-02]
 [ 3.20979290e-01  6.79021952e-01]
 [-5.07532323e-03  1.00507510e+00]
 [ 2.49369947e-01  7.50629210e-01]
 [ 1.15461777e+00 -1.54616849e-01]
 [-3.42136637e-01  1.34213659e+00]
 [-1.14115096e-02  1.01141162e+00]
 [ 4.40101690e-01  5.59897223e-01]
 [ 7.50582409e-01  2.49418067e-01]
 [ 6.70284834e-01  3.29714162e-01]
 [ 7.61944778e-01  2.38056173e-01]
 [ 3.60267466e-02  9.63973721e-01]
 [ 1.79327967e-01  8.20673211e-01]
 [ 6.42023845e-01  3.57975392e-01]
 [ 8.42128606e-01  1.57872481e-01]
 [ 3.26998352e-01  6.73000961e-01]
 [ 7.84469420e-01  2.15534311e-01]
 [ 2.24978500e-01  7.75021471e-01]
 [ 6.31330995e-01  3.68667048e-01]
 [ 3.03329431e-01  6.96671029e-01]
 [ 4.85694751e-01  5.14304565e-01]
 [ 3.02069157e-01  6.97931037e-01]
 [ 4.05637172e-01  5.94364261e-01]
 [ 8.00433283e-01  1.99565849e-01]
 [ 6.08585495e-01  3.91413481e-01]
 [ 5.57764315e-01  4.42236260e-01]
 [-3.82272161e-01  1.38227006e+00]
 [-2.54286054e-02  1.02542752e+00]
 [ 8.75445011e-01  1.24554261e-01]
 [ 4.97375324e-01  5.02624500e-01]
 [ 3.95373493e-02  9.60462719e-01]
 [-1.25059726e-01  1.12505940e+00]
 [ 8.52962878e-01  1.47037665e-01]
 [ 2.06769468e-01  7.93232381e-01]
 [ 5.16231507e-01  4.83768645e-01]
 [-8.45168142e-02  1.08451804e+00]
 [ 5.21141061e-01  4.78858878e-01]
 [ 7.86593521e-01  2.13406814e-01]
 [-2.03979387e-01  1.20397831e+00]
 [ 5.00063782e-01  4.99938591e-01]
 [ 9.95486796e-01  4.51529661e-03]
 [-4.59982457e-03  1.00459925e+00]
 [ 1.00600842e+00 -6.00982966e-03]
 [ 4.76099272e-01  5.23901292e-01]
 [ 5.62035315e-01  4.37966669e-01]
 [ 7.00507520e-01  2.99492596e-01]
 [-3.20379832e-02  1.03203791e+00]
