[[ 1.09246643e+00 -9.24150118e-02]
 [ 4.97858995e-01  5.02158390e-01]
 [ 6.34375140e-01  3.65626009e-01]
 [ 1.03054843e-01  8.96996145e-01]
 [ 3.65881039e-01  6.34096111e-01]
 [ 5.46224781e-01  4.53829829e-01]
 [-2.35327189e-01  1.23531059e+00]
 [ 7.02409959e-01  2.97631982e-01]
 [ 1.26292183e-01  8.73721086e-01]
 [ 6.24666962e-01  3.75331626e-01]
 [ 2.92627517e-01  7.07368419e-01]
 [ 6.21414353e-01  3.78599484e-01]
 [-6.40508941e-02  1.06407623e+00]
 [ 7.19733936e-01  2.80264791e-01]
 [ 6.90189813e-01  3.09799744e-01]
 [-5.46537362e-02  1.05458330e+00]
 [ 5.54190208e-01  4.45796985e-01]
 [ 7.67993977e-01  2.32009016e-01]
 [ 5.60762450e-01  4.39212622e-01]
 [ 7.01259987e-01  2.98704599e-01]
 [ 1.19430117e+00 -1.94362741e-01]
 [ 6.30713840e-01  3.69317087e-01]
 [ 7.50933561e-01  2.49063464e-01]
 [ 5.63086420e-01  4.36896152e-01]
 [ 7.10923051e-01  2.89099719e-01]
 [ 4.33630143e-01  5.66375892e-01]
 [ 5.16074424e-01  4.83936352e-01]
 [-2.06675975e-01  1.20672545e+00]
 [ 1.90625650e-01  8.09416290e-01]
 [ 7.30330753e-01  2.69680719e-01]
 [ 5.68018941e-01  4.31979466e-01]
 [ 2.56565740e-01  7.43469257e-01]
 [ 1.43717238e-01  8.56269837e-01]
 [ 5.33418738e-01  4.66717483e-01]
 [ 4.74374510e-02  9.52584775e-01]
 [ 6.58218368e-01  3.41750870e-01]
 [-1.94264725e-01  1.19418551e+00]
 [ 2.97562413e-01  7.02412087e-01]
 [ 5.55010652e-01  4.45011401e-01]
 [ 6.54391103e-01  3.45616360e-01]
 [ 4.77907765e-01  5.22080774e-01]
 [ 1.00095186e+00 -8.78672749e-04]
 [-3.17420356e-01  1.31741323e+00]
 [ 8.54750718e-01  1.45212795e-01]
 [ 7.19472529e-01  2.80476909e-01]
 [ 7.58863132e-01  2.41143863e-01]
 [ 5.70482263e-01  4.29491245e-01]
 [ 1.23683932e+00 -2.36787794e-01]
 [ 3.55268571e-01  6.44789838e-01]
 [-2.08057829e-01  1.20805992e+00]
 [ 7.66291346e-01  2.33701100e-01]
 [-1.95457939e-01  1.19540328e+00]
 [ 8.03702020e-01  1.96256956e-01]
 [ 8.54167635e-01  1.45838762e-01]
 [ 7.53122766e-01  2.46842698e-01]
 [ 7.77023562e-01  2.22935775e-01]
 [ 7.21644667e-01  2.78318853e-01]
 [ 6.74601218e-01  3.25441116e-01]
 [ 1.38458549e-01  8.61515268e-01]
 [ 2.18213944e-01  7.81808609e-01]
 [ 9.18415208e-01  8.16328942e-02]
 [ 3.92782026e-01  6.07225950e-01]
 [-2.40537870e-01  1.24049276e+00]
 [ 6.08778048e-01  3.91230771e-01]
 [ 5.35324761e-01  4.64700170e-01]
 [ 6.86489914e-01  3.13574638e-01]
 [ 7.54897278e-01  2.45077118e-01]
 [ 5.38895759e-01  4.61098972e-01]
 [ 6.12679989e-01  3.87323758e-01]
 [ 6.46884113e-01  3.53043657e-01]
 [ 1.04612175e+00 -4.61554185e-02]
 [ 9.45724874e-01  5.42497011e-02]
 [ 7.92840608e-02  9.20663475e-01]
 [ 7.20736449e-01  2.79249468e-01]
 [ 5.01495861e-01  4.98532858e-01]
 [ 2.55909575e-01  7.44027451e-01]
 [ 5.38403382e-01  4.61584792e-01]
 [-3.17766392e-02  1.03178657e+00]
 [ 7.05735318e-01  2.94215730e-01]
 [-2.99137987e-01  1.29927796e+00]
 [ 7.24168639e-01  2.75830951e-01]
 [ 8.16455347e-01  1.83617565e-01]
 [ 5.71417544e-01  4.28582396e-01]
 [-2.35491678e-01  1.23544496e+00]
 [ 6.06591533e-01  3.93404719e-01]
 [ 6.61546943e-01  3.38438832e-01]
 [ 8.34317644e-01  1.65645374e-01]
 [ 5.84395779e-01  4.15589929e-01]
 [ 1.00887303e+00 -8.87785942e-03]
 [ 3.11060228e-01  6.88972622e-01]
 [ 6.16796145e-01  3.83192418e-01]
 [ 4.79362101e-01  5.20573643e-01]
 [ 5.69715958e-01  4.30267570e-01]
 [ 7.39685488e-01  2.60293953e-01]
 [ 4.18070281e-04  9.99560301e-01]
 [ 8.87768545e-01  1.12196344e-01]
 [ 5.94559865e-01  4.05384814e-01]
 [ 9.46276180e-01  5.37570679e-02]
 [ 1.03590872e-01  8.96446573e-01]
 [-5.04366732e-02  1.05043179e+00]
 [ 6.57616325e-01  3.42386569e-01]
 [ 4.98442788e-01  5.01577498e-01]
 [ 7.33981293e-01  2.66003529e-01]
 [ 9.39208865e-01  6.07812656e-02]
 [ 7.71622752e-01  2.28389056e-01]
 [ 5.51112565e-01  4.48919904e-01]
 [ 9.40825833e-01  5.91582051e-02]
 [ 6.93379592e-01  3.06628305e-01]
 [ 1.82682695e-01  8.17368763e-01]
 [ 6.89853907e-01  3.10169070e-01]
 [ 4.83434000e-01  5.16558267e-01]
 [ 2.00717937e-01  7.99313206e-01]
 [ 8.60712697e-01  1.39270942e-01]
 [ 7.15287034e-01  2.84705974e-01]
 [ 5.03330108e-01  4.96641337e-01]
 [-3.30661182e-01  1.33078608e+00]
 [ 8.30210095e-01  1.69771259e-01]
 [ 1.12179966e+00 -1.21631002e-01]
 [ 1.04394598e+00 -4.39975429e-02]
 [ 3.28555546e-01  6.71469252e-01]
 [ 1.10249658e-01  8.89760953e-01]
 [ 1.70169513e-01  8.29745557e-01]
 [ 4.90552224e-01  5.09441068e-01]
 [ 3.52045764e-01  6.47913074e-01]
 [ 4.36392591e-01  5.63666100e-01]
 [ 7.96561860e-01  2.03552784e-01]
 [ 1.36683636e-01  8.63289689e-01]
 [ 5.34503233e-01  4.65500511e-01]
 [ 6.73122847e-01  3.26836517e-01]
 [ 4.87427601e-01  5.12583822e-01]
 [ 6.91309891e-01  3.08721448e-01]
 [-3.41878719e-01  1.34188268e+00]
 [ 5.25565104e-01  4.74446281e-01]
 [ 3.86779485e-01  6.13236029e-01]
 [ 5.55061393e-01  4.44945186e-01]
 [ 6.02845755e-01  3.97172865e-01]
 [ 7.14510696e-01  2.85494071e-01]
 [ 4.93250962e-01  5.06746289e-01]
 [ 5.46259252e-01  4.53720781e-01]
 [ 7.86002597e-01  2.14020884e-01]
 [ 3.43752710e-01  6.56239899e-01]
 [-1.03980125e-01  1.10401059e+00]
 [ 7.94659516e-01  2.05219561e-01]
 [ 3.64788774e-02  9.63600786e-01]
 [-5.84295669e-02  1.05846641e+00]
 [ 6.94342313e-01  3.05692093e-01]
 [ 5.91053118e-01  4.08941082e-01]
 [ 8.46451723e-01  1.53536472e-01]
 [ 9.62143449e-01  3.78023960e-02]
 [ 2.58565198e-01  7.41446384e-01]
 [ 1.56729382e-01  8.43236415e-01]
 [ 5.77333735e-01  4.22662366e-01]
 [ 7.18124145e-01  2.81867027e-01]
 [ 2.84536805e-01  7.15579220e-01]
 [ 7.74106936e-01  2.25924974e-01]
 [ 6.55094270e-01  3.44885892e-01]
 [ 7.21100901e-01  2.78905553e-01]
 [ 2.84075819e-01  7.15940301e-01]
 [ 3.53538286e-02  9.64761937e-01]
 [ 5.36011101e-01  4.63979403e-01]
 [ 6.62518875e-01  3.37481004e-01]
 [ 8.45519355e-01  1.54521793e-01]
 [ 9.02393175e-01  9.76571031e-02]
 [ 6.81216922e-01  3.18790588e-01]
 [ 4.53304077e-02  9.54652555e-01]
 [ 5.31452625e-01  4.68530067e-01]
 [ 3.93631312e-03  9.96094469e-01]
 [ 7.62391529e-01  2.37609447e-01]
 [ 8.51122805e-01  1.48837207e-01]
 [-2.18964721e-02  1.02188659e+00]
 [ 1.05785688e+00 -5.78260969e-02]
 [ 6.13197473e-01  3.86840098e-01]
 [ 6.28233942e-01  3.71760178e-01]
 [ 8.65893597e-02  9.13491597e-01]
 [-5.09988027e-03  1.00512190e+00]
 [ 6.50121634e-01  3.49907169e-01]
 [ 3.07469968e-01  6.92582240e-01]
