[[ 4.10823665e-02  9.58899425e-01]
 [ 7.61954077e-01  2.38031139e-01]
 [ 9.37392196e-01  6.26333155e-02]
 [ 7.97447153e-01  2.02544732e-01]
 [ 1.17414781e-01  8.82557724e-01]
 [ 6.83741854e-01  3.16239474e-01]
 [ 6.79823127e-01  3.20174932e-01]
 [ 8.89427628e-02  9.11095879e-01]
 [ 7.29051375e-01  2.70935741e-01]
 [ 6.97973429e-01  3.01971768e-01]
 [ 7.98179434e-01  2.01879214e-01]
 [ 9.18176019e-01  8.18815055e-02]
 [ 4.37261746e-01  5.62738148e-01]
 [ 5.59000892e-01  4.41046668e-01]
 [ 3.45120607e-01  6.54895998e-01]
 [ 7.06758841e-01  2.93253623e-01]
 [ 3.37694264e-01  6.62154690e-01]
 [ 3.44123994e-01  6.55838658e-01]
 [-4.00602804e-01  1.40060871e+00]
 [ 3.53537075e-01  6.46423305e-01]
 [ 3.74869137e-01  6.25079312e-01]
 [ 5.84155623e-01  4.15873307e-01]
 [-9.66985002e-02  1.09667816e+00]
 [ 1.06065250e+00 -6.06047347e-02]
 [ 7.26965758e-01  2.73010661e-01]
 [ 4.83058523e-01  5.16957345e-01]
 [ 8.44064976e-01  1.55923098e-01]
 [ 2.84716044e-01  7.15280299e-01]
 [ 4.10002717e-01  5.89997019e-01]
 [ 2.64739832e-01  7.35272812e-01]
 [-1.87929654e-01  1.18790964e+00]
 [ 8.10067899e-01  1.90016270e-01]
 [ 5.89574920e-01  4.10461795e-01]
 [ 8.07794222e-01  1.92235098e-01]
 [ 6.76619403e-01  3.23368852e-01]
 [ 6.79848994e-01  3.20182580e-01]
 [ 3.10477721e-01  6.89500916e-01]
 [ 5.85087722e-01  4.14945371e-01]
 [ 5.96047118e-01  4.03922588e-01]
 [ 5.15809801e-01  4.84217049e-01]
 [ 2.84005861e-01  7.15935356e-01]
 [ 5.45184009e-01  4.54798656e-01]
 [ 8.34153926e-01  1.65851304e-01]
 [ 9.63135365e-01  3.68837860e-02]
 [ 6.56850766e-01  3.43134003e-01]
 [ 5.89108938e-01  4.10916873e-01]
 [ 4.41552058e-01  5.58357987e-01]
 [ 7.06961978e-02  9.29278786e-01]
 [ 6.19692883e-01  3.80294221e-01]
 [ 1.16914045e-01  8.83026047e-01]
 [ 5.70356034e-01  4.29623075e-01]
 [ 6.40753542e-01  3.59274813e-01]
 [ 2.28854276e-01  7.71167397e-01]
 [ 5.29189477e-01  4.70774104e-01]
 [ 8.17666438e-01  1.82284953e-01]
 [ 5.93426488e-01  4.06570023e-01]
 [ 4.12632533e-01  5.87406287e-01]
 [ 1.79052143e-01  8.21028734e-01]
 [-1.96534679e-01  1.19647083e+00]
 [ 2.57560981e-02  9.74220215e-01]
 [ 2.85913064e-01  7.14116345e-01]
 [-2.85698176e-01  1.28568396e+00]
 [ 6.32311534e-01  3.67691393e-01]
 [ 7.85510361e-01  2.14473139e-01]
 [ 7.36903840e-01  2.63091281e-01]
 [ 9.63375943e-01  3.66761787e-02]
 [-9.66149958e-02  1.09665278e+00]
 [ 8.51029050e-01  1.48946427e-01]
 [ 6.96611742e-01  3.03343514e-01]
 [ 6.91627807e-01  3.08360102e-01]
 [ 7.93837374e-01  2.06203890e-01]
 [ 7.09013569e-01  2.91006901e-01]
 [ 8.55838247e-01  1.44062030e-01]
 [ 7.17084246e-01  2.82847967e-01]
 [ 5.22273564e-01  4.77705263e-01]
 [ 7.36851091e-01  2.63144943e-01]
 [ 6.46454188e-01  3.53587475e-01]
 [ 6.19937449e-01  3.80066855e-01]
 [ 7.82930715e-01  2.17054516e-01]
 [ 4.78952068e-01  5.21044687e-01]
 [-2.26489027e-02  1.02257590e+00]
 [ 3.25664352e-02  9.67475479e-01]
 [ 1.52840561e-01  8.47212536e-01]
 [ 5.74865013e-01  4.25127269e-01]
 [ 8.58922727e-01  1.41030341e-01]
 [ 8.26261246e-01  1.73749002e-01]
 [ 4.71680025e-01  5.28283777e-01]
 [ 1.07480356e-01  8.92527305e-01]
 [ 7.11778302e-01  2.88155423e-01]
 [ 4.24966873e-01  5.75046883e-01]
 [ 6.10196868e-01  3.89783555e-01]
 [ 4.21141976e-01  5.78829690e-01]
 [ 9.80670747e-01  1.93498190e-02]
 [ 5.59418882e-01  4.40555631e-01]
 [ 6.23930100e-01  3.76097350e-01]
 [ 2.56550576e-01  7.43460022e-01]
 [ 8.53066137e-01  1.46904870e-01]
 [ 8.00823540e-01  1.99149467e-01]
 [ 5.24414342e-01  4.75627644e-01]
 [ 5.89632691e-01  4.10346497e-01]
 [ 6.31471822e-01  3.68501746e-01]
 [ 4.96209575e-02  9.50471906e-01]
 [ 7.27839366e-01  2.72158543e-01]
 [ 7.98352200e-01  2.01650076e-01]
 [ 5.36061824e-01  4.63938964e-01]
 [ 3.85261743e-01  6.14748667e-01]
 [ 2.99830232e-01  7.00061771e-01]
 [-1.40975829e-01  1.14103336e+00]
 [ 7.41138569e-01  2.58879175e-01]
 [ 8.85885829e-01  1.14142586e-01]
 [ 8.05952917e-02  9.19495490e-01]
 [ 3.36471459e-01  6.63522438e-01]
 [ 4.15197931e-01  5.84796101e-01]
 [-5.88586566e-01  1.58859957e+00]
 [ 3.34138064e-01  6.65872617e-01]
 [ 5.54203992e-01  4.45783841e-01]
 [-2.30142056e-02  1.02301248e+00]
 [ 4.63395513e-02  9.53659301e-01]
 [-2.49165802e-01  1.24924478e+00]
 [ 6.82981346e-01  3.17008629e-01]
 [ 8.29263252e-01  1.70756834e-01]
 [ 5.90165312e-01  4.09849566e-01]
 [ 3.29914550e-01  6.70099046e-01]
 [-4.26302186e-03  1.00427982e+00]
 [ 2.01866381e-01  7.98157446e-01]
 [ 9.30461456e-01  6.95087267e-02]
 [ 8.96988844e-01  1.02998805e-01]
 [ 9.36823439e-02  9.06342808e-01]
 [ 6.22395798e-01  3.77516237e-01]
 [ 5.40636714e-01  4.59315988e-01]
 [ 5.57571969e-01  4.42338793e-01]
 [ 3.45956784e-01  6.54004039e-01]
 [ 6.50150216e-01  3.49885044e-01]
 [ 1.08344770e-01  8.91683829e-01]
 [ 9.35522029e-01  6.44902118e-02]
 [ 8.19127216e-01  1.80792429e-01]
 [ 4.97207372e-01  5.02808191e-01]
 [ 1.41920225e-01  8.58082777e-01]
 [ 5.09088913e-02  9.49004350e-01]
 [ 4.03031860e-01  5.96966551e-01]
 [-9.93966573e-02  1.09946265e+00]
 [ 2.21542760e-01  7.78422619e-01]
 [ 7.50928718e-01  2.49092723e-01]
 [ 8.06785077e-01  1.93258451e-01]
 [ 3.52711157e-01  6.47323428e-01]
 [ 1.86434640e-01  8.13642945e-01]
 [ 1.25094664e-01  8.74937963e-01]
 [ 8.55755597e-02  9.14368141e-01]
 [ 9.11305201e-01  8.86763009e-02]
 [ 4.98391701e-01  5.01563566e-01]
 [ 3.82915694e-01  6.17092412e-01]
 [ 5.64585827e-01  4.35416782e-01]
 [ 8.03071089e-01  1.96927259e-01]
 [ 8.94165788e-01  1.05834706e-01]
 [ 6.91728528e-01  3.08276584e-01]
 [ 5.38769651e-01  4.61223196e-01]
 [ 4.66069352e-01  5.33950096e-01]
 [ 4.00771261e-01  5.99258404e-01]
 [-2.86289267e-01  1.28625424e+00]
 [ 5.22085578e-01  4.77944529e-01]
 [ 5.64002462e-01  4.35998040e-01]
 [ 4.23382072e-01  5.76634137e-01]
 [ 4.06265888e-01  5.93737156e-01]
 [ 4.07907558e-01  5.92138266e-01]
 [ 3.10858952e-01  6.89178661e-01]
 [ 3.62878932e-01  6.37170086e-01]
 [-9.60172119e-02  1.09600488e+00]
 [ 7.24575844e-01  2.75402006e-01]
 [ 8.35676581e-02  9.16463788e-01]
 [ 9.09282002e-01  9.07479287e-02]
 [ 3.36049282e-01  6.63957371e-01]
 [ 6.31711651e-01  3.68271418e-01]
 [ 7.92463825e-01  2.07508466e-01]
 [ 8.23618168e-01  1.76284269e-01]
 [-4.45236368e-02  1.04458074e+00]
 [ 7.00443288e-01  2.99509858e-01]
 [ 7.87767208e-01  2.12344007e-01]
 [ 6.44334436e-01  3.55679856e-01]
 [ 6.83365402e-01  3.16699254e-01]
 [ 4.78745715e-01  5.21249272e-01]
 [ 5.45323920e-01  4.54564770e-01]
 [ 4.43845376e-01  5.56123924e-01]
 [ 7.59401499e-02  9.23995991e-01]
 [ 5.70375124e-01  4.29625019e-01]
 [ 5.61443220e-01  4.38541549e-01]
 [-2.33365148e-01  1.23345312e+00]
 [ 2.14056132e-01  7.85934408e-01]
 [ 2.17840579e-01  7.82087465e-01]
 [ 4.43779577e-01  5.56247910e-01]
 [ 7.92323457e-02  9.20706469e-01]
 [ 5.83520160e-01  4.16533523e-01]
