[[-5.14183044e-02  1.05140400e+00]
 [-1.25837326e-02  1.01257515e+00]
 [-7.02466965e-02  1.07023621e+00]
 [ 7.73621559e-01  2.26370811e-01]
 [-3.12843323e-01  1.31284714e+00]
 [ 6.01291656e-02  9.39859390e-01]
 [ 7.98120499e-02  9.20178413e-01]
 [ 6.71688080e-01  3.28303337e-01]
 [ 8.23966980e-01  1.76028252e-01]
 [ 6.23776436e-01  3.76222610e-01]
 [ 3.66050720e-01  6.33953094e-01]
 [ 3.52674484e-01  6.47324562e-01]
 [ 6.21752739e-01  3.78249168e-01]
 [ 1.39357567e-01  8.60648155e-01]
 [-2.95324326e-02  1.02952671e+00]
 [-1.40790939e-02  1.01408005e+00]
 [-2.28542328e-01  1.22854137e+00]
 [ 5.13983727e-01  4.86006737e-01]
 [-1.54305458e-01  1.15430641e+00]
 [-9.13000107e-02  1.09128666e+00]
 [-1.87173843e-01  1.18716526e+00]
 [-2.08660126e-01  1.20865631e+00]
 [ 1.86985016e-01  8.13007355e-01]
 [ 6.40331268e-01  3.59669685e-01]
 [ 1.14582253e+00 -1.45822525e-01]
 [ 7.05947876e-01  2.94053078e-01]
 [ 7.24994659e-01  2.75000572e-01]
 [ 9.44941521e-01  5.50537109e-02]
 [ 8.16060066e-01  1.83938026e-01]
 [ 4.41670418e-01  5.58337212e-01]
 [ 6.39976501e-01  3.60018730e-01]
 [ 1.06833172e+00 -6.83393478e-02]
 [ 3.49502563e-02  9.65048790e-01]
 [ 8.30375671e-01  1.69624329e-01]
 [ 5.01527786e-01  4.98473167e-01]
 [ 6.46230698e-01  3.53762627e-01]
 [ 1.28469467e-02  9.87157822e-01]
 [ 8.83978844e-01  1.16006851e-01]
 [ 1.54361725e-02  9.84546661e-01]
 [ 1.50634766e-01  8.49365234e-01]
 [ 1.12855530e+00 -1.28571510e-01]
 [ 4.98442650e-01  5.01552582e-01]
 [ 1.28378105e+00 -2.83779144e-01]
 [ 8.65478516e-02  9.13450241e-01]
 [-5.42306900e-02  1.05422020e+00]
