[[-7.91260391e-11  1.00000000e+00  1.81898940e-10]
 [-8.27640179e-11  5.13864507e-10  1.00000000e+00]
 [ 1.00000000e+00  5.09317033e-10  5.09317033e-11]
 [-6.91215973e-11  5.22959454e-10  1.00000000e+00]
 [-7.54880602e-11  5.57520252e-10  1.00000000e+00]
 [ 1.00000000e+00  4.52018867e-10  1.41881173e-10]
 [ 1.00000000e+00  5.45696821e-10  8.00355338e-11]
 [-6.82121026e-11  1.00000000e+00  1.12777343e-10]
 [-6.82121026e-11  5.50244295e-10  1.00000000e+00]
 [-8.09450285e-11  5.60248736e-10  1.00000000e+00]
 [-7.18500814e-11  5.72981662e-10  1.00000000e+00]
 [-8.45830073e-11  5.74800652e-10  1.00000000e+00]
 [ 1.00000000e+00  4.91127139e-10  9.45874490e-11]
 [-9.54969437e-11  5.80257620e-10  1.00000000e+00]
 [-6.00266503e-11  6.14818418e-10  1.00000000e+00]
 [-7.73070497e-11  5.71162673e-10  1.00000000e+00]
 [-9.09494702e-11  5.71162673e-10  1.00000000e+00]
 [-6.00266503e-11  1.00000000e+00  1.03682396e-10]
 [-9.09494702e-11  6.23003871e-10  1.00000000e+00]
 [-6.91215973e-11  5.83895599e-10  1.00000000e+00]
 [ 1.00000000e+00  5.76619641e-10  8.18545232e-11]
 [-4.63842298e-11  1.00000000e+00  1.36424205e-10]
 [-8.00355338e-11  1.00000000e+00  1.56433089e-10]
 [-8.64019967e-11  6.02994987e-10  1.00000000e+00]
 [-7.36690708e-11  1.00000000e+00  2.05545803e-10]
 [-7.00310920e-11  1.00000000e+00  1.98269845e-10]
 [ 1.00000000e+00  5.32963895e-10  9.09494702e-11]
 [ 1.00000000e+00  5.05679054e-10  1.21872290e-10]
 [-7.36690708e-11  5.02041075e-10  1.00000000e+00]
 [-8.09450285e-11  5.22959454e-10  1.00000000e+00]
 [-7.45785655e-11  6.20275387e-10  1.00000000e+00]
 [ 1.00000000e+00  4.74756234e-10  1.10958354e-10]
 [-7.54880602e-11  1.00000000e+00  9.45874490e-11]
 [ 1.00000000e+00  5.27506927e-10  7.45785655e-11]
 [-8.82209861e-11  5.92990546e-10  1.00000000e+00]
 [ 1.00000000e+00  4.78394213e-10  1.52795110e-10]
 [-7.91260391e-11  1.00000000e+00  1.12777343e-10]
 [-5.91171556e-11  1.00000000e+00  1.19143806e-10]
 [ 1.00000000e+00  5.37511369e-10  9.82254278e-11]
 [-4.63842298e-11  1.00000000e+00  1.21872290e-10]
 [-5.91171556e-11  1.00000000e+00  1.74622983e-10]
 [-9.54969437e-11  1.00000000e+00  1.78260962e-10]
 [-6.45741238e-11  1.00000000e+00  1.41881173e-10]
 [-8.27640179e-11  1.00000000e+00  1.18234311e-10]
 [ 1.00000000e+00  4.30190994e-10  1.30967237e-10]
 [-8.27640179e-11  5.76619641e-10  1.00000000e+00]
 [ 1.00000000e+00  4.92946128e-10  9.64064384e-11]
 [ 1.00000000e+00  5.02041075e-10  1.03682396e-10]
 [-7.63975549e-11  1.00000000e+00  1.38243195e-10]
 [-7.36690708e-11  1.00000000e+00  1.60071068e-10]
 [-7.63975549e-11  5.26597432e-10  1.00000000e+00]
 [-6.45741238e-11  1.00000000e+00  1.69166015e-10]
 [-7.00310920e-11  1.00000000e+00  1.32786226e-10]
 [-5.63886715e-11  1.00000000e+00  1.18234311e-10]
 [-8.18545232e-11  5.51153789e-10  1.00000000e+00]
 [-7.73070497e-11  5.28416422e-10  1.00000000e+00]
 [-6.45741238e-11  1.00000000e+00  1.41881173e-10]
 [-6.54836185e-11  1.00000000e+00  2.23735697e-10]
 [-7.09405867e-11  5.45014700e-10  1.00000000e+00]
 [-8.36735126e-11  5.51153789e-10  1.00000000e+00]
 [-7.91260391e-11  5.34782885e-10  1.00000000e+00]
 [-6.27551344e-11  5.26597432e-10  1.00000000e+00]
 [-8.82209861e-11  5.34782885e-10  1.00000000e+00]
 [-7.18500814e-11  1.00000000e+00  1.27329258e-10]
 [ 1.00000000e+00  5.49334800e-10  6.54836185e-11]
 [ 1.00000000e+00  4.71118256e-10  1.52795110e-10]
 [-9.27684596e-11  5.89352567e-10  1.00000000e+00]
 [-8.00355338e-11  1.00000000e+00  1.92812877e-10]
 [ 1.00000000e+00  5.58429747e-10  9.09494702e-11]
 [ 1.00000000e+00  4.82032192e-10  1.58252078e-10]
 [-9.00399755e-11  1.00000000e+00  1.58252078e-10]
 [-8.73114914e-11  5.60248736e-10  1.00000000e+00]
 [ 1.00000000e+00  4.69299266e-10  1.45519152e-10]
 [-8.73114914e-11  1.00000000e+00  1.14596332e-10]
 [-7.73070497e-11  1.00000000e+00  1.54614099e-10]
 [ 1.00000000e+00  5.31144906e-10  1.16415322e-10]
 [-8.09450285e-11  1.00000000e+00  1.52795110e-10]
 [ 1.00000000e+00  4.88398655e-10  1.60071068e-10]
 [ 1.00000000e+00  4.89308150e-10  1.58252078e-10]
 [-7.54880602e-11  1.00000000e+00  1.47338142e-10]
 [ 1.00000000e+00  4.49290383e-10  1.72803993e-10]
 [-5.91171556e-11  1.00000000e+00  1.70985004e-10]
 [ 1.00000000e+00  4.91127139e-10  1.12777343e-10]
 [-5.91171556e-11  1.00000000e+00  1.70985004e-10]
 [-4.82032192e-11  1.00000000e+00  1.62799552e-10]
 [-1.07320375e-10  5.29325916e-10  1.00000000e+00]
