[[ 1.00000000e+00  4.91127139e-10  1.24600774e-10]
 [-9.27684596e-11  1.00000000e+00  1.32786226e-10]
 [ 1.00000000e+00  4.54747351e-10  1.12777343e-10]
 [ 1.00000000e+00  5.00222086e-10  1.08684617e-10]
 [ 1.00000000e+00  4.98403097e-10  1.09139364e-10]
 [ 1.00000000e+00  4.80213203e-10  9.91349225e-11]
 [-9.82254278e-11  4.69299266e-10  1.00000000e+00]
 [-1.00044417e-10  1.00000000e+00  4.91127139e-11]
 [-8.91304808e-11  5.20230969e-10  1.00000000e+00]
 [ 1.00000000e+00  4.78394213e-10  9.64064384e-11]
 [-1.12777343e-10  4.58385330e-10  1.00000000e+00]
 [ 1.00000000e+00  4.83851181e-10  8.18545232e-11]
 [-9.82254278e-11  1.00000000e+00  1.52795110e-10]
 [ 1.00000000e+00  4.91127139e-10  9.27684596e-11]
 [ 1.00000000e+00  4.71118256e-10  8.95852281e-11]
 [-8.91304808e-11  4.69299266e-10  1.00000000e+00]
 [-9.82254278e-11  5.16592991e-10  1.00000000e+00]
 [ 1.00000000e+00  4.71118256e-10  1.20508048e-10]
 [-9.45874490e-11  1.00000000e+00  1.20053301e-10]
 [-1.05501385e-10  4.98403097e-10  1.00000000e+00]
 [-1.10958354e-10  1.00000000e+00  1.27329258e-10]
 [-9.64064384e-11  1.00000000e+00  1.01863407e-10]
 [-9.09494702e-11  4.94765118e-10  1.00000000e+00]
 [-1.05501385e-10  4.51109372e-10  1.00000000e+00]
 [-1.12777343e-10  1.00000000e+00  8.00355338e-11]
 [-9.82254278e-11  4.51109372e-10  1.00000000e+00]
 [-1.01863407e-10  5.16592991e-10  1.00000000e+00]
 [ 1.00000000e+00  4.98403097e-10  9.45874490e-11]
 [ 1.00000000e+00  4.76575224e-10  7.18500814e-11]
 [-1.25510269e-10  4.36557457e-10  1.00000000e+00]
 [-7.09405867e-11  1.00000000e+00  1.03682396e-10]
 [-8.54925020e-11  1.00000000e+00  9.64064384e-11]
 [-9.45874490e-11  1.00000000e+00  1.14596332e-10]
 [ 1.00000000e+00  4.60204319e-10  1.46428647e-10]
 [-7.82165444e-11  1.00000000e+00  1.12777343e-10]
 [-9.64064384e-11  4.76575224e-10  1.00000000e+00]
 [-1.03682396e-10  1.00000000e+00  1.49157131e-10]
 [-8.36735126e-11  5.02041075e-10  1.00000000e+00]
 [-1.18234311e-10  4.80213203e-10  1.00000000e+00]
 [ 1.00000000e+00  4.96584107e-10  1.20053301e-10]
 [-1.18234311e-10  1.00000000e+00  1.07320375e-10]
 [ 1.00000000e+00  4.71118256e-10  8.54925020e-11]
 [-1.07320375e-10  1.00000000e+00  1.29148248e-10]
 [-1.05501385e-10  5.38420863e-10  1.00000000e+00]
 [ 1.00000000e+00  5.05679054e-10  7.63975549e-11]
 [-1.07320375e-10  1.00000000e+00  1.01863407e-10]
 [-1.00044417e-10  1.00000000e+00  7.63975549e-11]
 [-1.12777343e-10  1.00000000e+00  1.14596332e-10]
 [-9.45874490e-11  5.45696821e-10  1.00000000e+00]
 [-1.12777343e-10  5.20230969e-10  1.00000000e+00]
 [-9.27684596e-11  1.00000000e+00  1.30967237e-10]
 [ 1.00000000e+00  4.14729584e-10  1.09139364e-10]
 [ 1.00000000e+00  5.27506927e-10  1.05501385e-10]
 [-8.00355338e-11  5.23868948e-10  1.00000000e+00]
 [-9.82254278e-11  4.62023309e-10  1.00000000e+00]
 [-1.10958354e-10  1.00000000e+00  9.64064384e-11]
 [-1.21872290e-10  1.00000000e+00  7.73070497e-11]
 [-1.25510269e-10  4.76575224e-10  1.00000000e+00]
 [-8.36735126e-11  5.52972779e-10  1.00000000e+00]
 [-9.82254278e-11  5.09317033e-10  1.00000000e+00]
 [-8.91304808e-11  5.34782885e-10  1.00000000e+00]
 [-8.91304808e-11  1.00000000e+00  5.09317033e-11]
 [-9.64064384e-11  5.02041075e-10  1.00000000e+00]
 [-1.01863407e-10  1.00000000e+00  1.14596332e-10]
 [-9.27684596e-11  1.00000000e+00  9.64064384e-11]
 [-8.91304808e-11  4.00177669e-10  1.00000000e+00]
 [-8.91304808e-11  5.31144906e-10  1.00000000e+00]
 [-1.03682396e-10  1.00000000e+00  1.41881173e-10]
 [ 1.00000000e+00  4.62023309e-10  9.09494702e-11]
 [-1.20053301e-10  4.03815648e-10  1.00000000e+00]
 [-1.18234311e-10  1.00000000e+00  7.45785655e-11]
 [-8.91304808e-11  1.00000000e+00  1.27329258e-10]
 [-1.00044417e-10  1.00000000e+00  1.12777343e-10]
 [ 1.00000000e+00  4.80213203e-10  1.36424205e-10]
 [-1.09139364e-10  1.00000000e+00  1.61890057e-10]
 [-8.91304808e-11  1.00000000e+00  1.05501385e-10]
 [-9.27684596e-11  1.00000000e+00  7.45785655e-11]
 [-1.10958354e-10  1.00000000e+00  1.29148248e-10]
 [ 1.00000000e+00  5.12955012e-10  1.10048859e-10]
 [-1.00044417e-10  4.80213203e-10  1.00000000e+00]
 [-9.45874490e-11  1.00000000e+00  8.00355338e-11]
 [ 1.00000000e+00  4.94765118e-10  7.18500814e-11]
 [-1.03682396e-10  1.00000000e+00  1.41881173e-10]
 [ 1.00000000e+00  5.31144906e-10  1.30967237e-10]
 [ 1.00000000e+00  5.11136022e-10  9.41327016e-11]
 [-1.12777343e-10  4.14729584e-10  1.00000000e+00]
 [-1.00044417e-10  1.00000000e+00  1.21872290e-10]
 [-1.00044417e-10  4.80213203e-10  1.00000000e+00]
 [-8.73114914e-11  5.20230969e-10  1.00000000e+00]
 [-1.18234311e-10  4.91127139e-10  1.00000000e+00]
 [-8.91304808e-11  4.80213203e-10  1.00000000e+00]
 [ 1.00000000e+00  4.98403097e-10  1.01863407e-10]
 [-8.54925020e-11  4.94765118e-10  1.00000000e+00]
 [-1.00044417e-10  1.00000000e+00  1.05501385e-10]
 [ 1.00000000e+00  4.58385330e-10  1.09139364e-10]
 [-8.36735126e-11  4.65661287e-10  1.00000000e+00]
 [-9.09494702e-11  1.00000000e+00  6.73026079e-11]
 [-1.23691279e-10  5.16592991e-10  1.00000000e+00]
 [-9.45874490e-11  1.00000000e+00  6.54836185e-11]
 [ 1.00000000e+00  5.14774001e-10  1.13686838e-10]
 [ 1.00000000e+00  4.76575224e-10  8.64019967e-11]
 [-8.36735126e-11  5.20230969e-10  1.00000000e+00]
 [-1.21872290e-10  4.69299266e-10  1.00000000e+00]
 [ 1.00000000e+00  4.69299266e-10  1.30057742e-10]
 [-1.03682396e-10  1.00000000e+00  1.03682396e-10]
 [-9.27684596e-11  1.00000000e+00  9.64064384e-11]
 [-1.03682396e-10  1.00000000e+00  1.12777343e-10]
 [-1.20053301e-10  1.00000000e+00  1.18234311e-10]
 [-1.25510269e-10  4.62023309e-10  1.00000000e+00]
 [ 1.00000000e+00  4.69299266e-10  7.41238182e-11]
 [ 1.00000000e+00  5.16592991e-10  1.22781785e-10]
 [ 1.00000000e+00  5.02041075e-10  8.09450285e-11]
 [ 1.00000000e+00  4.32919478e-10  1.56433089e-10]
 [-1.01863407e-10  1.00000000e+00  1.60071068e-10]
 [ 1.00000000e+00  5.07498044e-10  9.91349225e-11]
 [ 1.00000000e+00  4.96584107e-10  1.10048859e-10]
 [ 1.00000000e+00  5.18411980e-10  8.73114914e-11]
 [ 1.00000000e+00  4.54747351e-10  1.52795110e-10]
 [-1.07320375e-10  1.00000000e+00  7.82165444e-11]
 [-1.03682396e-10  4.94765118e-10  1.00000000e+00]
 [ 1.00000000e+00  4.92946128e-10  7.27595761e-11]
 [-8.73114914e-11  5.16592991e-10  1.00000000e+00]
 [-1.00044417e-10  4.87489160e-10  1.00000000e+00]
 [-9.09494702e-11  4.69299266e-10  1.00000000e+00]
 [ 1.00000000e+00  4.96584107e-10  4.68389771e-11]
 [-1.20053301e-10  4.58385330e-10  1.00000000e+00]
 [-8.91304808e-11  1.00000000e+00  7.63975549e-11]
 [-1.16415322e-10  1.00000000e+00  1.09139364e-10]
 [-9.64064384e-11  1.00000000e+00  9.82254278e-11]
 [ 1.00000000e+00  4.80213203e-10  1.19143806e-10]
 [ 1.00000000e+00  5.45696821e-10  8.04902811e-11]
 [-1.21872290e-10  4.54747351e-10  1.00000000e+00]
 [-1.03682396e-10  4.72937245e-10  1.00000000e+00]
 [-1.12777343e-10  5.02041075e-10  1.00000000e+00]]
