[[-4.23022466e+03  2.43411835e+08 -2.43407605e+08]
 [-4.26363257e+04  1.53319184e+08 -1.53276548e+08]
 [-1.97049935e+04 -1.90227720e+06  1.92198220e+06]
 [-8.53406744e+04 -7.00246882e+08  7.00332223e+08]
 [-4.79856670e+03 -3.78921488e+08  3.78926287e+08]
 [-2.66173725e+04 -6.44802033e+08  6.44828651e+08]
 [-2.80296153e+04 -2.91354176e+08  2.91382206e+08]
 [ 3.31170775e+04 -7.03455268e+08  7.03422151e+08]
 [ 9.25879825e+04  4.65881012e+08 -4.65973600e+08]
 [-4.95289682e+04 -3.04028029e+08  3.04077558e+08]
 [ 2.32285053e+04  9.65342852e+08 -9.65366080e+08]
 [-1.40541718e+02  4.50304542e+08 -4.50304401e+08]
 [-2.05699868e+04 -1.05675785e+08  1.05696355e+08]
 [ 2.10547673e+04  2.92383659e+07 -2.92594206e+07]
 [-2.77576760e+04 -3.51776771e+08  3.51804528e+08]
 [-1.09032468e+04 -9.68229273e+08  9.68240177e+08]
 [-9.91858008e+04 -2.56449920e+08  2.56549106e+08]
 [ 4.35765125e+03 -6.12064582e+05  6.07706931e+05]
 [-3.09540767e+03 -4.15359801e+08  4.15362896e+08]
 [ 8.70544389e+03  1.91410521e+08 -1.91419226e+08]
 [ 1.61862695e+03 -1.92767104e+08  1.92765485e+08]
 [ 6.26805715e+04  5.77881792e+07 -5.78508598e+07]
 [ 2.97154734e+04 -1.42597433e+08  1.42567717e+08]
 [ 1.60171009e+04  7.44513811e+08 -7.44529829e+08]
 [ 1.39049602e+05  1.05872940e+08 -1.06011990e+08]
 [ 9.04896133e+03  3.81615768e+07 -3.81706258e+07]
 [-2.67960273e+04  2.56706580e+08 -2.56679783e+08]
 [-1.23649546e+05 -6.92107663e+08  6.92231312e+08]
 [-4.46619004e+04 -3.23253316e+08  3.23297978e+08]
 [ 1.47710839e+04 -1.20345063e+09  1.20343586e+09]
 [ 1.64926839e+04  7.64014361e+08 -7.64030853e+08]
 [ 7.02242811e+04  2.74576507e+08 -2.74646731e+08]
 [ 9.90144466e+04  9.41319678e+08 -9.41418693e+08]
 [-5.24519279e+04 -2.31732379e+08  2.31784831e+08]
 [ 1.94822217e+04  5.87276197e+08 -5.87295679e+08]
 [ 1.47334175e+05  3.51182760e+08 -3.51330094e+08]
 [-3.72781588e+04 -3.79041988e+08  3.79079266e+08]
 [-7.97700893e+04 -4.93327389e+06  5.01304400e+06]
 [ 5.98226724e+04  2.21083966e+08 -2.21143788e+08]
 [-1.16796214e+04  2.36304314e+08 -2.36292634e+08]
 [-7.68126160e+04 -6.56045723e+07  6.56813850e+07]
 [ 3.25920018e+04 -7.85261824e+08  7.85229232e+08]
 [ 2.10953762e+04 -3.43576654e+08  3.43555558e+08]
 [-3.65090865e+04 -1.20475244e+08  1.20511753e+08]
 [-7.53976346e+04 -5.89976299e+08  5.90051697e+08]
 [ 6.12053926e+04  7.98911633e+08 -7.98972838e+08]
 [-3.55587265e+04  3.32669715e+08 -3.32634156e+08]
 [-5.84243114e+04  7.08060947e+08 -7.08002523e+08]
 [-5.89450562e+04 -4.96441300e+08  4.96500245e+08]
 [ 1.04333167e+05 -1.89679760e+08  1.89575427e+08]
 [ 1.51281575e+05  1.44408661e+09 -1.44423789e+09]
 [ 7.62346040e+04  7.19318081e+08 -7.19394315e+08]
 [ 6.37474796e+04  3.06888687e+08 -3.06952434e+08]
 [ 1.39307696e+04 -1.29934680e+08  1.29920749e+08]
 [ 3.06976279e+04  2.78254667e+08 -2.78285365e+08]
 [-8.88291781e+03 -1.11546424e+08  1.11555307e+08]
 [-6.57431439e+03 -1.75514265e+08  1.75520839e+08]
 [-1.88922627e+04 -4.93897697e+07  4.94086619e+07]
 [ 1.18467523e+04  8.48989742e+07 -8.49108210e+07]
 [-1.48854270e+04 -3.27557926e+08  3.27572811e+08]
 [-7.35925431e+04 -2.69773730e+08  2.69847322e+08]
 [-3.93035627e+04  8.43976292e+08 -8.43936989e+08]
 [ 7.10218142e+04  4.92653526e+07 -4.93363744e+07]
 [-3.09914569e+03  4.21943637e+08 -4.21940538e+08]
 [ 1.61554164e+04  4.43035529e+07 -4.43197083e+07]
 [-7.70893262e+04 -5.29755198e+08  5.29832288e+08]
 [-4.21703614e+04  2.55075124e+07 -2.54653420e+07]
 [ 1.40159867e+04  1.74395945e+08 -1.74409961e+08]
 [ 7.99071807e+04  2.30521852e+08 -2.30601759e+08]
 [-7.69423379e+04 -4.79523381e+07  4.80292804e+07]
 [-3.75694776e+03  2.45106171e+08 -2.45102414e+08]
 [-9.33728581e+04 -1.17911160e+08  1.18004532e+08]
 [-1.01975772e+04  3.94590131e+08 -3.94579933e+08]
 [ 2.35845355e+04  2.17578119e+08 -2.17601703e+08]
 [-4.51361373e+04 -5.73402722e+08  5.73447859e+08]
 [-4.68905193e+04 -4.04707864e+08  4.04754755e+08]
 [-1.28187010e+05 -9.97397600e+08  9.97525787e+08]
 [ 7.05510750e+03 -1.83085979e+08  1.83078924e+08]
 [ 1.10896576e+04  1.67061019e+08 -1.67072109e+08]
 [-1.19944985e+04  6.75973015e+08 -6.75961020e+08]
 [-1.00186990e+04  2.21700220e+08 -2.21690201e+08]
 [ 4.18503382e+04 -9.10292284e+08  9.10250434e+08]
 [-9.66834748e+04 -1.96937144e+08  1.97033828e+08]
