[[-5.10434072e-01 -5.31782794e-01  1.04781243e+00]
 [ 1.10912683e+00 -3.51350186e+00  2.40978478e+00]
 [-1.96808310e-01  5.31433812e+00 -5.11344387e+00]
 [-1.04554394e+00  2.40258686e+00 -1.35206987e+00]
 [-5.23049877e-01  8.81118487e-01 -3.52520155e-01]
 [ 2.53926707e-01 -9.77491583e-01  7.28016233e-01]
 [ 9.88703285e-01 -1.05972375e+00  7.66564615e-02]
 [ 1.21195998e+00 -1.47981338e+00  2.73100510e-01]
 [ 6.97459451e-02  2.26168513e+00 -2.32679345e+00]
 [ 7.57062491e-01 -1.66058871e+00  9.08267952e-01]
 [ 1.45777224e+00 -8.33790077e+00  6.88529378e+00]
 [-1.00947816e+00  2.10319040e+00 -1.08889844e+00]
 [ 1.79404913e-01 -1.28231942e+00  1.10722216e+00]
 [-4.43776236e-01 -4.71437285e+00  5.16424567e+00]
 [ 6.72292432e-01 -9.29246655e-01  2.61887881e-01]
 [ 3.45057369e-01 -2.12904115e+00  1.78843877e+00]
 [ 9.16281375e-02  1.01005380e+00 -1.09623336e+00]
 [ 5.92486121e-01  2.74355810e+00 -3.33178552e+00]
 [-5.17625626e-01 -1.46061698e+00  1.98338723e+00]
 [ 3.59884647e-01 -4.26367001e+00  3.90901177e+00]
 [-1.41084074e+00  3.19775278e+00 -1.78153196e+00]
 [ 3.10119716e-02  3.46254101e+00 -3.48951110e+00]
 [ 6.20406406e-01 -3.12428002e+00  2.50893061e+00]
 [-1.80039375e-01 -8.00303483e-01  9.85604105e-01]
 [-1.24031220e+00  4.94183852e+00 -3.69673498e+00]
 [-4.44715156e-02 -6.19957530e-01  6.69647646e-01]
 [ 2.62628421e-01  1.57022453e+00 -1.82766926e+00]
 [-1.96500743e+00  3.88605938e+00 -1.91578152e+00]
 [-1.82040659e+00  2.27629197e+00 -4.50056216e-01]
 [-1.50778782e+00 -8.70448697e-01  2.38413701e+00]
 [-1.60497272e+00  3.71202777e+00 -2.10093297e+00]
 [-4.61073004e-02 -3.27473348e+00  3.32696102e+00]
 [-1.29356711e+00  4.74573178e+00 -3.44761559e+00]
 [ 1.88462840e-01 -8.21108826e-01  6.37763756e-01]
 [ 8.50029629e-03  2.43172097e-01 -2.47154100e-01]
 [ 1.02052034e+00 -7.14359706e-01 -3.01239812e-01]
 [-1.93407658e-01 -1.88128588e-01  3.86224067e-01]
 [ 3.08217434e-02 -2.49005789e+00  2.46434088e+00]
 [-8.84633024e-01  4.69191167e+00 -3.80250271e+00]
 [ 1.17492199e-01  1.06926227e+00 -1.18182748e+00]
 [ 9.75396980e-01 -6.36294890e-01 -3.34351600e-01]
 [ 1.28364902e+00  1.27802755e+00 -2.55728996e+00]
 [ 9.57533324e-01  2.57120179e+00 -3.52450905e+00]
 [ 2.47207369e-01  1.36082672e+00 -1.60329926e+00]
 [ 6.24940629e-02  3.80434055e+00 -3.86247808e+00]
 [-8.58145636e-01  1.02845341e+00 -1.64255813e-01]
 [ 5.34630333e-01 -9.96442510e-01  4.67668385e-01]
 [ 3.75775654e-01 -2.07000110e+00  1.69817006e+00]
 [ 5.94584227e-01 -4.81506318e+00  4.22501214e+00]
 [ 1.27627606e+00 -3.12566687e+00  1.85563876e+00]
 [ 8.47731694e-01  4.16953619e-01 -1.25945282e+00]
 [-1.14784880e+00 -9.25200685e-01  2.07763841e+00]
 [-8.14433476e-01  1.11244263e+00 -2.94172048e-01]
 [-1.20798570e-01  3.78815914e-01 -2.52595232e-01]
 [ 4.16035139e-02  5.34261335e+00 -5.37995671e+00]
 [-1.24003179e+00  4.35231872e+00 -3.10764733e+00]
 [ 1.04454018e+00 -9.22142579e-01 -1.17394570e-01]
 [ 7.64177949e-01 -6.96214934e+00  6.20243391e+00]
 [ 2.66326750e-01  1.09908815e+00 -1.36054047e+00]
 [-2.81390454e-01  1.56020027e+00 -1.27425864e+00]
 [-7.41949650e-01 -3.52039195e+00  4.26759319e+00]
 [-8.81169773e-01  2.27735267e+00 -1.38995238e+00]
 [-1.40168132e+00 -3.37645470e+00  4.78551531e+00]
 [ 3.21173205e-01 -6.43678620e+00  6.12153023e+00]
 [ 2.87661222e-01 -1.13644932e+00  8.53879942e-01]
 [ 1.07409814e-01 -1.76631991e+00  1.66449026e+00]
 [ 1.19330290e+00 -2.62748474e+00  1.43960245e+00]
 [ 9.32922723e-01 -4.01830775e+00  3.09113708e+00]
 [ 1.47188925e-01 -4.55195515e-01  3.12860474e-01]
 [-2.62996787e-01 -2.97507471e+00  3.24512376e+00]
 [-4.62032705e-02 -1.03735857e+00  1.08773662e+00]
 [ 6.64945508e-01  5.41206263e+00 -6.07267689e+00]
 [-7.61770212e-01  5.96821697e+00 -5.20263958e+00]
 [-5.60561024e-01  2.51070289e-01  3.15082034e-01]
 [ 2.75592198e+00 -6.74419568e+00  3.99177633e+00]
 [ 2.16745734e-01  2.39367534e+00 -2.60586907e+00]
 [-1.18672337e-01 -6.72500977e-01  7.96450008e-01]
 [ 7.64111368e-01 -1.42544681e+00  6.66976027e-01]
 [ 3.61535282e+00 -1.01858696e+01  6.57458339e+00]
 [ 1.70162751e+00 -8.21667330e-01 -8.75894375e-01]
 [ 1.76293270e-02  1.06676871e+00 -1.07956354e+00]
 [ 1.97948250e+00 -2.02256993e+00  4.73254815e-02]
 [-8.01952602e-01  1.51619930e+00 -7.08988467e-01]
 [-2.16796476e-03  1.16267019e+00 -1.15501920e+00]
 [ 4.04490294e-01 -8.90654733e-01  4.91236594e-01]
 [-6.22256082e-01 -2.31320081e-01  8.58517375e-01]
 [ 3.74682284e-01  5.95669623e-01 -9.64788878e-01]
 [-5.04794661e-01  5.69376119e-02  4.53058014e-01]
 [-1.25896396e-01  1.13669002e+00 -1.00553338e+00]
 [-1.63322831e+00  2.67061161e+00 -1.03224503e+00]
 [ 2.36137752e-01  5.18447377e-01 -7.48368532e-01]
 [ 5.02600127e-01 -1.72634448e+00  1.22865138e+00]
 [-6.17370464e-01 -6.85718076e-01  1.30775515e+00]
 [ 5.02940866e-01  1.24394131e+00 -1.74221251e+00]
 [-4.41300253e-01  1.25178792e+00 -8.06659550e-01]
 [ 3.81556237e-01 -4.15636642e-01  3.91219089e-02]
 [-7.70362768e-01  6.68871725e+00 -5.91306215e+00]
 [-3.94850040e-01  1.17309520e+00 -7.74653240e-01]
 [-4.19335436e-01 -1.03442211e+00  1.45813637e+00]
 [-4.44333220e-02 -9.94520215e-01  1.04431621e+00]
 [-1.04241126e+00  6.97915813e+00 -5.93245041e+00]
 [-1.45739692e+00  2.00815718e+00 -5.45735504e-01]
 [ 1.15093581e+00  2.59312145e-01 -1.40621164e+00]
 [ 1.27238320e-01  4.33315796e-01 -5.55495665e-01]
 [ 1.31207228e+00  1.51238352e+00 -2.82076193e+00]
 [ 5.42815003e-01 -3.14245249e+00  2.60481725e+00]
 [ 2.57095289e-01 -5.61621779e+00  5.36429810e+00]
 [ 1.54283424e+00  2.22028285e+00 -3.75832957e+00]
 [ 1.02433165e+00 -1.22880980e+00  2.08407093e-01]
 [-1.31806395e+00  1.29246243e-01  1.19516100e+00]
 [ 5.55550902e-01 -1.32127552e+00  7.69623992e-01]
 [-1.79300930e+00  2.89034858e+00 -1.09077472e+00]
 [-6.38999993e-01  1.79384726e+00 -1.15041955e+00]
 [-8.88002505e-01 -8.54475494e-01  1.74761486e+00]
 [-1.70317532e-01  7.77725046e-01 -6.03220272e-01]
 [-1.06674364e+00 -5.77470934e-01  1.65073377e+00]
 [-4.14260815e-01 -8.43715107e-01  1.26202134e+00]
 [-4.63548385e-02 -8.38098666e-01  8.88894011e-01]
 [ 8.45218621e-01 -8.89838060e-01  4.94609762e-02]
 [-1.29205341e+00  3.17923226e+00 -1.88068382e+00]
 [ 2.31260059e-01  4.92427769e-01 -7.19121061e-01]
 [-2.32683679e-01  6.44109857e-01 -4.05813302e-01]
 [ 1.14024038e-02  3.96853793e-01 -4.04178944e-01]
 [ 7.48798015e-01 -2.12040304e+00  1.37634335e+00]
 [-5.88572039e-01 -1.35752811e+00  1.95201640e+00]
 [ 1.35309843e-02  2.60976606e+00 -2.61778198e+00]
 [ 8.26358402e-02  3.57303619e-01 -4.34913893e-01]
 [-3.00946765e-01 -1.04370586e+00  1.35054154e+00]
 [-1.99556611e-01  4.02297157e+00 -3.81807551e+00]
 [ 1.82936969e-02  7.05435664e-01 -7.17585144e-01]
 [-8.93270250e-01  1.83584240e-01  7.14896876e-01]
 [ 1.22280074e+00 -4.17668299e+00  2.95856870e+00]
 [ 6.58542105e-02 -7.98552811e-01  7.37917684e-01]
 [ 1.32958015e-01 -1.75416280e+00  1.62636160e+00]
 [-1.88463602e+00 -3.27261390e+00  5.16347448e+00]
 [ 7.37537644e-01 -1.39004252e+00  6.58316142e-01]
 [ 4.62870486e-01  2.51421608e-01 -7.10388135e-01]
 [ 2.47087909e-01 -4.63921647e-01  2.21819196e-01]
 [ 1.22712918e+00 -4.92100579e+00  3.69801320e+00]
 [-8.52494004e-02  2.25805090e+00 -2.16812206e+00]
 [-1.13032505e+00 -8.07179863e-01  1.94240771e+00]
 [-4.57936329e-01  2.86187343e+00 -2.39992875e+00]
 [ 4.38248942e-01  1.18742484e+00 -1.62098455e+00]
 [-5.92070293e-01  1.82004496e+00 -1.22218863e+00]
 [ 1.93343893e-01  4.19220664e+00 -4.38100623e+00]
 [ 1.61570375e+00 -1.81687684e+00  2.05735275e-01]
 [-2.05024129e-01 -1.62075061e+00  1.83148774e+00]
