[[-1.85785657e+07  2.58160386e+06  1.59969619e+07]
 [ 6.12584353e+06 -1.51381015e+07  9.01225797e+06]
 [ 1.32698327e+07 -3.99414576e+07  2.66716249e+07]
 [-2.49871132e+05 -2.05564520e+07  2.08063231e+07]
 [-9.63450060e+06  3.96414606e+07 -3.00069600e+07]
 [-5.24092568e+06  4.05447002e+07 -3.53037745e+07]
 [-1.20344010e+07  4.94458551e+06  7.08981548e+06]
 [ 9.80050370e+05  3.02019615e+07 -3.11820119e+07]
 [ 1.18621170e+05 -1.15721072e+07  1.14534860e+07]
 [-8.05560745e+06  3.96114990e+07 -3.15558915e+07]
 [ 1.80488121e+06 -8.77200391e+06  6.96712271e+06]
 [-7.71291877e+06  7.76833078e+07 -6.99703890e+07]
 [ 1.64555643e+07 -1.88097852e+07  2.35422095e+06]
 [-9.70461756e+05 -2.41823335e+07  2.51527952e+07]
 [ 1.83323843e+06 -2.13816427e+07  1.95484043e+07]
 [ 5.15886719e+06 -6.06447924e+06  9.05612053e+05]
 [-8.45854234e+06  2.07894066e+07 -1.23308643e+07]
 [ 6.78884904e+06 -9.55314989e+06  2.76430085e+06]
 [-5.10738066e+06  7.23954390e+06 -2.13216322e+06]
 [ 7.94729127e+05 -5.48315778e+06  4.68842865e+06]
 [-5.04086973e+06  7.91283434e+04  4.96174139e+06]
 [ 1.00476923e+07 -2.67118493e+07  1.66641571e+07]
 [ 2.33306778e+06  1.19498529e+06 -3.52805306e+06]
 [-6.82599853e+05  2.89352288e+06 -2.21092302e+06]
 [-4.94514758e+06  7.28559227e+07 -6.79107751e+07]
 [ 4.25034754e+06  1.45965755e+06 -5.71000508e+06]
 [-1.92593444e+06 -7.17741076e+06  9.10334522e+06]
 [-3.89844673e+06  3.74861224e+07 -3.35876756e+07]
 [-2.55458195e+06 -6.38123762e+06  8.93581958e+06]
 [-1.08977310e+05  6.88964727e+06 -6.78066995e+06]
 [-6.85780509e+06  2.86350415e+07 -2.17772364e+07]
 [ 4.48333270e+06  6.76897856e+06 -1.12523113e+07]
 [ 2.54099318e+06  2.14615737e+07 -2.40025668e+07]
 [-4.16380103e+05  1.70700286e+07 -1.66536485e+07]
 [-6.68513369e+06  7.98526684e+06 -1.30013313e+06]
 [ 5.98569434e+06 -4.72532875e+06 -1.26036558e+06]
 [ 1.10224475e+06 -2.64994413e+07  2.53971966e+07]
 [-2.45146002e+06 -6.57214266e+06  9.02360268e+06]
 [-4.02930289e+06  2.11197823e+07 -1.70904794e+07]
 [-1.34131208e+06  1.49638046e+07 -1.36224925e+07]
 [ 6.15055289e+06  2.29862068e+07 -2.91367597e+07]
 [-1.60413116e+06 -2.14940223e+07  2.30981535e+07]
 [-6.42662305e+06 -9.95232963e+06  1.63789527e+07]
 [-6.57016333e+06  3.86495829e+07 -3.20794196e+07]
 [-5.39915612e+06 -1.29445193e+07  1.83436754e+07]
 [-2.98861008e+06  6.15936647e+06 -3.17075637e+06]
 [-1.74992220e+06 -1.46358304e+07  1.63857526e+07]
 [ 1.56478737e+06  2.86082002e+06 -4.42560738e+06]
 [ 3.60931557e+06 -1.26390205e+06 -2.34541350e+06]
 [ 7.02158339e+06  2.09310809e+07 -2.79526643e+07]
 [-1.28475683e+07 -8.95370951e+06  2.18012778e+07]
 [ 2.96036810e+06 -2.22644857e+07  1.93041176e+07]
 [ 4.31689314e+06 -2.43022487e+07  1.99853555e+07]
 [-1.93912439e+06 -1.45034704e+07  1.64425948e+07]
