[[ 7.73070497e-11  1.00000000e+00 -4.00177669e-11]
 [ 5.09317033e-11  1.00000000e+00 -1.45519152e-11]
 [ 8.45830073e-11  1.00000000e+00 -1.45519152e-11]
 [ 7.63975549e-11  1.00000000e+00 -2.91038305e-11]
 [ 8.27640179e-11  1.00000000e+00  7.27595761e-12]
 [ 1.00000000e+00  2.54658516e-11 -1.45519152e-11]
 [ 7.91260391e-11  3.63797881e-11  1.00000000e+00]
 [ 7.36690708e-11  6.91215973e-11  1.00000000e+00]
 [ 1.01863407e-10  5.82076609e-11  1.00000000e+00]
 [ 1.00000000e+00 -2.54658516e-11  7.27595761e-12]
 [ 7.45785655e-11  6.54836185e-11  1.00000000e+00]
 [ 8.73114914e-11  1.00000000e+00 -1.81898940e-11]
 [ 1.00000000e+00  1.81898940e-11 -1.45519152e-11]
 [ 7.45785655e-11  8.00355338e-11  1.00000000e+00]
 [ 1.00000000e+00  5.09317033e-11  3.63797881e-11]
 [ 1.06410880e-10  9.45874490e-11  1.00000000e+00]
 [ 8.73114914e-11  1.00000000e+00  1.09139364e-11]
 [ 1.00000000e+00 -2.18278728e-11  2.18278728e-11]
 [ 9.00399755e-11  1.00000000e+00 -1.09139364e-11]
 [ 7.36690708e-11  4.00177669e-11  1.00000000e+00]
 [ 1.00000000e+00 -2.54658516e-11  4.36557457e-11]
 [ 9.45874490e-11  1.00000000e+00  0.00000000e+00]
 [ 8.36735126e-11  1.00000000e+00  1.81898940e-11]
 [ 1.05501385e-10  9.45874490e-11  1.00000000e+00]
 [ 1.00000000e+00 -3.63797881e-12  5.09317033e-11]
 [ 8.73114914e-11  1.00000000e+00 -3.63797881e-12]
 [ 9.82254278e-11  1.09139364e-10  1.00000000e+00]
 [ 1.00000000e+00  3.27418093e-11 -4.72937245e-11]
 [ 9.91349225e-11  7.27595761e-11  1.00000000e+00]
 [ 9.82254278e-11  9.09494702e-11  1.00000000e+00]
 [ 7.82165444e-11  6.18456397e-11  1.00000000e+00]
 [ 8.54925020e-11  1.00000000e+00  1.81898940e-11]
 [ 7.54880602e-11  3.27418093e-11  1.00000000e+00]
 [ 1.01863407e-10  6.18456397e-11  1.00000000e+00]
 [ 1.00000000e+00  4.72937245e-11 -1.09139364e-11]
 [ 1.00000000e+00  6.54836185e-11  3.63797881e-11]
 [ 1.00000000e+00  6.18456397e-11  1.09139364e-11]
 [ 7.63975549e-11  1.00000000e+00 -3.63797881e-11]
 [ 1.00000000e+00  7.27595761e-11  3.63797881e-11]
 [ 1.00000000e+00  3.63797881e-11  3.63797881e-12]
 [ 1.00000000e+00 -3.63797881e-12  8.73114914e-11]
 [ 9.73159331e-11  1.00000000e+00  4.36557457e-11]
 [ 9.18589649e-11  1.38243195e-10  1.00000000e+00]
 [ 8.18545232e-11  1.00000000e+00 -3.63797881e-12]
 [ 8.09450285e-11  6.18456397e-11  1.00000000e+00]
 [ 1.00000000e+00  4.36557457e-11  2.91038305e-11]
 [ 9.00399755e-11  7.63975549e-11  1.00000000e+00]
 [ 9.73159331e-11  1.30967237e-10  1.00000000e+00]
 [ 9.64064384e-11  1.00000000e+00 -2.18278728e-11]
