[[-1.01586542e+08  2.03727705e+07  8.12137716e+07]
 [ 5.29177925e+07  8.81847919e+08 -9.34765712e+08]
 [-1.02581829e+08  8.36438684e+07  1.89379608e+07]
 [-7.61881930e+07  3.92159950e+08 -3.15971757e+08]
 [ 3.96941605e+07  2.81272063e+08 -3.20966223e+08]
 [-9.05373656e+07 -9.09295551e+08  9.99832916e+08]
 [-1.16187755e+07 -3.95986088e+08  4.07604864e+08]
 [ 1.48980185e+08 -4.74621428e+08  3.25641244e+08]
 [ 8.94273930e+04  7.61320026e+08 -7.61409454e+08]
 [-1.12461538e+08 -1.88491814e+08  3.00953352e+08]
 [-1.68410546e+06  2.38591202e+08 -2.36907097e+08]
 [-8.40723772e+07 -2.22332571e+08  3.06404948e+08]
 [ 7.78360514e+07 -7.66366357e+08  6.88530305e+08]
 [ 5.00283921e+07  5.62706667e+07 -1.06299059e+08]
 [ 2.09703254e+07  2.97596409e+08 -3.18566734e+08]
 [-2.99633463e+07 -4.08571449e+08  4.38534796e+08]
 [-1.80152482e+08  2.14577914e+08 -3.44254323e+07]
 [ 5.42743708e+07  9.82261242e+08 -1.03653561e+09]
 [-4.79563145e+07  1.16689732e+07  3.62873413e+07]
 [-7.54837293e+07 -3.28217483e+07  1.08305478e+08]
 [-1.80047583e+07  9.88883216e+07 -8.08835634e+07]
 [-3.90861966e+06  3.34365314e+08 -3.30456694e+08]
 [ 1.01250880e+08  3.05556430e+08 -4.06807311e+08]
 [-5.76505446e+07 -3.26968462e+08  3.84619007e+08]
 [ 2.62096407e+07  3.53312245e+08 -3.79521886e+08]
 [-7.59624099e+07  1.87782745e+08 -1.11820336e+08]
 [-3.93363540e+07 -4.17055754e+08  4.56392108e+08]
 [ 1.24808156e+08 -9.51926870e+08  8.27118714e+08]
 [-2.00250905e+07  4.29889914e+08 -4.09864823e+08]
 [-5.48288378e+07 -3.06384250e+08  3.61213088e+08]
 [-2.31546799e+07 -1.65954100e+08  1.89108780e+08]
 [-3.07461660e+06 -7.78669025e+07  8.09415191e+07]
 [ 1.21134230e+07 -1.25279348e+08  1.13165925e+08]
 [-2.42461121e+07  3.41182429e+08 -3.16936316e+08]
 [-4.57809131e+07 -6.49167546e+08  6.94948459e+08]
 [ 1.77534206e+08  5.67935660e+08 -7.45469866e+08]
 [ 4.54343494e+07  3.95542453e+08 -4.40976802e+08]
 [ 5.56453373e+07  4.56280350e+08 -5.11925687e+08]
 [ 8.21949376e+07 -7.28726882e+08  6.46531944e+08]
 [-1.99578844e+06  2.90964698e+08 -2.88968909e+08]
 [ 5.41237911e+07 -7.35593348e+07  1.94355437e+07]
 [ 2.75166099e+07  4.82396315e+08 -5.09912925e+08]
 [-5.55933174e+07 -6.60261288e+08  7.15854606e+08]
 [ 8.92571573e+07  5.05125336e+08 -5.94382494e+08]
 [ 1.79738447e+07  3.12629385e+08 -3.30603230e+08]
