[[ 1.81898940e-10  1.00000000e+00  1.45519152e-10]
 [ 1.00000000e+00 -3.05590220e-10  1.81898940e-11]
 [ 2.07364792e-10  1.00000000e+00  1.16415322e-10]
 [ 1.85536919e-10  1.00000000e+00  7.27595761e-11]
 [ 2.07364792e-10  1.00000000e+00  1.38243195e-10]
 [ 1.00000000e+00 -3.05590220e-10  4.36557457e-11]
 [ 1.89174898e-10 -2.83762347e-10  1.00000000e+00]
 [ 2.03726813e-10 -3.05590220e-10  1.00000000e+00]
 [ 1.00000000e+00 -3.41970008e-10 -2.18278728e-11]
 [ 2.03726813e-10  1.00000000e+00  7.63975549e-11]
 [ 1.00000000e+00 -3.05590220e-10  5.82076609e-11]
 [ 2.25554686e-10  1.00000000e+00  1.05501385e-10]
 [ 1.67347025e-10  1.00000000e+00  3.27418093e-11]
 [ 2.07364792e-10 -2.18278728e-10  1.00000000e+00]
 [ 2.32830644e-10 -2.91038305e-10  1.00000000e+00]
 [ 1.67347025e-10  1.00000000e+00  1.09139364e-10]
 [ 1.00000000e+00 -2.32830644e-10  2.18278728e-11]
 [ 1.70985004e-10  1.00000000e+00  9.82254278e-11]
 [ 1.70985004e-10  1.00000000e+00  1.01863407e-10]
 [ 2.29192665e-10 -4.00177669e-10  1.00000000e+00]
 [ 2.14640750e-10 -2.91038305e-10  1.00000000e+00]
 [ 2.03726813e-10 -3.71073838e-10  1.00000000e+00]
 [ 1.89174898e-10  1.00000000e+00  1.16415322e-10]
 [ 1.63709046e-10  1.00000000e+00  9.45874490e-11]
 [ 1.00000000e+00 -2.76486389e-10 -2.54658516e-11]
 [ 2.11002771e-10 -3.34694050e-10  1.00000000e+00]
 [ 1.00000000e+00 -3.27418093e-10  1.45519152e-11]
 [ 1.00000000e+00 -4.00177669e-10  2.91038305e-11]
 [ 1.85536919e-10  1.00000000e+00  9.82254278e-11]
 [ 1.94631866e-10  1.00000000e+00  4.72937245e-11]
 [ 1.89174898e-10 -3.41970008e-10  1.00000000e+00]
 [ 1.00000000e+00 -4.36557457e-10  2.18278728e-11]
 [ 1.00000000e+00 -2.91038305e-10  9.45874490e-11]
 [ 1.92812877e-10  1.00000000e+00  1.30967237e-10]
 [ 2.00088834e-10  1.00000000e+00  7.27595761e-11]
 [ 2.03726813e-10 -3.05590220e-10  1.00000000e+00]
 [ 2.29192665e-10 -3.34694050e-10  1.00000000e+00]
 [ 1.96450856e-10  1.00000000e+00  1.30967237e-10]
 [ 1.85536919e-10  1.00000000e+00  1.09139364e-10]
 [ 2.00088834e-10  1.00000000e+00  5.09317033e-11]
 [ 2.00088834e-10  1.00000000e+00  1.20053301e-10]
 [ 2.29192665e-10 -3.05590220e-10  1.00000000e+00]
 [ 1.00000000e+00 -3.12866177e-10  2.18278728e-11]
 [ 1.63709046e-10  1.00000000e+00  1.30967237e-10]
 [ 1.00000000e+00 -3.27418093e-10 -1.09139364e-11]
 [ 2.61934474e-10 -4.00177669e-10  1.00000000e+00]
 [ 1.00000000e+00 -2.91038305e-10  6.54836185e-11]
 [ 1.96450856e-10 -2.11002771e-10  1.00000000e+00]
 [ 1.00000000e+00 -3.41970008e-10 -8.36735126e-11]
 [ 1.96450856e-10 -3.56521923e-10  1.00000000e+00]
 [ 2.00088834e-10 -3.56521923e-10  1.00000000e+00]
 [ 1.00000000e+00 -3.27418093e-10  2.18278728e-11]
 [ 1.00000000e+00 -3.34694050e-10  2.18278728e-11]
 [ 1.96450856e-10 -2.32830644e-10  1.00000000e+00]
 [ 1.00000000e+00 -3.71073838e-10  5.82076609e-11]
 [ 1.00000000e+00 -3.56521923e-10 -3.63797881e-12]
 [ 1.00000000e+00 -3.78349796e-10  2.54658516e-11]
 [ 2.21916707e-10 -3.56521923e-10  1.00000000e+00]
 [ 2.03726813e-10 -4.14729584e-10  1.00000000e+00]
 [ 2.11002771e-10 -3.56521923e-10  1.00000000e+00]
 [ 1.85536919e-10  1.00000000e+00  6.18456397e-11]
 [ 2.03726813e-10  1.00000000e+00  2.91038305e-11]
 [ 1.00000000e+00 -3.27418093e-10 -7.27595761e-12]
 [ 1.00000000e+00 -3.85625754e-10  9.09494702e-11]
 [ 1.96450856e-10  1.00000000e+00  8.36735126e-11]
 [ 1.85536919e-10  1.00000000e+00  8.00355338e-11]
 [ 2.29192665e-10 -3.41970008e-10  1.00000000e+00]
 [ 1.85536919e-10  1.00000000e+00  9.09494702e-11]
 [ 2.07364792e-10 -2.32830644e-10  1.00000000e+00]
 [ 1.00000000e+00 -3.63797881e-10 -5.82076609e-11]
 [ 2.11002771e-10 -3.20142135e-10  1.00000000e+00]
 [ 1.00000000e+00 -2.61934474e-10  4.72937245e-11]
 [ 1.00000000e+00 -3.05590220e-10  1.81898940e-11]
 [ 1.00000000e+00 -3.20142135e-10  1.01863407e-10]
 [ 1.00000000e+00 -2.76486389e-10 -1.45519152e-11]
 [ 2.32830644e-10 -3.34694050e-10  1.00000000e+00]
 [ 1.00000000e+00 -3.63797881e-10  3.27418093e-11]
 [ 2.03726813e-10 -3.20142135e-10  1.00000000e+00]
 [ 2.07364792e-10 -3.78349796e-10  1.00000000e+00]
 [ 1.89174898e-10  1.00000000e+00  4.36557457e-11]
 [ 1.00000000e+00 -3.49245965e-10  0.00000000e+00]
 [ 1.00000000e+00 -3.41970008e-10  7.27595761e-11]
 [ 2.14640750e-10  1.00000000e+00  1.05501385e-10]
 [ 1.00000000e+00 -3.41970008e-10 -7.27595761e-12]
 [ 2.03726813e-10 -3.12866177e-10  1.00000000e+00]
 [ 1.00000000e+00 -2.61934474e-10  3.63797881e-12]
 [ 1.00000000e+00 -2.98314262e-10  3.27418093e-11]
 [ 2.14640750e-10 -3.71073838e-10  1.00000000e+00]
 [ 1.92812877e-10  1.00000000e+00  1.41881173e-10]
 [ 2.00088834e-10 -4.14729584e-10  1.00000000e+00]
 [ 1.00000000e+00 -2.91038305e-10  4.00177669e-11]
 [ 2.03726813e-10  1.00000000e+00  1.09139364e-10]
 [ 1.00000000e+00 -2.40106601e-10 -3.63797881e-11]
 [ 1.00000000e+00 -3.56521923e-10  3.63797881e-12]
 [ 2.11002771e-10  1.00000000e+00  6.54836185e-11]
 [ 1.89174898e-10  1.00000000e+00  1.16415322e-10]
 [ 1.00000000e+00 -3.20142135e-10  5.09317033e-11]
 [ 2.36468622e-10 -3.63797881e-10  1.00000000e+00]
 [ 2.00088834e-10 -4.07453626e-10  1.00000000e+00]
 [ 2.07364792e-10 -3.05590220e-10  1.00000000e+00]
 [ 1.92812877e-10  1.00000000e+00  1.81898940e-11]
 [ 1.96450856e-10  1.00000000e+00  7.27595761e-11]
 [ 1.00000000e+00 -3.34694050e-10  4.36557457e-11]
 [ 1.00000000e+00 -3.12866177e-10  4.36557457e-11]
 [ 1.74622983e-10  1.00000000e+00  1.01863407e-10]
