[[-6.92965796e+02  6.78898999e+02  1.40713149e+01]
 [ 8.54860309e+01  4.03904670e+03 -4.12452674e+03]
 [-3.65824407e+02  2.50224770e+03 -2.13642158e+03]
 [-1.81683716e+02  7.99095424e+02 -6.17407491e+02]
 [-3.38731707e+02 -1.22744094e+03  1.56617546e+03]
 [-1.35024201e+00  4.22232938e+02 -4.20875195e+02]
 [-2.54397158e+02  4.04713625e+03 -3.79273493e+03]
 [ 6.49645516e+00  2.36063101e+03 -2.36712195e+03]
 [ 4.10174083e+02 -1.21509300e+03  8.04922642e+02]
 [-8.22420358e+01 -2.24592251e+02  3.06836805e+02]
 [-3.53161383e+02 -2.43357903e+02  5.96525105e+02]
 [-4.24326429e+02  3.51650666e+03 -3.09217376e+03]
 [ 5.74813254e+02 -4.17544504e+02 -1.57264022e+02]
 [-1.07132106e+01  3.15295558e+03 -3.14223565e+03]
 [ 3.30177324e+00  7.89864078e+01 -8.22874054e+01]
 [ 4.75319781e+02 -2.95388473e+03  2.47857276e+03]
 [-1.62746569e+02  1.21804844e+02  4.09423273e+01]
 [-6.29874257e+01  1.17879677e+03 -1.11580677e+03]
 [-4.49589159e+01  6.17063939e+02 -5.72098314e+02]
 [-4.19853062e+02  2.55927410e+02  1.63924673e+02]
 [ 2.53254280e+02  1.71434034e+03 -1.96758967e+03]
 [ 3.44285071e+02 -8.19936118e+02  4.75658777e+02]
 [-2.54012384e+02  2.25087125e+03 -1.99684978e+03]
 [ 1.03698883e+02 -4.60943038e+03  4.50573598e+03]
 [-9.56580789e+01  6.42833452e+02 -5.47168680e+02]
 [ 3.78112202e+02  2.02691773e+03 -2.40502504e+03]
 [ 3.93764194e+02 -4.51350178e+03  4.11973666e+03]
 [-2.31373207e+02  1.08781565e+03 -8.56440493e+02]
 [ 6.90272680e+02 -1.53102203e+03  8.40751635e+02]
 [-1.81066441e+02 -1.02203900e+03  1.20310980e+03]
 [-6.09127479e+02 -1.66725130e+02  7.75855072e+02]
 [ 1.25190569e+01  5.75509325e+02 -5.88025089e+02]
 [ 9.34095211e+01 -5.64735207e+03  5.55393947e+03]
 [-1.36290008e+02 -8.74408083e+00  1.45038431e+02]
 [ 1.17953688e+02 -1.27349649e+03  1.15554810e+03]
 [-1.91003887e+01 -1.51629760e+03  1.53540282e+03]
 [-6.01082955e+00 -1.33029847e+02  1.39047465e+02]
 [ 5.94536549e+02 -1.44946245e+03  8.54929550e+02]
 [ 1.92561259e+02 -4.27387558e+02  2.34834429e+02]
 [-1.81769056e+02  2.77610217e+02 -9.58373753e+01]
 [ 8.05994642e+01  5.22431798e+02 -6.03026127e+02]
 [-6.94664484e+02  7.17937211e+02 -2.32634573e+01]
 [ 3.62029573e+02  6.15277381e+02 -9.77303134e+02]
 [-2.53072040e+02  2.20697217e+03 -1.95389897e+03]
 [-1.27537016e+02 -1.19374430e+03  1.32128792e+03]
 [-1.41836351e+01 -5.24583123e+02  5.38769319e+02]
 [ 1.20436238e+02 -4.92220391e+03  4.80177371e+03]
