[[ 1.00000000e+00  4.94893015e-12]
 [ 8.72901751e-12  1.00000000e+00]
 [ 1.00000000e+00  4.82636153e-12]
 [ 1.00000000e+00  2.59436916e-12]
 [-4.89919216e-12  1.00000000e+00]
 [ 1.00000000e+00  7.42961248e-12]
 [ 1.40509826e-12  1.00000000e+00]
 [-6.79456491e-13  1.00000000e+00]
 [ 1.00000000e+00  1.43707268e-12]
 [ 1.72750703e-12  1.00000000e+00]
 [-2.35544917e-12  1.00000000e+00]
 [ 1.00000000e+00  7.72448772e-12]
 [ 1.00000000e+00  4.09894341e-12]
 [-1.13775656e-12  1.00000000e+00]
 [-1.23456800e-12  1.00000000e+00]
 [-2.06501483e-12  1.00000000e+00]
 [ 1.00000000e+00  4.23838742e-12]
 [-1.29674049e-12  1.00000000e+00]
 [-1.61559655e-12  1.00000000e+00]
 [-4.02522460e-12  1.00000000e+00]
 [ 1.00000000e+00  4.43645121e-12]
 [ 2.01794137e-12  1.00000000e+00]
 [ 1.00000000e+00  4.81925611e-12]
 [ 1.00000000e+00  4.33786340e-12]
 [-3.50297569e-12  1.00000000e+00]
 [ 1.00000000e+00  3.98969746e-12]
 [ 1.00000000e+00  3.61755070e-12]
 [-3.90176780e-12  1.00000000e+00]
 [-4.47109016e-12  1.00000000e+00]
 [-3.74011933e-12  1.00000000e+00]
 [ 1.07647224e-12  1.00000000e+00]
 [-2.50821586e-12  1.00000000e+00]
 [ 1.00000000e+00  9.90318938e-12]
 [-1.13242749e-12  1.00000000e+00]
 [-2.35811370e-12  1.00000000e+00]
 [ 1.00000000e+00  3.03934655e-12]
 [-1.83231208e-12  1.00000000e+00]
 [ 1.00000000e+00  4.05098177e-12]
 [ 1.00000000e+00  7.42783612e-12]
 [ 1.00000000e+00  4.48618920e-12]
 [-1.75681691e-12  1.00000000e+00]
 [-2.54107846e-12  1.00000000e+00]
 [-4.33431069e-13  1.00000000e+00]
 [-3.22408766e-12  1.00000000e+00]
 [-1.10222942e-12  1.00000000e+00]
 [ 1.00000000e+00  2.35012010e-12]
 [ 1.00000000e+00  5.57243141e-12]
 [ 1.00000000e+00  3.91953137e-12]
 [ 1.00000000e+00  4.64517314e-12]
 [ 1.00000000e+00  4.48174831e-12]
 [ 1.00000000e+00  4.57323068e-12]
 [ 1.00000000e+00  5.11679588e-12]
 [ 1.00000000e+00  6.37889741e-12]
 [ 1.00000000e+00  3.45146134e-12]
 [ 1.00000000e+00  4.89919216e-12]
 [-1.26298971e-12  1.00000000e+00]
 [ 1.64313008e-13  1.00000000e+00]
 [ 1.00000000e+00  4.89208674e-12]
 [-2.00106598e-12  1.00000000e+00]
 [ 1.00000000e+00  6.86384283e-12]
 [-1.80300219e-13  1.00000000e+00]
 [ 1.00000000e+00  4.36539693e-12]
 [-2.16182627e-12  1.00000000e+00]
 [ 1.00000000e+00  2.61124455e-12]
 [ 1.00000000e+00  2.76223489e-12]
 [ 1.00000000e+00  5.97566441e-12]
 [-5.40900658e-13  1.00000000e+00]
 [ 1.00000000e+00  6.42241815e-12]
 [-1.90603089e-12  1.00000000e+00]
 [-1.00097708e-12  1.00000000e+00]
 [ 1.00000000e+00  3.74189568e-12]
 [-2.41495712e-12  1.00000000e+00]
 [-2.67785794e-12  1.00000000e+00]
 [ 1.00000000e+00  4.95781194e-12]
 [-3.20543592e-12  1.00000000e+00]
 [ 6.75015599e-14  1.00000000e+00]
 [ 1.00000000e+00  2.88036262e-12]
 [-1.18483001e-12  1.00000000e+00]
 [-2.22666330e-12  1.00000000e+00]
 [-1.05071507e-12  1.00000000e+00]
 [ 1.00000000e+00  2.76045853e-12]
 [-6.66133815e-13  1.00000000e+00]
 [ 1.00000000e+00  5.87174753e-12]
 [-3.42925688e-12  1.00000000e+00]
 [-7.41628980e-13  1.00000000e+00]
 [ 1.00000000e+00  4.85567142e-12]
 [ 1.00000000e+00  4.14690504e-12]
 [ 1.00000000e+00  4.41779946e-12]
 [ 1.00000000e+00  4.68247663e-12]
 [ 1.00000000e+00  5.55999691e-12]
 [-3.99413835e-12  1.00000000e+00]
 [-1.25144339e-12  1.00000000e+00]
 [-5.17008658e-12  1.00000000e+00]
 [-2.44249065e-13  1.00000000e+00]
 [ 3.64153152e-14  1.00000000e+00]
 [ 1.00000000e+00  4.36006786e-12]
 [ 1.00000000e+00  2.44249065e-12]
 [-1.36779477e-12  1.00000000e+00]
 [-1.87405647e-12  1.00000000e+00]
 [-2.72759593e-12  1.00000000e+00]
 [-2.45226062e-12  1.00000000e+00]
 [-1.70086167e-12  1.00000000e+00]
 [-5.53779245e-12  1.00000000e+00]
 [ 1.00000000e+00  7.07434111e-12]
 [ 1.00000000e+00  3.60511621e-12]
 [-4.31565894e-12  1.00000000e+00]
 [ 1.00000000e+00  3.78452825e-12]
 [-7.60280727e-13  1.00000000e+00]
 [-1.24256161e-12  1.00000000e+00]
 [ 1.00000000e+00  5.24735810e-12]
 [ 1.00000000e+00  1.63247194e-12]
 [ 1.00000000e+00  5.81845683e-12]
 [-1.43174361e-12  1.00000000e+00]
 [-8.34887715e-14  1.00000000e+00]
 [ 1.00000000e+00  3.60422803e-12]
 [-1.68842718e-12  1.00000000e+00]
 [ 1.00000000e+00  6.28208596e-12]
 [ 1.00000000e+00  4.92761387e-12]
 [ 1.00000000e+00  2.26219043e-12]
 [-1.49569246e-12  1.00000000e+00]
 [ 1.00000000e+00  2.73558953e-12]
 [-2.93276514e-12  1.00000000e+00]
 [-3.91509047e-12  1.00000000e+00]
 [ 1.00000000e+00  1.88205007e-12]
 [ 1.00000000e+00  5.82023318e-12]
 [-3.96127575e-13  1.00000000e+00]
 [-1.47348800e-12  1.00000000e+00]
 [-3.73567843e-12  1.00000000e+00]
 [ 1.00000000e+00  3.62998520e-12]
 [ 1.00000000e+00  4.30588898e-12]
 [-2.53841392e-12  1.00000000e+00]
 [-1.94244620e-12  1.00000000e+00]
 [ 1.00000000e+00  7.16759985e-12]
 [ 1.00000000e+00  5.58397772e-12]
 [ 1.00000000e+00  1.42108547e-12]
 [ 1.00000000e+00  5.46407364e-12]
 [-1.52233781e-12  1.00000000e+00]
 [ 1.00000000e+00  5.22337729e-12]
 [-5.75539616e-13  1.00000000e+00]
 [ 1.00000000e+00  6.99795777e-12]
 [ 1.00000000e+00  3.89999144e-12]
 [ 1.00000000e+00  2.53397303e-12]
 [ 1.00000000e+00  5.24824628e-12]
 [-4.68070027e-13  1.00000000e+00]
 [ 1.00000000e+00  3.83604259e-12]
 [ 1.00000000e+00  2.94075875e-12]
 [-1.13598020e-12  1.00000000e+00]
 [-2.09254836e-12  1.00000000e+00]
 [ 1.00000000e+00  6.52278231e-12]
 [-2.03392858e-12  1.00000000e+00]
 [-2.93454150e-12  1.00000000e+00]
 [ 1.00000000e+00  5.20827825e-12]
 [-3.60600438e-13  1.00000000e+00]
 [ 1.46016532e-12  1.00000000e+00]
 [ 1.00000000e+00  5.94013727e-12]
 [-1.66977543e-12  1.00000000e+00]
 [-2.12274642e-13  1.00000000e+00]
 [ 7.15871806e-13  1.00000000e+00]
 [ 6.05737682e-13  1.00000000e+00]
 [-3.20010685e-12  1.00000000e+00]
 [-2.18935980e-12  1.00000000e+00]
 [ 1.00000000e+00  4.86721774e-12]
 [-3.03312930e-12  1.00000000e+00]
 [ 1.00000000e+00  4.81037432e-12]
 [-3.23385763e-12  1.00000000e+00]
 [ 1.00000000e+00  2.14583906e-12]
 [-3.93818311e-12  1.00000000e+00]
 [-3.66551234e-12  1.00000000e+00]
 [-4.80948614e-12  1.00000000e+00]
 [-2.84572366e-12  1.00000000e+00]
 [-3.66817687e-13  1.00000000e+00]
 [ 8.60644889e-13  1.00000000e+00]
 [-9.73443548e-13  1.00000000e+00]
 [ 1.00000000e+00  2.93098879e-12]
 [ 1.00000000e+00  4.69757566e-12]
 [-2.28350672e-12  1.00000000e+00]
 [-1.47259982e-12  1.00000000e+00]
 [ 1.00000000e+00  5.56710233e-12]
 [-2.95408142e-12  1.00000000e+00]
 [-2.10320650e-12  1.00000000e+00]
 [ 1.00000000e+00  5.03419528e-12]
 [-2.83062462e-12  1.00000000e+00]
 [ 1.00000000e+00  4.75086637e-12]
 [-3.41326967e-12  1.00000000e+00]
 [-3.63264974e-13  1.00000000e+00]
