[[ 1.00000000e+00  1.23789867e-14]
 [-3.28348460e-14  1.00000000e+00]
 [ 1.00000000e+00  1.77080572e-14]
 [ 2.96498937e-14  1.00000000e+00]
 [ 1.00000000e+00  4.44089210e-16]
 [ 1.00000000e+00  1.94289029e-15]
 [ 1.00000000e+00  7.93809463e-15]
 [ 1.22957200e-14  1.00000000e+00]
 [ 2.23293606e-14  1.00000000e+00]
 [ 1.00000000e+00 -8.40993941e-15]
 [ 1.00000000e+00 -1.83186799e-15]
 [ 1.00000000e+00  7.93809463e-15]
 [ 1.00000000e+00  2.16493490e-15]
 [ 2.50910404e-14  1.00000000e+00]
 [ 1.00000000e+00  1.73194792e-14]
 [ 2.56739074e-14  1.00000000e+00]
 [ 1.00000000e+00  2.77555756e-16]
 [ 2.03448369e-14  1.00000000e+00]
 [ 1.97342143e-14  1.00000000e+00]
 [ 1.27675648e-14  1.00000000e+00]
 [ 1.00000000e+00  4.10782519e-15]
 [ 1.00000000e+00  1.25177646e-14]
 [ 1.00000000e+00  1.27675648e-15]
 [ 1.82909243e-14  1.00000000e+00]
 [ 2.53894128e-14  1.00000000e+00]
 [ 1.00000000e+00  2.05391260e-14]
 [ 1.00000000e+00 -9.45077350e-15]
 [ 1.00000000e+00  9.43689571e-15]
 [ 1.00000000e+00  3.83026943e-15]
 [ 1.00000000e+00  5.80091530e-15]
 [ 3.05450110e-14  1.00000000e+00]
 [ 2.37587727e-14  1.00000000e+00]
 [ 1.46271883e-14  1.00000000e+00]
 [ 1.00000000e+00 -2.60902411e-15]
 [ 1.00000000e+00 -1.27675648e-15]
 [ 1.57096558e-14  1.00000000e+00]
 [ 2.28567165e-14  1.00000000e+00]
 [ 1.00000000e+00  1.24900090e-14]
 [ 2.08999484e-14  1.00000000e+00]
 [ 2.18158824e-14  1.00000000e+00]
 [ 1.76803017e-14  1.00000000e+00]
 [ 1.00000000e+00 -9.76996262e-15]
 [ 2.17742491e-14  1.00000000e+00]
 [ 1.00000000e+00 -2.77555756e-15]
 [ 1.64590563e-14  1.00000000e+00]
