[[ 1.00000000e+00 -2.23820962e-13]
 [ 1.00000000e+00 -1.79412041e-13]
 [ 1.00000000e+00 -1.19015908e-13]
 [ 1.00000000e+00 -2.16715534e-13]
 [ 1.00000000e+00 -1.86517468e-13]
 [ 1.00000000e+00 -7.63833441e-14]
 [ 1.29674049e-13  1.00000000e+00]
 [ 5.32907052e-14  1.00000000e+00]
 [ 1.77635684e-15  1.00000000e+00]
 [ 8.70414851e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.08357767e-13]
 [ 1.00000000e+00 -1.79412041e-13]
 [ 1.04805054e-13  1.00000000e+00]
 [ 5.32907052e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.52766688e-13]
 [ 1.00000000e+00 -1.55431223e-13]
 [ 7.72715225e-14  1.00000000e+00]
 [ 1.00000000e+00 -2.18491891e-13]
 [ 1.00000000e+00 -1.76747506e-13]
 [ 1.00000000e+00 -9.94759830e-14]
 [ 1.48325796e-13  1.00000000e+00]
 [ 4.26325641e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.65201186e-13]
 [ 7.63833441e-14  1.00000000e+00]
 [ 6.92779167e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.26121336e-13]
 [ 7.19424520e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.63424829e-13]
 [ 9.76996262e-14  1.00000000e+00]
 [ 5.86197757e-14  1.00000000e+00]
 [ 1.00000000e+00 -9.50350909e-14]
 [ 1.00000000e+00 -2.44249065e-13]
 [ 1.42108547e-13  1.00000000e+00]
 [ 6.21724894e-14  1.00000000e+00]
 [ 9.05941988e-14  1.00000000e+00]
 [ 1.00000000e+00 -9.94759830e-14]
 [ 9.50350909e-14  1.00000000e+00]
 [ 7.99360578e-14  1.00000000e+00]
 [ 1.20792265e-13  1.00000000e+00]
 [ 1.00000000e+00 -9.59232693e-14]
 [ 1.00000000e+00 -1.42996726e-13]
 [ 1.00000000e+00 -1.91846539e-13]
 [ 6.92779167e-14  1.00000000e+00]
