[[ 1.00000000e+00  1.43218770e-14]
 [ 1.00000000e+00  4.05231404e-15]
 [ 1.00000000e+00  1.16295862e-14]
 [ 1.00000000e+00  2.09623985e-14]
 [ 1.00000000e+00  9.99200722e-15]
 [ 1.00000000e+00  2.60902411e-15]
 [-7.78543896e-15  1.00000000e+00]
 [-1.45439216e-14  1.00000000e+00]
 [-8.84015083e-15  1.00000000e+00]
 [-5.16253706e-15  1.00000000e+00]
 [ 1.00000000e+00  2.05113704e-14]
 [ 1.00000000e+00  5.59274849e-15]
 [-1.97619698e-14  1.00000000e+00]
 [-1.59317004e-14  1.00000000e+00]
 [ 1.00000000e+00  8.71525074e-15]
 [ 1.00000000e+00  2.03170814e-14]
 [-8.88178420e-16  1.00000000e+00]
 [ 1.00000000e+00  3.85802501e-15]
 [ 1.00000000e+00 -7.21644966e-16]
 [ 1.00000000e+00  2.01783035e-14]
 [-1.72084569e-14  1.00000000e+00]
 [-6.10622664e-15  1.00000000e+00]
 [ 1.00000000e+00  1.48214774e-14]
 [-1.60982339e-15  1.00000000e+00]
 [-1.71529457e-14  1.00000000e+00]
 [ 1.00000000e+00  2.53269627e-14]
 [-9.36750677e-15  1.00000000e+00]
 [ 1.00000000e+00  3.72618603e-14]
 [-2.54796184e-14  1.00000000e+00]
 [-4.27435864e-15  1.00000000e+00]
 [ 1.00000000e+00  2.29261055e-14]
 [ 1.00000000e+00  1.38222767e-14]
 [-1.45439216e-14  1.00000000e+00]
 [-1.28230759e-14  1.00000000e+00]
 [-2.47024623e-14  1.00000000e+00]
 [ 1.00000000e+00  1.14352972e-14]
 [-1.31838984e-14  1.00000000e+00]
 [-3.45556916e-15  1.00000000e+00]
 [-1.22367394e-14  1.00000000e+00]
 [ 1.00000000e+00  2.09554596e-14]
 [ 1.00000000e+00  1.67955927e-14]
 [ 1.00000000e+00  3.85802501e-15]
 [-1.63480340e-14  1.00000000e+00]
 [ 1.00000000e+00  2.19130269e-14]
 [ 1.00000000e+00  1.49047441e-14]
 [ 1.00000000e+00  2.10664819e-14]
 [-3.99680289e-15  1.00000000e+00]
 [-1.86517468e-14  1.00000000e+00]
 [ 1.00000000e+00  8.93729535e-15]
 [-2.05391260e-14  1.00000000e+00]
 [ 1.00000000e+00  1.21534727e-14]
 [-2.31481501e-14  1.00000000e+00]
 [-1.13797860e-14  1.00000000e+00]
 [ 1.00000000e+00  9.10382880e-15]
 [-2.60902411e-14  1.00000000e+00]
 [-1.19348975e-14  1.00000000e+00]
 [ 1.00000000e+00  1.56541446e-14]
 [ 1.00000000e+00  8.82627305e-15]
 [-1.01030295e-14  1.00000000e+00]
 [-4.27435864e-15  1.00000000e+00]
 [ 1.00000000e+00  1.45439216e-14]
 [-3.49720253e-15  1.00000000e+00]
 [ 1.00000000e+00  2.01505479e-14]
 [ 1.00000000e+00  1.03805853e-14]
 [-6.49480469e-15  1.00000000e+00]
 [-1.45439216e-14  1.00000000e+00]
 [ 1.00000000e+00  6.60582700e-15]
 [-8.88178420e-15  1.00000000e+00]
 [-1.48214774e-14  1.00000000e+00]
 [-1.36279876e-14  1.00000000e+00]
 [ 1.00000000e+00  1.35447209e-14]
 [ 1.00000000e+00  8.60422844e-15]
 [ 1.00000000e+00  5.55111512e-15]
 [ 1.00000000e+00  8.82627305e-15]
 [ 1.00000000e+00  9.43689571e-15]
 [-8.79851747e-15  1.00000000e+00]
 [-5.24580379e-15  1.00000000e+00]
 [-1.22679644e-14  1.00000000e+00]
 [-3.85802501e-15  1.00000000e+00]
 [-1.08246745e-15  1.00000000e+00]
 [ 1.00000000e+00  1.47104551e-14]
 [-1.84852134e-14  1.00000000e+00]
 [-1.28230759e-14  1.00000000e+00]
 [-1.99840144e-15  1.00000000e+00]
 [-1.56541446e-14  1.00000000e+00]
 [-4.99600361e-15  1.00000000e+00]
 [ 1.00000000e+00  1.10467191e-14]
 [ 1.00000000e+00  6.82787160e-15]
 [ 1.00000000e+00  9.15933995e-15]
 [ 1.00000000e+00  1.96960503e-14]
 [ 2.02615702e-15  1.00000000e+00]
 [ 1.00000000e+00  8.70137296e-15]
 [-7.32747196e-15  1.00000000e+00]
 [ 1.00000000e+00  1.48492330e-14]
 [ 1.00000000e+00  1.69309011e-14]
 [-1.09912079e-14  1.00000000e+00]
 [-1.27120536e-14  1.00000000e+00]
 [ 1.00000000e+00  3.55271368e-15]
 [-8.60422844e-15  1.00000000e+00]
 [ 1.00000000e+00  1.86239912e-14]
 [-1.49880108e-15  1.00000000e+00]
 [-1.10883525e-14  1.00000000e+00]
 [ 1.00000000e+00  5.05151476e-15]
 [ 1.00000000e+00  1.89848137e-14]
 [-8.49320614e-15  1.00000000e+00]
 [-5.16253706e-15  1.00000000e+00]
 [-2.26485497e-14  1.00000000e+00]
 [-1.34336986e-14  1.00000000e+00]
 [-3.99680289e-15  1.00000000e+00]
 [-9.27036226e-15  1.00000000e+00]
 [ 1.00000000e+00  2.72004641e-15]
 [-7.49400542e-15  1.00000000e+00]
 [-1.43218770e-14  1.00000000e+00]
 [ 1.00000000e+00  5.91193761e-15]
 [ 1.00000000e+00  1.32394096e-14]
 [ 1.00000000e+00  1.18793864e-14]
 [ 1.00000000e+00  1.21846977e-14]
 [ 1.00000000e+00  1.34614542e-14]
 [ 1.00000000e+00  1.59317004e-14]
 [-1.33226763e-15  1.00000000e+00]
 [-1.02695630e-14  1.00000000e+00]
 [-1.55986335e-14  1.00000000e+00]
 [-2.16493490e-14  1.00000000e+00]
 [-8.04911693e-15  1.00000000e+00]
 [ 1.00000000e+00  1.07969189e-14]
 [ 1.00000000e+00 -2.05391260e-15]
 [-8.93729535e-15  1.00000000e+00]
 [-9.74220704e-15  1.00000000e+00]
 [ 1.00000000e+00  8.21565038e-15]
 [ 1.00000000e+00  1.77635684e-14]
 [-2.28705943e-14  1.00000000e+00]
 [-1.02695630e-14  1.00000000e+00]
 [-6.82787160e-15  1.00000000e+00]
 [ 2.88657986e-15  1.00000000e+00]
 [-1.94289029e-14  1.00000000e+00]
 [ 1.00000000e+00  1.32532874e-14]
 [-1.78190795e-14  1.00000000e+00]
 [-1.57651669e-14  1.00000000e+00]
 [-4.66293670e-15  1.00000000e+00]
 [ 1.00000000e+00  1.87003191e-14]
 [ 1.00000000e+00  6.77236045e-15]
 [-6.38378239e-15  1.00000000e+00]
 [ 1.00000000e+00  1.23789867e-14]
 [-1.07136522e-14  1.00000000e+00]
 [-8.88178420e-15  1.00000000e+00]
 [-1.59317004e-14  1.00000000e+00]
 [-6.77236045e-15  1.00000000e+00]
 [ 1.00000000e+00  1.17406085e-14]
 [-1.84297022e-14  1.00000000e+00]
 [-2.09832152e-14  1.00000000e+00]
 [ 1.00000000e+00  1.14352972e-14]
 [-1.49880108e-14  1.00000000e+00]
 [-8.10462808e-15  1.00000000e+00]
 [-1.75207071e-14  1.00000000e+00]
 [-2.88102875e-14  1.00000000e+00]
 [ 1.00000000e+00  6.77236045e-15]
 [-1.06581410e-14  1.00000000e+00]
 [ 1.00000000e+00  8.88178420e-15]
 [-6.61970478e-15  1.00000000e+00]
 [ 1.00000000e+00  1.04638520e-14]
 [ 1.00000000e+00  8.88178420e-15]
 [-9.65894031e-15  1.00000000e+00]
 [ 1.00000000e+00  1.65978342e-14]
 [ 1.00000000e+00 -2.96984659e-15]
 [ 1.00000000e+00  2.04836148e-14]
 [-1.54321000e-14  1.00000000e+00]
 [-1.05471187e-14  1.00000000e+00]
 [ 1.00000000e+00  1.10744747e-14]
 [ 1.00000000e+00  1.33920652e-14]
 [-9.29811783e-15  1.00000000e+00]
 [-1.43496326e-14  1.00000000e+00]
 [-1.19348975e-14  1.00000000e+00]
 [ 1.00000000e+00  2.10942375e-15]
 [ 1.00000000e+00  7.04991621e-15]
 [-1.01030295e-14  1.00000000e+00]
 [-5.73152636e-15  1.00000000e+00]
 [ 1.00000000e+00  2.77555756e-15]
 [-1.40443213e-14  1.00000000e+00]
 [-1.33226763e-14  1.00000000e+00]
 [ 1.00000000e+00  1.19071419e-14]
 [ 1.00000000e+00  1.09356968e-14]
