[[ 7.41047337e-01]
 [ 7.59967761e-01]
 [ 1.69468281e-01]
 [ 6.37803627e-01]
 [ 6.37803627e-01]
 [ 4.13163544e-01]
 [ 8.29596820e-01]
 [ 3.66115883e-01]
 [ 8.57838598e-01]
 [ 6.09342206e-01]
 [ 7.35260035e-01]
 [ 5.67850613e-01]
 [ 7.58064707e-01]
 [ 5.07104028e-01]
 [ 9.52071085e-01]
 [ 6.73156368e-01]
 [ 7.42427418e-01]
 [ 7.04533169e-01]
 [ 6.84677694e-01]
 [ 7.69540768e-01]
 [ 1.40864531e-01]
 [ 1.69463157e-01]
 [ 4.95853436e-01]
 [ 6.33059999e-01]
 [ 4.22983062e-01]
 [ 1.69908669e-01]
 [ 4.22983062e-01]
 [ 6.34167012e-01]
 [ 3.87629601e-01]
 [ 7.54196179e-01]
 [ 4.39324592e-01]
 [ 6.71830313e-01]
 [ 7.30108188e-01]
 [ 6.53757135e-01]
 [ 5.72684707e-01]
 [ 4.88913896e-01]
 [ 4.65726412e-01]
 [ 8.61088265e-01]
 [ 6.74535345e-01]
 [ 7.21488070e-01]
 [ 7.11556549e-01]
 [ 4.28195267e-01]
 [ 4.33037521e-01]
 [ 6.47611025e-01]
 [ 7.23763928e-01]
 [ 6.03537731e-01]
 [ 6.31038727e-01]
 [ 9.68468243e-01]
 [ 1.72241485e-02]
 [ 6.68563444e-01]
 [ 5.34384523e-01]
 [ 9.75811746e-01]
 [ 6.09540071e-01]
 [ 5.32269541e-01]
 [ 9.64040326e-01]
 [ 7.39167967e-01]
 [ 9.48617832e-01]
 [ 3.07381677e-01]
 [ 7.51010089e-01]
 [ 7.22783532e-01]
 [ 6.90837624e-01]
 [ 7.03001729e-01]
 [ 6.66868365e-01]
 [ 9.04560363e-01]
 [ 8.80072847e-01]
 [ 1.02868675e+00]
 [ 6.04022214e-01]
 [ 4.00327516e-01]
 [ 7.09767546e-01]
 [ 2.77097679e-01]
 [ 8.66462475e-01]
 [ 6.97650126e-01]
 [ 7.43769512e-01]
 [ 8.61624805e-01]
 [ 8.61967570e-01]
 [ 7.35282477e-01]
 [ 8.02262126e-01]
 [ 7.85483037e-01]
 [ 7.23186101e-01]
 [ 6.00958241e-01]
 [ 9.34417151e-01]
 [ 6.45926991e-01]
 [ 8.49169904e-01]
 [ 7.24020092e-01]
 [ 3.76525914e-01]
 [ 6.13960757e-01]
 [ 8.29139125e-01]
 [ 9.35687955e-01]
 [ 6.42853913e-01]
 [ 2.46340412e-01]
 [ 1.19685510e+00]
 [ 1.73325451e-02]
 [ 9.99364868e-02]
 [ 9.99364868e-02]
 [ 9.18164813e-01]
 [ 6.66668706e-01]
 [ 7.05205547e-01]
 [ 6.92521267e-01]
 [ 5.11160631e-01]
 [ 9.61316707e-01]
 [ 7.93131392e-01]
 [ 7.20155533e-01]
 [ 6.12393143e-01]
 [ 7.20155533e-01]
 [ 6.12393143e-01]
 [ 7.20155533e-01]
 [ 6.12393143e-01]
 [ 4.56927215e-01]
 [ 6.12393143e-01]
 [ 6.50599575e-01]
 [ 8.20096924e-01]
 [ 4.85184423e-01]
 [ 6.62707936e-01]
 [ 5.26878921e-01]
 [ 5.87653317e-01]
 [ 7.13907641e-01]
 [ 6.34264763e-01]
 [ 6.36047762e-01]
 [ 7.96061635e-01]
 [ 1.16760431e+00]
 [ 6.34264763e-01]
 [ 6.36047762e-01]
 [ 1.11752858e-01]
 [ 7.29131243e-01]
 [ 7.50833066e-01]
 [ 5.85578808e-01]
 [ 1.01032295e+00]
 [ 8.19472900e-01]
 [ 1.11037175e+00]
 [ 5.57773254e-01]
 [ 7.92808579e-01]
 [ 8.19058968e-01]
 [ 7.68610118e-01]
 [ 7.07345235e-01]
 [ 6.63919828e-01]
 [ 6.10171699e-01]
 [ 6.10171699e-01]
 [ 7.47547575e-01]
 [ 4.37329611e-01]
 [ 4.35424675e-01]
 [ 7.47547575e-01]
 [ 4.70395532e-01]
 [ 1.11752858e-01]
 [ 4.70395532e-01]
 [ 6.74180366e-01]
 [ 6.60721501e-01]
 [ 7.47547575e-01]
 [ 7.42676589e-01]
 [ 5.88546900e-01]
 [ 1.04417563e+00]
 [ 8.58939572e-01]
 [ 1.21243226e+00]
 [ 6.73465233e-01]
 [ 6.75721397e-01]
 [ 6.77628275e-01]
 [ 6.91796546e-01]
 [ 7.86334199e-01]
 [ 7.26932547e-01]
 [ 6.97340226e-01]
 [ 6.50174898e-01]
 [ 6.33910546e-01]
 [ 9.18164813e-01]
 [ 6.35573176e-01]
 [ 6.56258759e-01]
 [ 9.18164813e-01]
 [ 1.08139296e+00]
 [ 4.77191743e-01]
 [ 7.48439861e-01]
 [ 7.02817025e-01]
 [ 8.32839468e-01]
 [ 5.97985494e-01]
 [ 6.28993561e-01]
 [ 7.84048300e-01]
 [ 7.32424077e-01]
 [ 6.44094399e-01]
 [ 9.34065798e-01]
 [ 9.31565834e-01]
 [ 9.39519112e-01]
 [ 6.65118091e-01]
 [ 9.34065798e-01]
 [ 6.00808263e-01]
 [ 6.28887263e-01]
 [ 6.71178254e-01]
 [ 9.87541090e-01]
 [ 4.73094086e-01]
 [ 1.49474101e-01]
 [ 7.02629880e-01]
 [ 7.46353457e-01]
 [ 9.48088231e-01]
 [ 7.62030700e-01]
 [ 7.56894422e-01]
 [ 1.29460661e+00]
 [ 7.84355872e-01]
 [ 7.26896125e-01]
 [ 6.28993561e-01]
 [ 4.04322125e-01]
 [ 1.12703482e+00]
 [ 6.29005181e-01]
 [ 1.12545287e+00]
 [ 7.27020566e-01]
 [ 1.11215219e+00]
 [ 8.25673500e-01]
 [ 8.21174638e-01]
 [ 1.16590106e+00]
 [ 6.55832331e-01]
 [ 7.76671610e-01]
 [ 6.61661551e-01]
 [ 1.18756278e+00]
 [ 8.71564138e-01]
 [ 5.49853612e-01]
 [ 6.25844834e-01]
 [ 6.87467389e-01]
 [ 8.48587788e-01]
