[[ 8.65643376e-01]
 [ 6.30716871e-01]
 [ 4.59328271e-01]
 [ 6.69544731e-01]
 [ 9.38604924e-01]
 [ 9.85933077e-01]
 [ 7.55401789e-01]
 [ 6.49176663e-01]
 [ 2.03648353e-01]
 [ 6.74663404e-01]
 [ 4.35577311e-01]
 [ 7.94680915e-01]
 [ 7.90151599e-01]
 [ 9.93936003e-01]
 [ 2.91583432e-01]
 [ 1.83534810e-01]
 [ 2.75646270e-01]
 [ 3.14300133e-01]
 [ 9.91041073e-01]
 [ 6.63675406e-01]
 [ 9.95328153e-01]
 [ 9.17999162e-01]
 [ 5.05920790e-01]
 [ 9.17999162e-01]
 [ 3.20351910e-01]
 [ 1.76269815e-01]
 [ 8.51417595e-01]
 [ 1.85360665e-01]
 [ 6.61188250e-01]
 [ 9.56890763e-01]
 [ 8.29018830e-01]
 [ 1.05576714e+00]
 [ 8.21268108e-01]
 [ 1.11571422e+00]
 [ 9.94844233e-01]
 [ 8.71862211e-01]
 [ 8.66725330e-01]
 [ 8.95711386e-01]
 [ 8.21268108e-01]
 [ 9.67079592e-01]
 [ 9.82554104e-01]
 [ 4.77194903e-01]
 [ 3.56641012e-01]
 [ 6.88705700e-01]
 [ 1.04771325e+00]
 [ 9.70413021e-01]
 [ 3.29632458e-01]
 [ 7.87432635e-01]
 [ 1.38103072e+00]
 [ 9.94836177e-01]
 [ 6.19182757e-01]
 [ 9.39759711e-01]
 [ 5.42953026e-01]
 [ 1.03896488e+00]
 [ 8.20695452e-01]
 [ 1.35335726e+00]
 [ 9.74658750e-01]
 [ 7.63227352e-01]
 [ 1.07469181e+00]
 [ 1.08446718e+00]
 [ 9.64175160e-01]
 [ 3.45500961e-01]
 [ 1.04072402e+00]
 [ 4.65306150e-01]
 [ 9.44462586e-01]
 [ 4.76315773e-01]
 [ 6.53581114e-01]
 [ 6.49314731e-01]
 [ 1.46537713e+00]
 [ 8.97808238e-01]
 [ 8.56168117e-01]
 [ 1.00352641e+00]
 [ 7.54907330e-01]
 [ 6.97809089e-01]
 [ 7.54907330e-01]
 [ 1.00745228e+00]
 [ 7.94553537e-01]
 [ 9.86717979e-01]
 [ 9.96534639e-01]
 [ 6.49475819e-01]
 [ 8.58482389e-01]
 [ 4.26544049e-01]
 [ 4.63623166e-01]
 [ 6.10663117e-01]
 [ 8.83460875e-01]
 [ 5.08625259e-01]
 [ 1.01456894e+00]
 [ 6.95805462e-01]
 [ 7.89489135e-01]
 [ 4.12904640e-01]
 [ 7.21611535e-01]
 [ 5.06505485e-01]
 [ 6.97809089e-01]
 [ 5.82949427e-01]
 [ 1.07798907e+00]
 [ 4.29678288e-01]
 [ 4.27387483e-01]
 [ 1.10353693e+00]
 [ 6.03943937e-01]
 [ 9.50116374e-01]
 [ 9.84680328e-01]
 [ 9.93454888e-01]
 [ 8.43278395e-01]
 [ 1.08156462e+00]
 [ 9.60923111e-01]
 [ 8.69663832e-01]
 [ 7.43753238e-01]
 [ 7.13114295e-01]
 [ 9.72572766e-01]
 [ 1.02881427e+00]
 [ 1.04896090e+00]
 [ 1.04829909e+00]
 [ 2.32099853e-01]
 [ 8.65338087e-01]
 [ 8.19549367e-01]
 [ 8.89272664e-01]
 [ 7.50573564e-01]
 [ 7.18808937e-01]
 [ 7.91798337e-01]
 [ 8.15692071e-01]
 [ 6.02206115e-01]
 [ 1.17054743e+00]
 [ 1.17067361e+00]
 [ 1.17054743e+00]
 [ 8.65338087e-01]
 [ 9.80519250e-01]
 [ 9.56249093e-01]
 [ 1.08513449e+00]
 [ 8.45106684e-01]
 [ 9.54280821e-01]
 [ 1.17067361e+00]
 [ 9.94549389e-01]
 [ 1.97805748e-01]
 [ 7.66411932e-01]
 [ 2.22555175e-01]
 [ 5.65978309e-01]
 [ 6.20846270e-01]
 [ 1.09895446e+00]
 [ 1.02762225e+00]
 [ 4.14055849e-01]
 [ 8.64267407e-01]
 [ 1.21017719e+00]
 [ 8.76743627e-01]
 [ 9.63958762e-01]
 [ 5.68472653e-01]
 [ 8.85782841e-01]
 [ 8.61776741e-01]
 [ 1.04173148e+00]
 [ 6.05593050e-01]
 [ 1.08064464e+00]
 [ 1.04224736e+00]
 [ 1.10081085e+00]
 [ 8.46273573e-01]
 [ 9.36546466e-01]
 [ 6.79774238e-01]
 [ 8.58891041e-01]
 [ 9.37397869e-01]
 [ 1.09909636e+00]
 [ 1.00046396e+00]
 [ 9.37397869e-01]
 [ 8.87907806e-01]
 [ 7.36927985e-01]
 [ 6.33947084e-01]
 [ 8.76743627e-01]
 [ 6.52748915e-01]
 [ 6.06910533e-01]
 [ 9.78716056e-01]
 [ 4.28791261e-01]
 [ 5.59664746e-01]
 [ 1.11540079e+00]
 [ 3.03034332e-01]
 [ 5.08145777e-01]
 [ 7.72313148e-01]
 [ 5.17227054e-01]
 [ 1.32211033e+00]
 [ 9.15847302e-01]
 [ 9.21773260e-01]
 [ 8.79409587e-02]
 [ 9.31854045e-01]
