[[ 1.84308249e-01  8.15691787e-01]
 [ 1.06604271e-02  9.89344149e-01]
 [ 7.12638017e-02  9.28735908e-01]
 [ 2.11923831e-01  7.88077189e-01]
 [ 2.11923831e-01  7.88077189e-01]
 [ 3.49646905e-01  6.50354358e-01]
 [ 4.63574530e-01  5.36426330e-01]
 [ 3.72859541e-01  6.27143141e-01]
 [-5.00194617e-02  1.05001835e+00]
 [ 3.29526857e-01  6.70472019e-01]
 [ 3.24808972e-01  6.75189893e-01]
 [ 4.56987683e-01  5.43010320e-01]
 [ 1.65128238e-01  8.34872073e-01]
 [ 4.64198572e-01  5.35799516e-01]
 [-2.05707971e-01  1.20570426e+00]
 [ 2.24923145e-01  7.75076471e-01]
 [ 2.11117359e-01  7.88880087e-01]
 [-3.16439054e-02  1.03164962e+00]
 [ 6.06933971e-01  3.93063237e-01]
 [-2.25648960e-02  1.02256509e+00]
 [ 6.29725314e-01  3.70273732e-01]
 [ 1.71633679e-01  8.28366401e-01]
 [ 4.77561373e-02  9.52244041e-01]
 [ 5.80759041e-01  4.19239723e-01]
 [ 4.73330272e-01  5.26670978e-01]
 [ 1.71604832e-01  8.28395245e-01]
 [ 4.73330272e-01  5.26670978e-01]
 [ 1.31915220e-01  8.68089898e-01]
 [ 3.14064466e-01  6.85935555e-01]
 [-3.92857201e-02  1.03928984e+00]
 [ 4.15823748e-01  5.84178486e-01]
 [ 5.20045402e-02  9.47991938e-01]
 [ 3.29814895e-01  6.70185768e-01]
 [ 4.09975347e-01  5.90023761e-01]
 [ 5.86758305e-01  4.13252111e-01]
 [ 5.76482079e-01  4.23514001e-01]
 [ 5.33840745e-02  9.46616162e-01]
 [ 5.39405830e-02  9.46059386e-01]
 [ 1.98733686e-01  8.01265046e-01]
 [-3.42479758e-02  1.03424513e+00]
 [ 1.54592078e-01  8.45402225e-01]
 [ 1.01963004e-01  8.98037050e-01]
 [ 9.28444740e-02  9.07155563e-01]
 [ 6.16442210e-01  3.83555072e-01]
 [ 1.52134502e-01  8.47873606e-01]
 [ 3.77197933e-02  9.62277683e-01]
 [ 1.41665035e-01  8.58336252e-01]
 [ 1.78320099e-01  8.21676415e-01]
 [ 2.23292209e-03  9.97765127e-01]
 [ 2.22846179e-01  7.77155954e-01]
 [ 3.84307720e-01  6.15694584e-01]
 [-1.23146198e-01  1.12314885e+00]
 [ 3.31627135e-01  6.68371732e-01]
 [ 1.15307170e-01  8.84686182e-01]
 [-1.02387510e-01  1.10238530e+00]
 [ 4.39525878e-02  9.56046157e-01]
 [ 7.83792685e-02  9.21616544e-01]
 [ 5.88647213e-01  4.11356521e-01]
 [ 8.24403546e-02  9.17557585e-01]
 [-6.20975364e-02  1.06209425e+00]
 [ 2.55701719e-01  7.44299476e-01]
 [ 4.21164302e-01  5.78832515e-01]
 [ 2.42563433e-01  7.57437640e-01]
 [ 3.31809444e-01  6.68192943e-01]
 [ 1.79246031e-01  8.20754376e-01]
 [ 3.98598280e-02  9.60145848e-01]
 [ 1.12764005e-01  8.87230803e-01]
 [ 4.22868429e-01  5.77128356e-01]
 [-6.71455936e-02  1.06714052e+00]
 [ 6.02040989e-01  3.97965505e-01]
 [-7.49604718e-02  1.07496221e+00]
 [ 1.66401760e-01  8.33597705e-01]
 [ 4.55378026e-02  9.54460679e-01]
 [ 1.37914705e-01  8.62081758e-01]
 [ 5.49542781e-02  9.45045611e-01]
 [-1.06612947e-01  1.10660824e+00]
 [ 4.87188949e-01  5.12807928e-01]
 [ 1.15530250e-01  8.84466240e-01]
 [ 2.38769653e-01  7.61228453e-01]
 [ 3.52929315e-01  6.47069310e-01]
 [ 1.95100459e-02  9.80491854e-01]
 [ 3.61459323e-01  6.38547366e-01]
 [ 9.61922813e-02  9.03813932e-01]
 [ 1.86488649e-02  9.81349812e-01]
 [ 4.95513618e-01  5.04487978e-01]
 [-9.62846159e-03  1.00962600e+00]
 [ 1.04056481e-01  8.95941665e-01]
 [ 5.52208400e-02  9.44780719e-01]
 [ 2.99049955e-01  7.00947857e-01]
 [ 6.62967656e-02  9.33700694e-01]
 [-1.56664919e-01  1.15666298e+00]
 [-4.59453422e-03  1.00459248e+00]
 [ 4.93715283e-02  9.50632114e-01]
 [ 4.93715283e-02  9.50632114e-01]
 [ 2.30541805e-01  7.69456779e-01]
 [ 2.41339161e-01  7.58661822e-01]
 [ 1.21048064e-01  8.78950261e-01]
 [ 2.07408462e-01  7.92590857e-01]
 [ 3.86611547e-01  6.13387704e-01]
 [ 1.23847076e-01  8.76150432e-01]
 [ 2.89407175e-01  7.10590770e-01]
 [ 2.17088331e-01  7.82910784e-01]
 [ 7.53735860e-02  9.24623138e-01]
 [ 2.17088331e-01  7.82910784e-01]
 [ 7.53735860e-02  9.24623138e-01]
 [ 2.17088331e-01  7.82910784e-01]
 [ 7.53735860e-02  9.24623138e-01]
 [ 2.75170091e-01  7.24828695e-01]
 [ 7.53735860e-02  9.24623138e-01]
 [ 9.43526232e-02  9.05650418e-01]
 [-3.27861671e-01  1.32786060e+00]
 [ 4.81630284e-01  5.18368839e-01]
 [ 2.63398254e-01  7.36603102e-01]
 [ 8.29224595e-01  1.70774769e-01]
 [-1.44346053e-02  1.01443604e+00]
 [ 3.16559455e-01  6.83436585e-01]
 [ 2.54357227e-01  7.45642472e-01]
 [ 2.54380602e-01  7.45619098e-01]
 [-1.49648376e-01  1.14964912e+00]
 [-6.43699177e-02  1.06437014e+00]
 [ 2.54357227e-01  7.45642472e-01]
 [ 2.54380602e-01  7.45619098e-01]
 [-2.74661079e-02  1.02746883e+00]
 [ 2.14421747e-01  7.85579265e-01]
 [ 2.89349684e-01  7.10647954e-01]
 [ 4.18753883e-02  9.58121917e-01]
