[[ 2.50396729e-01  7.49546051e-01]
 [ 1.87602997e-01  8.12263489e-01]
 [ 8.63838196e-02  9.13509369e-01]
 [ 1.97319031e-01  8.02566528e-01]
 [ 1.97319031e-01  8.02566528e-01]
 [ 3.54442596e-01  6.45500183e-01]
 [ 4.96333122e-01  5.03605843e-01]
 [ 4.35832977e-01  5.64090729e-01]
 [ 8.63647461e-02  9.13501740e-01]
 [ 4.03251648e-01  5.96656799e-01]
 [ 2.78121948e-01  7.21828461e-01]
 [ 5.30555725e-01  4.69367981e-01]
 [ 1.98898315e-01  8.01052094e-01]
 [ 5.60951233e-01  4.38974380e-01]
 [-2.71492004e-02  1.02702713e+00]
 [ 1.43299103e-01  8.56636047e-01]
 [ 2.20413208e-01  7.79502869e-01]
 [ 2.46231079e-01  7.53677368e-01]
 [ 5.53651810e-01  4.46243286e-01]
 [ 8.64295959e-02  9.13482666e-01]
 [ 7.77538300e-01  2.22410202e-01]
 [ 1.70318604e-01  8.29586029e-01]
 [-1.50581360e-01  1.15048218e+00]
 [ 4.28323746e-01  5.71586609e-01]
 [ 4.46769714e-01  5.53161621e-01]
 [ 1.70356750e-01  8.29570770e-01]
 [ 4.46769714e-01  5.53161621e-01]
 [-1.15116119e-01  1.11502838e+00]
 [ 1.65748596e-01  8.34190369e-01]
 [-1.00753784e-01  1.10065842e+00]
 [ 6.02275848e-01  3.97659302e-01]
 [-9.26589966e-02  1.09260178e+00]
 [ 3.33820343e-01  6.66133881e-01]
 [ 3.90228271e-01  6.09697342e-01]
 [ 3.76186371e-01  6.23722076e-01]
 [ 5.91337204e-01  4.08578873e-01]
 [-1.13903046e-01  1.11382294e+00]
 [ 9.80377197e-02  9.01832581e-01]
 [ 2.90172577e-01  7.09712982e-01]
 [ 1.54884338e-01  8.45008850e-01]
 [-9.98001099e-02  1.09970093e+00]
 [-8.96911621e-02  1.08959579e+00]
 [-9.54399109e-02  1.09534454e+00]
 [ 5.59208870e-01  4.40722466e-01]
 [ 3.34960938e-01  6.64916992e-01]
 [ 1.26937866e-01  8.72962952e-01]
 [ 1.68117523e-01  8.31798553e-01]
 [-3.00775528e-01  1.30069542e+00]
 [ 1.59679413e-01  8.40236664e-01]
 [ 1.49616241e-01  8.50296021e-01]
 [ 4.78824615e-01  5.21102905e-01]
 [-4.09469604e-02  1.04083252e+00]
 [ 4.07268524e-01  5.92609406e-01]
 [ 9.66072083e-02  9.03301239e-01]
 [-3.88412476e-02  1.03874207e+00]
 [ 9.99412537e-02  8.99978638e-01]
 [ 3.12843323e-02  9.68589783e-01]
 [ 4.69020844e-01  5.30918121e-01]
 [ 2.20409393e-01  7.79464722e-01]
 [ 1.47060394e-01  8.52821350e-01]
 [ 2.54234314e-01  7.45704651e-01]
 [ 4.98840332e-01  5.01098633e-01]
 [ 2.49439240e-01  7.50488281e-01]
 [ 2.82604218e-01  7.17350006e-01]
 [ 2.31723785e-01  7.68177032e-01]
 [ 9.38186646e-02  9.06124115e-01]
 [-1.29684448e-01  1.12958145e+00]
 [ 1.23083115e-01  8.76818657e-01]
 [ 6.88629150e-02  9.31034088e-01]
 [ 3.92307281e-01  6.07608795e-01]
 [ 9.01260376e-02  9.09786224e-01]
 [ 2.30209351e-01  7.69664764e-01]
 [ 1.54346466e-01  8.45500946e-01]
 [ 9.11407471e-02  9.08763885e-01]
 [ 1.01474762e-01  8.98410797e-01]
 [ 1.05369568e-01  8.94542694e-01]
 [ 4.31465149e-01  5.68477631e-01]
 [ 1.14429474e-01  8.85452271e-01]
 [ 1.98787689e-01  8.01143646e-01]
 [ 3.39141846e-01  6.60799026e-01]
