[[ 1.86308223e-01  8.13692466e-01]
 [ 7.22861883e-02  9.27714317e-01]
 [ 9.07841564e-02  9.09217670e-01]
 [ 4.62450177e-01  5.37573863e-01]
 [ 4.62450177e-01  5.37573863e-01]
 [ 3.24714127e-01  6.75320190e-01]
 [ 1.62197913e-01  8.38067462e-01]
 [ 3.68135568e-01  6.31879988e-01]
 [ 1.03005341e-01  8.96996772e-01]
 [ 3.83514449e-01  6.16489553e-01]
 [ 2.63156589e-02  9.73777243e-01]
 [ 4.21920362e-01  5.78088987e-01]
 [ 1.91104882e-01  8.08899437e-01]
 [ 4.49378444e-01  5.50451710e-01]
 [-1.22231389e-01  1.12221935e+00]
 [ 2.45414180e-01  7.54576097e-01]
 [ 2.60656463e-01  7.39337288e-01]
 [ 1.12873102e-01  8.87104527e-01]
 [ 4.02197924e-01  5.97929591e-01]
 [-2.48826099e-01  1.24882507e+00]
 [ 7.06621944e-01  2.93384277e-01]
 [ 3.25981502e-01  6.74009415e-01]
 [-1.09065986e-02  1.01078839e+00]
 [ 3.74833147e-01  6.25208907e-01]
 [ 5.42940394e-01  4.57062168e-01]
 [ 3.25980936e-01  6.74009982e-01]
 [ 5.42940394e-01  4.57062168e-01]
 [-4.78133319e-02  1.04772879e+00]
 [ 4.48061362e-01  5.51831500e-01]
 [ 5.65921033e-01  4.34098141e-01]
 [ 4.52256873e-01  5.47764214e-01]
 [-6.05983625e-02  1.06054360e+00]
 [ 2.93987485e-01  7.05996021e-01]
 [ 2.21604342e-01  7.78293659e-01]
 [ 8.29314436e-01  1.70691001e-01]
 [ 4.62474473e-01  5.37508406e-01]
 [-2.25769940e-02  1.02245201e+00]
 [ 1.18911806e-01  8.81078371e-01]
 [ 2.73337124e-01  7.26660832e-01]
 [ 1.92949272e-02  9.80695041e-01]
 [ 2.39770224e-01  7.60278493e-01]
 [ 1.95585628e-02  9.80332214e-01]
 [ 1.04859830e-02  9.89403306e-01]
 [ 4.25939368e-01  5.74163345e-01]
